English	Inglés
653665833	No cierres o suspendas la partida ni apagues tu consola Xbox One mientras se muestre este símbolo.
1801035418	No cierres la partida mientras se muestre este símbolo.
1308428726	No se ha podido inicializar el almacenaje. Para jugar, necesitas un espacio de almacenaje conectado.
1459825798	Volver a intentarlo
1825071464	Tu última partida guardada está desfasada o dañada. ¿Prefieres volver a iniciar la misión actual?
906613780	Has alcanzado el máximo de partidas guardadas. Borra o sobrescribe una partida guardada existente. Nota: Los guardados rápidos no se contabilizan.
962072658	Guardando: No cierres o suspendas la partida ni apagues tu consola Xbox One mientras se muestre este símbolo.
1499250081	Guardando: No apagues tu sistema PlayStation®4 mientras se muestre este símbolo.
352385758	Guardando: No cierres la partida mientras se muestre este símbolo.
488026919	Visita nuestra tienda online si quieres comprar {0}
289232529	Ir a Xbox Store
1024096936	Ir a PlayStation®Store
1214121497	Instalando contenido adicional: {0} %
1657622959	La misión aún no se ha instalado
1609842196	Algo ha fallado al cargar.
1893923580	Perdón. Algo ha salido mal.
1419415249	Se ha cerrado sesión
1458532162	{0} ha cerrado sesión. Volviendo al menú principal.
1575082279	Usuario cambiado
306408042	Se ha cambiado al perfil {0}. Volviendo al menú principal.
1429086435	(+{0} más)
1409730632	Pulsa cualquier tecla para empezar
648045773	Esperando a PlayStation®Store
442800743	Esperando a Xbox Store
128141297	Se ha producido un error en la red.
681487417	Ajustes de vídeo
1052460126	Ajustes de jugabilidad
2087751746	Ajustes de audio
25224588	Datos de arranque
1739078801	Configuración de entrada
1649511477	Tu configuración de entrada personalizada estaba dañada y se rescribirá con la configuración por defecto.
442535890	La partida guardada está dañada. La misión se reiniciará.
830724165	Ajustes de seguimiento ocular
75518517	No hay espacio suficiente disponible. Libera más espacio para guardar la partida.
1883515290	Para ver una descripción general de todas las acciones vinculables, ve a Opciones y abre el menú Controles.
181097058	Cambiar
2120229012	Pulsa {0} para cargar la última partida guardada
1659245168	Pulsa para cargar
529741173	Capítulo I
213395621	Capítulo II
1849150576	Capítulo III
621937644	
396044400	Estadísticas globales
42023172	Visor de repeticiones
1655725184	Tutoriales
248132106	Pulsa {0} para ver el videotutorial
1280511646	Videotutoriales
1247566776	Consejos
939486293	Ver
943246456	Guardar repetición
1893463442	Cuartel
972756208	Cargar repetición
1453684936	¿Borrar repetición? {0}
1850594441	¡Límite de repeticiones alcanzado!
1788790745	Repetición dañada
1497734632	Espera, por favor
791830996	Cargando tu repetición...
980330027	Esto no se puede cambiar mientras juegas.
905456972	Modo de dificultad:
90161797	Fácil
772446225	Intermedia
1323360165	Difícil
773723552	Desafíos
2031709440	Desafío del barón
742750455	MECÁNICA DE JUEGO
1072918770	Vibración
752466123	Activa la vibración del mando.
510496150	Activa la vibración del mando inalámbrico.
1469139790	Modo de seguimiento de cámara
2096575592	Estándar
652460590	Inteligente
1820430346	Siempre
259250595	Estándar: Sin seguimiento automático, solo manualmente/nSiempre: Mantiene la cámara centrada en el líder
405449256	Velocidad de apuntado con mando
439942642	Velocidad de apuntado con mando inalámbrico
1867437729	Ajusta la velocidad de movimiento del cursor para habilidades de apuntar.
1606175245	Umbral de eje del mando
2027151249	Umbral de eje del mando inalámbrico
600213007	Ajusta el umbral para el reconocimiento del movimiento del stick del mando.
626213254	Ajusta el umbral para el reconocimiento del movimiento del joystick del mando.
1320655516	Cono visual
1552857310	Ajusta la visibilidad de los conos visuales de los enemigos.
1848427170	Modo daltónico
312686700	Activa el modo daltónico.
1770522976	Intensidad de contorno
903136842	Débil
214647730	Intermedia
1939756145	Fuerte
2119128132	Ajusta la intensidad de los contornos de personajes y objetos interactivos.
486633304	Recordatorio de guardado
367072283	Activa el recordatorio de guardado en el borde superior de la pantalla./nTambién ajusta el tiempo que tarda el recordatorio en reaparecer tras tu último guardado.
1382966912	Levantarse autom.
2021839866	Determina si los personajes se levantan automáticamente al hacer doble clic.
1877893628	Diálogo automático
175092334	Determina si los diálogos se pasan automáticamente durante las instrucciones.
1140205606	Alternar resaltador
1830301241	Determina cuánto tiempo estará activo el resaltador:/nDesactivado: Permanece activo unos segundos./nActivado: Permanece activo hasta que se desactiva.
666387157	Alternar avance rápido
1779818369	Determina cómo se usa el avance rápido:/nDesactivado: Mantén pulsado el botón para acelerar el tiempo, suéltalo para parar./nActivado: Pulsa el botón para activar y desactivar el avance rápido.
1327985646	Velocidad de cámara
471601378	Ajusta la velocidad de desplazamiento de tu cámara.
824998259	Desplazamiento de cámara en borde
558622535	Activa el desplazamiento de la cámara al llevar el cursor al borde de la pantalla.
2012998024	Rotación de cámara
415969457	Invertida
888640053	Normal
1154410071	Zoom de cámara
1062301022	Eje X de cámara
122559663	Eje Y de cámara
444678528	Arrastrar eje X de cámara
1512099547	Arrastrar eje Y de cámara
724136998	Apuntar eje X
1114573338	Apuntar eje Y
310268606	Subtítulos
904565450	Subtítulos de PNJ
1016841846	Activa subtítulos para los PNJ en el mundo del juego.
1076145211	Subtítulos de jugador
34778467	Activa subtítulos para los personajes del jugador en el mundo del juego.
1459237052	Subtítulos de escenas
1609466858	Activa los subtítulos en las escenas.
1865076062	Subtítulos de instrucciones
89601639	Activa los subtítulos en las instrucciones.
1993831770	Subtítulos de conversaciones
1423012840	Activa los subtítulos de las conversaciones durante el juego.
1627962200	Mando activo
1637947761	Selecciona qué mando de entrada quieres usar.
427002912	SONIDO
612494481	Idioma de textos
193233307	Selecciona el idioma de los textos escritos.
215104258	Teclado
1544447732	Selecciona la distribución del teclado.
357458454	Idioma de voces
776918688	Selecciona el idioma de los textos hablados.
692943060	Modo de altavoces
1727566288	Selecciona qué modo de altavoces quieres usar. Esta opción solo está disponible en el menú principal.
406098029	Estéreo
354244378	Envolvente 5.1
1693017002	Envolvente 7.1
543329642	Volumen general
506360498	Aumenta o disminuye el volumen general del juego.
1806164857	Volumen de música
636360512	Aumenta o disminuye el volumen de la música en el juego.
193405480	Volumen de efectos
719162085	Aumenta o disminuye el volumen de los efectos de sonido.
2076792662	Volumen de voces
1496215659	Aumenta o disminuye el volumen de las voces de personajes.
435550555	CONTROLES
194751495	GRÁFICOS
926514941	Calidad
658779970	Baja
1134711718	Intermedia
1132577025	Alta
904257921	Personalizado
1296485339	Sombras
1360711769	Activar o desactivar sombras
592999434	Distancia de sombras
30989482	Baja
897119853	Intermedia
1371281051	Alta
1373413817	Resolución de texturas
2009175530	Íntegra
429141927	La mitad
876302356	Un cuarto
9527696	Ocho
289642533	Aumenta o disminuye la resolución de las texturas.
8811852	Antialiasing
1916906986	Aumenta o disminuye el nivel de antialiasing.
102567943	Reflejos en el agua
74011557	Filtrado anisotrópico
1374150836	Oclusión ambiental
1780758815	Escala de renderizado
1290710887	Resolución
1269150780	Pantalla completa
995994767	Sincronización vertical
1487879630	Para lograr una experiencia óptima, ajusta la sincronización vertical en su valor máximo posible, según la frecuencia de imagen consistente más alta. Esta opción también depende de la frecuencia de refresco del monitor.
1700288794	No sincronizar
169915306	Frecuencia de refresco completa
1506251381	Frecuencia de refresco intermedia
475868445	Corrección gamma
1442293416	Ajusta la barra de gamma para que puedas distinguir todos los pasos del gradiente de texturas y apenas veas ya el arma que hay a la izquierda.
1956330395	CRÉDITOS
876312009	DESARROLLADOR
1093446963	REINICIAR PARTIDA
604412219	Esto hará que tu partida se reinicie. Perderás todo el progreso de la misión, las partidas guardadas y las placas desbloqueadas. Tus ajustes de imagen, de sonido, de juego y tus configuraciones de entrada personalizadas NO se reiniciarán. ¿Deseas continuar?
348832845	CARGANDO CONSEJO
1514049626	Consejos emergentes
163742262	Todos los personajes y habilidades tienen notas emergentes que te ayudan a descubrir nuevas estrategias. 
605453809	Ataques cuerpo a cuerpo no letales
482668800	Todos los ataques cuerpo a cuerpo tienen una opción no letal. Pulsa <hotkey>{0}</hotkey> para pasar a no letal, o usa el modificador en tu barra de habilidades.
1798452257	Todos los ataques cuerpo a cuerpo tienen una opción no letal. Mantén pulsado <hotkey>{0}</hotkey> para abrir tu rueda de personajes y pulsa <hotkey>{1}</hotkey> para alternar entre modos.
1907007791	Ataques con salto no letales
124657665	Cuando tu ataque cuerpo a cuerpo pasa a no letal, al lanzarte sobre los guardias los noquearás en vez de matarlos.
949271593	Mover cadáveres
1671046303	Los personajes mueven los cadáveres de distinta forma. En algunos prima la velocidad, otros se agazapan para que no los descubran.
1628782004	Matar y trasladar
1344684890	Mantén pulsado <hotkey>{0}</hotkey> al ordenar una muerte cuerpo a cuerpo para recoger el cadáver automáticamente.
1476567941	Mantén pulsado <hotkey>{0}</hotkey> durante una muerte cuerpo a cuerpo para recoger el cadáver automáticamente.
520060613	Marcador de cono visual
3333633	Tómate tu tiempo al probar un sitio con el marcador de cono visual. Las rutas de patrulla de algunos guardias son largas.
822402292	Resaltador
890170653	Pulsa <hotkey>{0}</hotkey> para resaltar a los enemigos y a los objetos interactuables del entorno.
63047757	Pulsa <hotkey>{0}</hotkey> para resaltar a los enemigos y a los objetos interactuables del entorno.
137001150	Muertes por entorno
1981927858	Si a un guardia lo mata la caída de un objeto, su muerte parecerá un accidente y nadie dará la alarma.
1066015511	Tipos de enemigo
1716596328	Desplaza el cursor por encima de los guardias para ver qué tipo de enemigo son.
739816734	Mantén pulsado <hotkey>{0}</hotkey> y desplaza el cursor por encima de los guardias para ver qué tipo de enemigo son.
570427210	Objetos importantes
1536012121	Desplaza el cursor sobre los objetos importantes para ver su función.
656570826	Mantén pulsado <hotkey>{0}</hotkey> y desplaza el cursor sobre los objetos interactuables para ver su función.
545151036	Rotación de cámara
68323806	Mantén pulsado <hotkey>{0}</hotkey> y mueve el ratón para girar libremente la cámara.
573759884	Mantén pulsado <hotkey>{0}</hotkey> y usa <hotkey>{1}</hotkey> para girar libremente la cámara.
141599116	Restablecimiento de cámara
1856158476	Pulsa <hotkey>{0}</hotkey> para centrar la cámara en tu personaje seleccionado y poner la rotación de cámara por defecto.
490202928	Entrada en cono visual
751421264	No tengas miedo de lanzarte al cono visual de un enemigo si es necesario. Mientras salgas de él lo bastante rápido, no te detectará.
1535817616	Surfeo de cono visual
1992853863	Prueba a surfear el cono visual de un enemigo para pasar sin que te descubra. Ve siguiéndolo cuando se aleje de ti y luego ponte rápidamente a cubierto.
549877002	Esconder cuerpos
1937082586	Esconde cuerpos en arbustos, pozos y aguas profundas para deshacerte de ellos para siempre.
1636080378	Alternar acciones
1155856873	Pulsa <hotkey>{0}</hotkey> para alternar entre varias acciones disponibles desde tu posición.
1245857298	Cancelar acciones
890799486	Pulsa <hotkey>{0}</hotkey> para que tu(s) personaje(s) seleccionado(s) dejen de hacer todo lo que están haciendo.
1007969175	Pistolas y munición
1834588216	Las pistolas son muy poderosas, así que no temas usarlas. Presta atención por si ves cajas de munición.
1763635777	Armas de fuego
1226007028	El uso de habilidades con armas de fuego, salvo Tirador, te hará visible unos instantes, aunque estés en cuclillas.
1714326839	Selección rápida
187751512	Puedes pasar rápidamente a otra habilidad pulsando <hotkey>{0}</hotkey>. Y lo mismo con <hotkey>{1}</hotkey> para los personajes.
264685370	Mover cuerpos (Hector)
76879622	Hector puede cargar con dos cuerpos a la vez, incluso corriendo.
858462126	Mover cuerpos (Soltar rápido)
1778643117	Al llevar un cadáver, pulsa <hotkey>{0}</hotkey> para agacharse y soltarlo en el acto.
1824651014	Uso instantáneo de habilidad
2122441486	Mantén pulsado <hotkey>{0}</hotkey> para ejecutar rápidamente habilidades que no requieran apuntar (como la trampa de Hector).
1607957211	Personalización de la IU
2063046262	Puedes personalizar la IU en el menú de opciones y desactivar elementos como el recordatorio de guardado.
243581491	Cajas de munición
1372447036	Si necesitas balas u otra munición, busca cajas de suministros en el entorno.
1971425251	Casacas largas
821076907	Los casacas largas son inmunes a ciertos ataques, como el cuchillo de Cooper, el gas aturdidor de McCoy y la trampa para osos de Hector.
1119380193	Salud de los casacas largas
988394871	Los casacas largas tienen tres puntos de salud. Si la cosa se pone fea, puedes abatirlos a tiros.
1235072996	Huellas de señuelo
734938354	Al caminar por el barro, puedes usar tus huellas para atraer a enemigos a trampas o emboscadas.
822878847	Huellas y evasión
1971769156	Si un guardia sigue tus huellas, puedes subirte a escaleras o pasar por edificios para que te pierda el rastro.
1050777356	Apagar luces
63767177	Puedes apagar pequeñas fuentes de luz como lámparas y antorchas. Los guardias las volverán a encender al verlas. 
1615453610	Cuerpos de señuelo
126865505	Puedes usar un cadáver para atraer a otro guardia a su perdición. Pero procura liquidarlo antes de que dé la alarma.
1685026057	Trayectorias en arco
1810398782	Algunas habilidades describen un arco, así que se pueden usar estando a cubierto y por encima de obstáculos.
863688220	Trayectorias directas
638419450	Algunas habilidades tienen una trayectoria recta. Si no puedes ver bien al objetivo, tu personaje buscará un sitio mejor para usar la habilidad.
298907312	Detección de señuelos
1903469107	El primer guardia que vea un señuelo (como el maletín de McCoy) abandonará su puesto para recogerlo, aunque otros también lo puedan ver. Las patrullas siempre van juntas.
778842893	Edificios ocupados
1438210843	Tus personajes no pueden entrar en edificios que tengan enemigos dentro.
470739778	Huir
1020868379	Los enemigos no pueden trepar por enredaderas ni saltar huecos. Aprovéchalo cuando intentes escapar.
1108269139	Rabillo del ojo
1137613639	Los enemigos pueden verte por el rabillo del ojo si te quedas demasiado rato junto a ellos.
1338931543	Lámparas de señuelo
509385294	Puedes usar las lámparas apagadas para atraer a enemigos a trampas o emboscadas.
158140971	Guardias con lámpara
1255254891	Si eliminas a un guardia con un ataque a distancia, la lámpara no se apagará. Acércate a ella para apagarla.
2070314948	Civiles
210762969	Los civiles hostiles no te atacarán, pero si te ven infringir la ley se irán corriendo a avisar al guardia más cercano.
2142535667	Modo Duelo
2088413710	El modo Duelo es una poderosa herramienta para configurar acciones simultáneas. Pruébalo si te atascas en un desafío.
934714147	Tirador en modo Duelo
312206160	Al usar el modo Duelo, no te olvides de McCoy. Su Tirador apenas requiere ajustes y puede eliminar enemigos desde una distancia segura.
2119107841	Gato en modo Duelo
1433267486	Al usar el modo Duelo, la gata de Isabelle se quedará esperando junto a su objetivo para que la acción se ejecute sin demora.
269943082	Bala dorada
410699328	McCoy siempre se reserva una bala extra para los objetivos de una misión. No tengas miedo de no cumplir una por quedarte sin ellas.
1568979145	Quitarse el disfraz
471953919	Mantén pulsado <hotkey>{0}</hotkey> para quitarle manualmente el disfraz a Kate.
1773294443	Desbloquear placas
1758401545	Desbloquea placas realizando ciertas proezas o desempeñando misiones en ciertas condiciones.
2100745183	Placas y dificultad
1881388511	Puedes desbloquear placas al jugar en la dificultad normal o superior.
1816057841	Tipos de placas
2112292041	Las placas pequeñas son pruebas de habilidad, como el tiempo que tardas o el número de víctimas en un nivel. Para las placas grandes deberás jugar a los niveles de formas que no esperabas.
824582774	La banda desarrolladora
1561875126	Algunos enemigos se llaman como los desarrolladores. ¿Podrás encontrarlos todos?
1154773630	Cambiar de dificultad
512149738	Cuando estás jugando a una misión no puedes cambiar la dificultad.
31059294	Personalizar controles
1048689626	Puedes personalizar el esquema de control y los diversos ajustes de juego en el menú de opciones.
1220564156	Selección múltiple de personajes
1610317847	Mantén pulsado <hotkey>{0}</hotkey> y arrastra un recuadro sobre todos los personajes que quieras seleccionar. O si no, mantén pulsado <hotkey>{1}</hotkey> y haz clic <hotkey>{2}</hotkey> en sus retratos.
42793480	Mientras mantienes pulsado <hotkey>{0}</hotkey>, usa <hotkey>{1}</hotkey> para seleccionar más de un personaje, o <hotkey>{2}</hotkey> para seleccionar todos los personajes disponibles. Controlarás al primer personaje que hayas seleccionado, y los demás lo seguirán.
1356113339	Múltiples puntos intermedios
1387195571	Mantén pulsado <hotkey>{0}</hotkey> y usa <hotkey>{1}</hotkey> para colocarles varios puntos intermedios a los personajes.
2070609971	Modo Visión
878634208	Mantén pulsado<hotkey>{0}</hotkey> para pasar al modo visión y seleccionar los conos visuales de los enemigos. Durante el modo Visión, también puedes colocar un marcador de cono visual, mostrar zonas de alarma o usar el avance rápido para acotar el tiempo de espera.
765451162	Avance rápido
1546069925	Mantén pulsado <hotkey>{0}</hotkey> para acelerar el juego.
255324182	Mantén pulsado <hotkey>{0}</hotkey> y <hotkey>{1}</hotkey> para acelerar el juego.
1188458775	Zonas de alarma
2056027763	Usa <hotkey>{0}</hotkey> para mostrar zonas de alarma y resaltar los cuarteles. Si en una zona hay un cuartel, de allí vendrán los refuerzos durante una alarma. Si no hay un cuartel, la zona es de color gris.
260850587	Mantén pulsado <hotkey>{0}</hotkey> y usa <hotkey>{1}</hotkey> para mostrar zonas de alarma y resaltar los cuarteles. Si en una zona hay un cuartel, de allí vendrán los refuerzos durante una alarma. Si no hay un cuartel, la zona es de color gris.
1830410793	Guardias que conversan y distracciones
886347188	Si hay dos guardias hablando y uno de ellos es inmune a ciertas distracciones, ambos lo son. Por ejemplo, si intentas atraer a un matón que habla con un poncho, este retendrá al primero.
66646900	Habilidades de sanación
1806946441	Las habilidades de sanación como los vendajes de McCoy tienen una munición ilimitada, pero tardan un tiempo en aplicarse. Es mejor usarlos cuando no haya moros en la costa.
1379027361	Distracciones en zonas con civiles
219606787	Si usas una distracción en una zona con civiles y alguien lo presencia, esa persona se vuelve inmune a la distracción.
800642416	Icono de ruido fuera de pantalla
1716797887	Si alguien de fuera de la pantalla está en el radio de ruido de tus acciones, aparecerán como un icono en pantalla.
1509223741	Línea de apuntado
768965028	Si la trayectoria de una habilidad a distancia está bloqueada, la línea de apuntado se volverá parcialmente roja. Las habilidades solo alcanzarán su objetivo si la línea está verde del todo.
710558629	Teclas rápidas de personajes
1124360782	Puedes seleccionar a tus personajes mediante atajos que se muestran junto a sus retratos. Pulsa una tecla rápida para seleccionar un personaje. Púlsala de nuevo para centrar la cámara en ese personaje.
461437642	Uso de la cámara de seguimiento
808795684	Usa <hotkey>{0}</hotkey> para que la cámara siga a tu personaje hasta que muevas la cámara a mano.
94599441	Modos de cámara de seguimiento
753717552	Puedes cambiar de modo de cámara de seguimiento en el menú de opciones. «Estándar» es el que más control da al jugador.
907376899	Arrastrar cámara
2027724162	Mantén pulsado <hotkey>{0}</hotkey> para arrastrar la cámara.
1063320780	Parar a media subida
1755510902	Pulsa <hotkey>{0}</hotkey> para parar a media subida en escaleras, cuerdas y enredaderas.
1836583362	Mover cuerpos en el modo Duelo
68164799	Si recoges un cuerpo en el modo Duelo, puedes reservar una acción adicional para moverlo y soltarlo. Esto también funciona con Matar y trasladar.
240081232	Puntos intermedios en modo Duelo
321945412	En el modo Duelo, puedes trazar un solo punto intermedio para cada personaje.
1843019443	Información de refuerzos
72136199	Pulsa <hotkey>{0}</hotkey> o pasa el ratón sobre el icono de un cuartel para ver el número y tipo de refuerzos que se desplegarán durante una alarma, así como el número total de reservas.
1133491710	Mantén pulsado <hotkey>{1}</hotkey> y pulsa <hotkey>{0}</hotkey> o mueve el cursor sobre el icono de un cuartel para ver el número y tipo de refuerzos que se desplegarán durante una alarma, así como el número total de reservas.
1806446353	Límites de refuerzos
2073461372	Con cada nueva alarma, los guardias de refuerzo muertos o atados serán sustituidos por las reservas limitadas del cuartel. Si un cuartel está vacío, no vendrán más refuerzos.
1306284367	Perros ladradores
1729303052	Que un perro ladre no hará saltar la alarma, pero los guardias que lo oigan vendrán a investigar.
1491777208	Estados de noqueo
1324369933	Si un guardia se encuentra a otro sin sentido, lo despertará y no dará la alarma. Sin embargo, si presencian el noqueo o encuentran a la víctima atada, SÍ que la darán.
242717582	Hacer picar a casacas largas
841587656	Los casacas largas son inmunes a los señuelos, pero puedes hacerlos picar con huellas o lámparas apagadas.
230296262	Disparos como cebo
1005629954	Si te ves capaz, puedes usar el ruido de tus disparos como cebo. Eso hará sonar la alarma, pero puede atraer a grandes grupos de enemigos, entre ellos los casacas largas, a la ubicación que elijas.
2134260994	Controlar mentalmente a los casacas largas
705025876	Los casacas largas resisten el control mental de Isabelle. Solo se los puede controlar mientras están aturdidos.
656581142	Controlar mentalmente a los culpables
1599654236	Matar con un guardia bajo control mental lo señalará como culpable. Si otros guardias presencian el asesinato, atacarán al culpable. Si encuentran al culpable inconsciente junto a la víctima, lo atarán.
97437742	Culpables y casacas largas
335053795	Si un casaca larga queda aturdido por un guardia controlado mentalmente, recordará la cara del culpable y le pegará un tiro cuando vuelva a verlo.
1258883271	Habilidades de control mental
1486407837	Las habilidades disponibles durante el control mental dependen de la víctima. Los guardias pueden matar con sus armas respectivas. Los civiles pueden pedir ayuda para atraer a los guardias.
1289329808	Conexión y distracciones
759975619	Si dos guardias están conectados y uno de ellos oye un ruido de distracción (como la moneda de Cooper), ambos mirarán en la dirección del ruido.
2003290337	Conexión y señuelos
241375047	Si dos guardias están conectados y uno pica con un señuelo (como la bolsa de McCoy), el otro también dará unos cuantos pasos hacia él, y luego se lo pensará mejor y volverá a su puesto.
1911833233	Conexión y tipos de daño
477939682	La conexión siempre transfiere el mismo tipo de daño. Mata a un guardia, y su colega conectado morirá. Noquea a uno, y el otro caerá inconsciente.
400560812	Conectar y casacas largas
1973720970	Es posible aturdir a los casacas largas con el daño recibido de guardias conectados. El efecto será siempre de aturdimiento, aun cuando lo normal sería que el tipo de daño los matara directamente (como el hacha de Hector).
696649581	Conexión y habilidades de cegamiento
137918846	Si dos guardias están conectados y a uno de ellos lo ciegan (como con el perfume de Kate), ambos quedarán ciegos.
331045493	Movimiento de la gata
753041168	La gata de Isabelle puede trepar por escaleras, cuerdas y enredaderas. Pero nadar no puede.
2127142431	Birlar
602778606	Si un guardia lleva un objeto importante, Kate puede birlárselo de los bolsillos.
801171987	Cadáveres y aguas poco profundas
735202007	Puedes usar aguas poco profundas para esconder cadáveres.
1288975608	Encender antorchas
127998834	Puedes prender tu antorcha en todos los fuegos del entorno, incluidas otras antorchas.
139855627	Antorchas y arbustos
1348930656	Al agacharte en un arbusto se te apagará la antorcha. 
328319678	Cuerpos de muertos por entorno 
2026724582	Puedes usar los cuerpos de muertos por entorno como señuelo sin provocar alarma.
1591065676	Arrojar cuerpos
