English	Английский
352385758	Идет сохранение: пожалуйста, не выходите из игры, когда видите это предупреждение.
488026919	Посетите наш магазин, если вы хотите приобрести Shadow Tactics: Blades of the Shogun.
289232529	Перейти в магазин Xbox
1024096936	Перейти в PlayStation®Store
1214121497	Установка дополнительных материалов: {0}%
1657622959	Задание еще не установлено
1609842196	При загрузке что-то пошло не так.
1893923580	Извините. Что-то пошло не так.
1419415249	Выход из учетной записи
1458532162	{0}: выход из учетной записи, возврат в главное меню.
1575082279	Смена пользователя
306408042	{0}: смена учетной записи, возврат в главное меню.
1429086435	(еще +{0})
1409730632	Нажмите любую клавишу, чтобы начать
648045773	Ожидание PlayStation®Store
442800743	Ожидание магазина Xbox
128141297	Ошибка сетевого соединения.
681487417	Параметры видео
1052460126	Параметры игрового процесса
2087751746	Параметры аудио
25224588	Загрузочные данные
1739078801	Конфигурация ввода данных
1649511477	Пользовательская схема управления повреждена. Восстановлена схема по умолчанию.
442535890	Сохранение повреждено, возобновление задания.
830724165	Параметры отслеживания взгляда
75518517	Недостаточно места. Пожалуйста, освободите место для сохранения игры.
1883515290	Чтобы получить полный список связываемых действий, откройте раздел «Управление» в меню настроек
181097058	Изменить
2120229012	Нажмите {0} для загрузки последнего быстрого сохранения
1659245168	Нажмите для загрузки
529741173	Глава I
213395621	Глава II
1849150576	Глава III
396044400	Общие сведения
42023172	Просмотр повторов
1655725184	Обучение
248132106	Нажмите {0} для просмотра обучения
1280511646	Обучающие видео
1247566776	Подсказки
939486293	Просмотр
943246456	Сохранить повтор
1893463442	Караульня
972756208	Загрузить повтор
1453684936	Удалить повтор? {0}
1850594441	Достигнуто максимальное количество повторов!
1788790745	Повтор поврежден
1497734632	Пожалуйста, подождите
791830996	Загрузка повтора...
980330027	Невозможно изменить это в ходе игры.
905456972	Уровень сложности
90161797	Низкий
772446225	Средний
1323360165	Высокий
773723552	Испытания
742750455	ИГРОВОЙ ПРОЦЕСС
1072918770	Вибрация
752466123	Включение вибрации геймпада.
510496150	Включение вибрации беспроводного контроллера.
1469139790	Режим слежения камеры
2096575592	Обычный
652460590	Реагирующий
1820430346	Постоянный
259250595	Обычный: автоматическое слежение отсутствует; ручное управление/nПостоянный: камера всегда нацелена на лидера
405449256	Скорость прицела на геймпаде
1606175245	Порог чувствительности мини-джойстиков геймпада
600213007	Настройка порога чувствительности мини-джойстиков.
1320655516	Поле обзора
1552857310	Настройка заметности вражеского поля обзора.
1848427170	Режим дальтоника
312686700	Подключение режима дальтоника.
1770522976	Прорисовка контура
903136842	Слабая
214647730	Средняя
1939756145	Четкая
2119128132	Настройка четкости контуров персонажей и интерактивных предметов.
486633304	Напоминание о сохранении
367072283	Установка напоминания о сохранении в верхней части экрана./nНастройка времени с момента последнего сохранения до того, когда появляется напоминание.
1382966912	Автоподъем
2021839866	Настройка того, как персонаж встает: автоматически или по двойному щелчку.
1877893628	Автодиалог
175092334	Настройка того, как проигрываются диалоги: автоматически или вручную.
1140205606	Подсветка
1830301241	Настройка подсветки:/nВ положении Выкл. подсветка будет работать несколько секунд./nВ положении Вкл. подсветка будет работать, пока вы ее не отключите.
666387157	Вкл/выкл. ускорение времени
1327985646	Скорость камеры
824998259	Прокрутка камеры
2012998024	Вращение камеры
1154410071	Приближение камеры
1062301022	Ось X камеры
122559663	Ось Y камеры
444678528	Горизонтальная проводка камеры
415969457	Инверсия
888640053	Без инверсии
1512099547	Вертикальная проводка камеры
724136998	Горизонтальное нацеливание
1114573338	Вертикальное нацеливание
310268606	Субтитры
904565450	Субтитры для NPC
1016841846	Включение субтитров над головой говорящих NPC.
1076145211	Субтитры для игрока
1459237052	Субтитры для видео
1865076062	Субтитры инструктажа
1993831770	Субтитры диалогов
1627962200	Активный геймпад
1637947761	Выберите геймпад для ввода данных.
427002912	АУДИО
612494481	Язык текста
215104258	Клавиатура
357458454	Язык озвучивания
692943060	Режим динамика
1727566288	Выберите режим динамика. Выбор доступен только в основном меню.
543329642	Общая громкость
506360498	Изменение общей громкости
1806164857	Громкость музыки
636360512	Изменение громкости музыки
193405480	Громкость эффектов
719162085	Изменение громкости звуковых эффектов
2076792662	Громкость голосов
1496215659	Изменение громкости голосов персонажей
435550555	УПРАВЛЕНИЕ
194751495	ВИДЕО
926514941	Качество
658779970	Низкое
1134711718	Среднее
1132577025	Высокое
904257921	По выбору
1296485339	Тени
1360711769	Включение и отключение теней
592999434	Расстояние тени
30989482	Низкое
897119853	Среднее
1371281051	Высокое
1373413817	Разрешение текстур
2009175530	Полностью
429141927	Половина
876302356	Четверть
9527696	Одна восьмая
289642533	Изменение разрешения текстур
8811852	Сглаживание
1916906986	Изменение уровня сглаживания
102567943	Отражения в воде
74011557	Анизотропный фильтр
1374150836	Фоновое затенение
1780758815	Масштаб
1290710887	Разрешение
1269150780	Полный экран
995994767	V-Sync
1700288794	Не синхронизировать
169915306	Полная частота обновления
1506251381	Половина частоты обновления
475868445	Коррекция градаций яркости
1442293416	Настройте гамма-ползунок таким образом, чтобы были различимы все ступени градиентной текстуры и почти не различимо оружие слева.
1956330395	АВТОРЫ
876312009	РАЗРАБОТКА
1093446963	ПЕРЕЗАГРУЗИТЬ ИГРУ
604412219	Ваша игра будет перезагружена. Вы потеряете прогресс заданий, все сохранения и разблокированные значки. Настройки видео, аудио и игрового процесса, а также индивидуальные настройки управления сброшены НЕ БУДУТ. Продолжить?
348832845	ПОДСКАЗКИ
1514049626	Подсказки
163742262	У всех навыков и персонажей имеются подсказки. Они помогают вам открывать новые стратегии.
605453809	Нелетальные атаки ближнего боя
482668800	Любая атака ближнего боя может быть не смертоносной. Нажмите <hotkey>{0}</hotkey> для перехода в нелетальный режим или воспользуйтесь ползунком шкалы навыка.
1798452257	Любая атака ближнего боя может быть не смертоносной. Удерживайте <hotkey>{0}</hotkey>, чтобы открыть колесо персонажа, и нажмите <hotkey>{1}</hotkey> для переключения между режимами.
1907007791	Нелетальные прыжковые атаки
124657665	Когда атаки ближнего боя переведены в нелетальный режим, вы можете прыгать на врагов, чтобы их оглушать, а не убивать.
949271593	Перемещение трупов
1671046303	Персонажи перемещают трупы разными способами. Для одних важна скорость, другие стараются пригибаться, чтобы их не заметили.
1628782004	Убийство и перемещение
1344684890	Удерживайте <hotkey>{0}</hotkey> в ближнем бою, чтобы автоматически подхватить труп.
1476567941	Удерживайте <hotkey>{0}</hotkey> в ближнем бою, чтобы автоматически подхватить труп.
520060613	Маркер поля обзора
3333633	Не спешите, когда применяете на месте маркер поля обзора. Некоторые охранники совершают долгий обход.
822402292	Подсветка
890170653	Нажмите <hotkey>{0}</hotkey>, чтобы выделить врагов и предметы, с которыми можно взаимодействовать.
63047757	Нажмите <hotkey>{0}</hotkey>, чтобы выделить врагов и предметы, с которыми можно взаимодействовать.
137001150	Убийство подручными предметами
1981927858	Если врага прикончит упавший на него предмет, это будет выглядеть как несчастный случай, и никто не поднимет тревогу.
1066015511	Типы врагов
1716596328	Наведите курсор на врага, чтобы определить его тип.
739816734	Удерживайте <hotkey>{0}</hotkey> и наведите курсор на врага, чтобы определить его тип.
570427210	Значимые предметы
1536012121	Наведите курсор на предмет, чтобы определить, как его можно использовать.
656570826	Удерживайте <hotkey>{0}</hotkey> и наведите курсор на предмет, чтобы определить, как его можно использовать.
545151036	Вращение камеры
68323806	Удерживайте <hotkey>{0}</hotkey> и двигайте мышью для вращения камеры.
573759884	Удерживайте <hotkey>{0}</hotkey> и используйте <hotkey>{1}</hotkey> для вращения камеры.
141599116	Возврат камеры в исходное положение
1856158476	Нажмите <hotkey>{0}</hotkey>, чтобы навести камеру на выбранного персонажа и развернуть ее в положение по умолчанию.
490202928	Попадание в поле обзора
751421264	Не бойтесь оказаться в поле обзора противника, если необходимо. Он вас не заметит, если вы быстро покинете опасную зону.
1535817616	Следование за полем обзора
1992853863	Попробуйте следовать за полем обзора противника, чтобы оставаться незамеченным. Двигайтесь следом, когда оно удаляется от вас, и быстро ныряйте в укрытие.
549877002	Укрывание тел
1937082586	Прячьте тела в кустах, сталкивайте их в колодцы или в реку, чтобы их никто никогда не нашел.
1636080378	Переключение действий
1155856873	Нажмите <hotkey>{0}</hotkey> для переключения между действиями, которые вам доступны.
1245857298	Отмена действий
890799486	Нажмите <hotkey>{0}</hotkey>, чтобы прервать все действия выбранного персонажа (или персонажей).
1007969175	Оружие и боеприпасы
1834588216	Огнестрельное оружие часто решает исход боя, используйте его чаще. И не пропускайте ящиков с боеприпасами.
1763635777	Стрельба
1226007028	Применяя любой навык стрельбы, кроме «Снайпера», вы ненадолго становитесь заметны даже в низкой стойке.
1714326839	Быстрый выбор
187751512	Вы можете быстро перебрать навыки, нажав <hotkey>{0}</hotkey>. Для перебора персонажей нажмите <hotkey>{1}</hotkey>.
264685370	Перемещение трупов (Гектор)
76879622	Гектор может таскать по два трупа за раз, даже бегом.
858462126	Перемещение трупов (быстрый сброс)
1778643117	Когда вы несете труп, нажмите <hotkey>{0}</hotkey>, чтобы пригнуться и немедленно его бросить.
1824651014	Немедленное применение навыка
2122441486	Удерживайте <hotkey>{0}</hotkey> для быстрого применения навыка, не требующего прицеливания (такого как капкан Гектора).
1607957211	Настройка интерфейса
2063046262	В меню настроек вы можете настроить интерфейс под себя и отключить некоторые элементы, например напоминание о сохранении.
243581491	Ящики с боеприпасами
1372447036	Если вам нужны патроны или другие боеприпасы, осмотритесь по сторонам в поисках ящиков с припасами.
1971425251	Плащи
821076907	Элитные враги – Плащи – невосприимчивы к некоторым атакам, например к ножу Купера, газу Маккоя и капкану Гектора.
1119380193	Здоровье Плащей
988394871	У Плащей по три очка здоровья. Когда решите, что дело труба – палите в них из всех стволов.
1235072996	Следы как приманка
734938354	Оставляя следы в грязи, можно заманивать противника в ловушки и засады.
822878847	Следы и бегство
1971769156	Если охранник пойдет по вашим следам, можно подняться по лестнице или пройти через постройку, чтобы сбить его с толку.
1050777356	Выключение света
63767177	Вы можете гасить небольшие источники света, типа ламп и факелов. Охранники зажгут их снова, когда увидят. 
1615453610	Трупы как приманка
126865505	Труп можно использовать, чтобы заманить охранника на верную смерть. Главное – успеть с ним разобраться, пока враг не поднял тревогу.
1685026057	Выгнутые траектории
1810398782	У некоторых навыков изогнутая траектория, их можно использовать из укрытия и над преградами.
863688220	Прямые траектории
638419450	У некоторых навыков прямая траектория. Если цель не находится в прямой видимости, персонажу придется искать другую точку для применения этого навыка.
298907312	Обнаружение приманок
1903469107	Первый охранник, обнаруживший приманку (например, саквояж Маккоя), покинет свой пост, чтобы ее подобрать, даже если другие тоже ее видят. Патрульные всегда ходят вместе.
778842893	Занятые постройки
1438210843	Ваш персонаж не может заходить в те постройки, где находятся враги.
470739778	Бегство
1020868379	Враги не могут карабкаться по лианам и перепрыгивать рвы. Используйте эти преимущества, спасаясь бегством.
1108269139	Краем глаза
1137613639	Противник может заметить вас краем глаза, если вы слишком долго стоите поблизости.
1338931543	Лампы как приманки
509385294	Вы можете гасить лампы, чтобы заманивать противника в ловушки и засады.
158140971	Охранники с лампами
1255254891	Если вы прикончите охранника атакой с расстояния, лампа, которую он нес, не потухнет. Чтобы ее погасить, вам придется подойти ближе.
2070314948	Мирные жители
210762969	Враждебные вам мирные жители не будут нападать, но если застанут вас за преступлением, тут же позовут ближайшего охранника.
2142535667	Режим побоища
2088413710	Режим побоища – отличный способ для одновременных действий. Испробуйте его, если задание покажется слишком сложным.
934714147	Снайпер в режиме побоища
312206160	В режиме побоища не забывайте Маккоя. Его снайперский навык не требует долгих приготовлений, и он может отстреливать врагов с дальней дистанции.
2119107841	Кошка в режиме побоища
1433267486	В режиме побоища кошка Изабель будет ждать рядом с целью, чтобы действие выполнялось без отсрочки.
269943082	Золотая пуля
410699328	Маккой всегда приберегает патрон про запас, чтобы выполнить задание. Не бойтесь, что вы провалите задачу из-за того, что у вас кончились патроны.
1568979145	Удаление маскировки
471953919	Удерживайте <hotkey>{0}</hotkey>, чтобы вручную снять с Кейт маскировку.
1773294443	Открытие значков
1758401545	Открывайте значки, выполняя определенные действия или задания с указанными условиями.
2100745183	Значки и сложность
1881388511	Значки можно открывать на нормальной сложности и выше.
1816057841	Типы значков
2112292041	Малые значки показывают ваши навыки. К примеру, они даются за завершение задания в срок или за количество жертв на уровне. Для получения больших вам придется проходить уровни неожиданным образом.
824582774	Банда разработчиков
1561875126	Некоторые враги носят имена разработчиков. Сможете ли вы отыскать их всех?
1154773630	Изменение сложности
512149738	Уровень сложности нельзя изменить во время выполнения задания.
31059294	Настройка управления
1048689626	В меню настроек вы можете настроить под себя схему управления и различные параметры игрового процесса.
1220564156	Выбор нескольких персонажей
1610317847	Удерживайте <hotkey>{0}</hotkey> и растяните рамку вокруг всех персонажей, которых хотите выбрать. Либо удерживайте <hotkey>{1}</hotkey> и щелкните <hotkey>{2}</hotkey> по их портретам.
42793480	Удерживая <hotkey>{0}</hotkey>, используйте <hotkey>{1}</hotkey> для выбора нескольких персонажей или <hotkey>{2}</hotkey> для выбора всех доступных персонажей. Вы будете управлять первым выбранным персонажем, остальные последуют за ним.
1356113339	Несколько точек маршрута
1387195571	Удерживайте <hotkey>{0}</hotkey> и используйте <hotkey>{1}</hotkey>, чтобы установить несколько точек маршрута для персонажей.
2070609971	Режим наблюдения
878634208	Удерживайте <hotkey>{0}</hotkey> для перехода в режим наблюдения и выбора полей обзора врагов. В режиме наблюдения вы можете установить маркер поля обзора, показать зоны тревоги и ускорить время, чтобы сократить ожидание.
765451162	Ускорение времени
1546069925	Удерживайте <hotkey>{0}</hotkey> для ускорения игрового процесса.
255324182	Удерживайте <hotkey>{0}</hotkey> и <hotkey>{1}</hotkey> для ускорения игрового процесса.
1188458775	Зоны тревоги
2056027763	Используйте <hotkey>{0}</hotkey>, чтобы увидеть зоны тревоги и выделить караульни. Если в зоне имеется караульня, оттуда придут подкрепления, как только прозвучит тревога. Если караульни нет, зона будет серой.
260850587	Удерживайте <hotkey>{0}</hotkey> и используйте <hotkey>{1}</hotkey>, чтобы увидеть зоны тревоги и выделить караульни. Если в зоне есть караульня, оттуда придут подкрепления, как только прозвучит тревога. Если караульни нет, зона будет серой.
1830410793	Болтающие охранники и отвлечения
886347188	Когда двое охранников разговаривают и один из них неуязвим для отвлекающих маневров, они оба становятся неуязвимы. Например, если вы попытаетесь отвлечь громилу, который болтает со стрелком в пончо, стрелок не позволит громиле отвлечься.
66646900	Навыки врачевания
1806946441	Лечебные навыки Маккоя, например бинтование, не ограничены наличием припасов, но требуют времени для применения. Их лучше использовать, когда вокруг все спокойно.
1379027361	Отвлекающие приемы среди мирных жителей
219606787	Если вы используете отвлекающий прием там, где есть мирные жители, и кто-то из них это заметит, он станет неуязвим для вашего маневра.
800642416	Знак «я все слышу»
1716797887	Если кто-то находится за пределами экрана, но при этом может вас услышать, на экране появится особый значок.
1509223741	Линия прицела
768965028	Если траектория дальнобойного навыка чем-то перегорожена, линия станет красной. Навык достигает цели, только когда траектория полностью зеленая.
710558629	Быстрый выбор персонажей
1124360782	Вы можете выбирать персонажей с помощью значков быстрого доступа рядом с их портретами. Нажмите горячую клавишу, чтобы сделать выбор. Нажмите ее еще раз, чтобы камера сфокусировалась на персонаже.
461437642	Слежение камерой
808795684	Используйте <hotkey>{0}</hotkey>, чтобы камера отслеживала персонажа, пока вы не сместите камеру вручную.
94599441	Режимы слежения камерой
753717552	Режимы слежения камерой можно переключать в меню настроек. Стандартный режим дает игроку наибольшую степень контроля.
907376899	Перемещение камеры
2027724162	Удерживайте <hotkey>{0}</hotkey> для перемещения камеры.
1063320780	Остановка при подъеме
1755510902	Нажмите <hotkey>{0}</hotkey>, чтобы остановиться, поднимаясь по лестнице, по лианам или по веревке.
1836583362	Перемещение тел в режиме побоища
68164799	Если вы поднимаете тело в режиме побоища, у вас появляется дополнительное действие: переместить его и бросить. Это работает также с убийством и перемещением.
240081232	Точки маршрута в режиме побоища
321945412	В режиме побоища можно устанавливать по одной точке маршрута на каждого персонажа.
1843019443	Информация о подкреплениях
72136199	Нажмите <hotkey>{0}</hotkey> или наведите мышь на караульню, чтобы увидеть, сколько подкреплений какого типа выбегут по тревоге, а также общее количество охранников.
1133491710	Удерживайте <hotkey>{0}</hotkey> и нажмите <hotkey>{1}</hotkey> или наведите мышь на караульню, чтобы увидеть, сколько подкреплений какого типа выбегут по тревоге, а также общее количество охранников.
1806446353	Ограничение подкреплений
2073461372	При каждой новой тревоге на замену мертвым или связанным охранникам из караульни будут выходить новые. Когда караульня опустеет, охранники перестанут появляться.
1306284367	Собачий лай
1729303052	Собачий лай не поднимет тревогу, но если кто-то из охранников его услышит, он подойдет посмотреть.
1491777208	Оглушение
1324369933	Если охранник найдет оглушенного коллегу, он разбудит его и не станет поднимать тревогу. А вот если он увидит, как кто-то оглушает охранника, или обнаружит того связанным, тревога БУДЕТ поднята.
242717582	Обман Плащей
841587656	Плащи не поддаются на приманки, но их можно завести в засаду с помощью следов или погашенных ламп.
230296262	Выстрелы как приманка
1005629954	Вы можете рискнуть и выстрелить, чтобы приманить охранников. Стрельба поднимет тревогу, зато на выбранное вами место сбежится много врагов, включая Плащей.
2134260994	Плащи и ментальный контроль
705025876	На Плащей не действуют способности Изабель. Она может взять их под ментальный контроль, только когда они оглушены.
656581142	Приемы ментального контроля
1599654236	Когда охранник, находящийся под ментальным контролем, убивает кого-то, он становится отступником. Если другие охранники были свидетелями убийства, они нападут на виновного. Обнаружив отступника без сознания рядом с жертвой, они его свяжут.
97437742	Отступники и Плащи
335053795	Если охранник, находящийся под ментальным контролем, оглушит Плаща, тот запомнит отступника в лицо и пристрелит, когда увидит в следующий раз.
1258883271	Навыки под ментальным контролем
1486407837	Навыки, доступные под ментальным контролем, зависят от жертвы. Охранник способен убить кого-то своим оружием. Мирный житель может позвать на помощь, чтобы подманить охрану.
1289329808	Связь и отвлекающие звуки
759975619	Когда охранники связаны друг с другом и один слышит отвлекающий шум (например, звон монетки Купера), на звук обернутся оба.
2003290337	Связь и приманки
241375047	Когда охранники связаны друг с другом и против одного из них сработает приманка (например, саквояж Маккоя), другой тоже сделает пару шагов в ту сторону, но потом передумает и вернется на свой пост.
1911833233	Связь и типы урона
477939682	Когда охранники связаны друг с другом, урон распространяется на них одинаково. Убейте одного – и напарник умрет. Оглушите одного – и другой тоже упадет без сознания.
