English	English
540295136	CARREGAR
1718974128	OPÇÕES
2095129783	Selecionar Missão
921695462	DLC
722272055	Ligado
1880743921	Desligado
1296485339	Sombras
1373413817	Resolução da textura
1360711769	Ativar ou desativar sombras.
1916906986	Aumentar ou diminuir o nível de antisserrilhamento.
289642533	Aumentar ou diminuir a resolução da textura.
148167890	2×
751714715	4×
723357853	8×
543329642	Volume principal
1806164857	Volume das músicas
193405480	Volume dos sons
2076792662	Volume das vozes
506360498	Aumentar/Diminuir o volume total do jogo
636360512	Aumentar/Diminuir o volume de música de jogo
719162085	Aumentar/Diminuir o volume de efeitos sonoros
1496215659	Aumentar/Diminuir o volume das vozes dos personagens
1205484016	DISTINTIVOS
383018457	Dificuldade
1545645000	Principiante
1038468303	Normal
626473240	Difícil
282651035	Sim
520483897	Não
727564207	JOGAR
614197672	SALVAR
1886644729	Menu principal
256619881	PAUSADO
327085024	LISTA RÁPIDA
1630446124	{0} hoje
499301031	Há {0} min.
1535055933	Há {0} min. {1} seg.
375658126	SUBSTITUIR
919197944	CARREGAR
1273710227	SAIR DO JOGO
1261996133	REINICIAR
1680915354	Deseja realmente sair para a Área de trabalho?
1228739812	Carregamento rápido
194751495	VÍDEO
742750455	JOGABILIDADE
427002912	ÁUDIO
435550555	CONTROLES
1956330395	CRÉDITOS
876312009	DESENVOLVEDOR
486633304	Lembrete de registro salvo
367072283	Ativa o lembrete de registro salvo na borda superior da tela./n Ajuste também o tempo para que o lembrete reapareça após seu último registro salvo.
904565450	Legendas NPC
1016841846	Habilita legendas para NPCs no mundo do jogo.
1140205606	Alternar marca-texto
612494481	Idioma do texto
357458454	Idioma da voz
1830301241	Determina quanto tempo o Marcador permanecerá ativo:/nDesligado: permanece ativo por alguns segundos./nLigado: permanece ativo até ser desativado.
1442293416	Ajuste a barra gama até que possa distinguir todos os estágios do gradiente de texturas e quase não poder ver mais a arma à esquerda.
1093446963	APAGAR PROGRESSO
604412219	Esta ação vai apagar o seu jogo atual. Você vai perder todo o progresso em missões, jogos salvos e distintivos desbloqueados. Suas opções de vídeo, áudio, jogabilidade e esquema de botões personalizado NÃO vai ser redefinido. Deseja mesmo continuar?
215104258	Teclado
1327985646	Velocidade da câmera
405449256	Sensibilidade do mouse
1606175245	Sensib. dos eixos do controle
600213007	Ajusta a Sensib. dos eixos do controle
824998259	Rolagem da borda da câmera
666387157	Alternar avanço rápido
1162764950	CINEMÁTICA
1225642196	Deseja assistir à cena novamente?
1718054198	Registros salvos rápidos
234100204	Registros salvos normais
738261692	Arquivo obsoleto!
753130424	NOVO JOGO
1238399001	CONFIRMAR
1063145121	COMEÇAR UM NOVO JOGO?
1171586678	DELETAR
620746292	Excluir registro salvo? {0}
66585026	OK
1382966912	Levantar automaticamente
2021839866	Determina se os personagens levantam automaticamente ao clicar duas vezes.
102014301	Próximo
48274808	Fechar
1637075804	INFO
871894210	VOLTAR
299223502	Missão fracassada
534861306	Selecione um arquivo para carregar
1290710887	Resolução
592999434	Distância da Sombra
30989482	Baixo
897119853	Médio
1371281051	Alto
102567943	Reflexo da água
1877893628	Diálogo automático
2009175530	Total
429141927	1/2
876302356	1/4
9527696	1/8
1609646037	Carregar registro salvo?
915383769	Dificuldade principiante requer alguns cuidados, mas deixa margem para erro. Os inimigos reagem mais devagar e são menos agressivos. Seus personagens têm mais saúde./n/nNOTA: Altamente recomendado para aqueles que não têm experiência com o gênero RTS.
1332767595	Dificuldade normal. Os inimigos reagem rapidamente e seus personagens têm uma quantidade moderada de pontos de vida./n/nNOTA: Recomendado para jogadores familiarizados com o gênero RTS.
84533367	Dificuldade difícil é destinada àqueles com um profundo conhecimento da mecânica tática em tempo real. Os inimigos reagem quase instantaneamente e são mais agressivos. Seus personagens têm menos saúde./n/nNOTA: Recomendado para veteranos do gênero RTS.
995994767	Sincronização vertical
1700288794	Desbloqueado
169915306	60
1506251381	30
74011557	Filtragem anisotrópica
1269150780	Tela Cheia
926514941	Qualidade
658779970	Baixo
1134711718	Médio
1132577025	Alto
904257921	Customizada
1374150836	Oclusão do Ambiente
8811852	Antisserrilhamento
1848427170	Modo daltônico
431050512	Falha ao salvar
1338371785	Algo deu errado ao salvar.
50685828	Carregando
462364397	Salvando
1753630574	Mais jogos
1920816122	Anterior
312686700	Ativa o modo daltônico.
175092334	Selecione seu idioma preferido para conversas faladas. No menu de opções, você pode alterar essa configuração a qualquer momento.
2119128132	Ajusta os contornos de personagens e objetos interativos.
1770522976	Intensidade do contorno
903136842	Fraco
214647730	Médio
1939756145	Forte
475868445	Correção “gama”
1552857310	Ajusta a visibilidade dos cones inimigos.
1320655516	Cones
1362801099	Aviso: este registro de jogo salvo está obsoleto! Carregá-lo o converterá para a última versão.
595402552	Escolha o idioma da voz
1894310156	Por favor, selecione seu idioma preferido para o diálogo falado. Você sempre pode alterar essa configuração posteriormente no menu de opções.
1031410729	Aplicar
1175167657	As configurações foram alteradas. Aplicar mudanças?
1937172350	Este registro do jogo salvo foi criado em outro nível. Ao carregá-lo, você sairá do nível atual e todo o progresso não salvo será perdido! Quer continuar?
692943060	Modo Alto-falante
1727566288	Selecione o modo de alto-falante que você deseja usar. Esta opção está disponível apenas no menu principal.
2012998024	Rotação da câmera
1154410071	Zoom da câmera
1062301022	Eixo X da câmera
122559663	Eixo Y da câmera
444678528	Arrastar câmera no eixo X
1512099547	Arrastar câmera no eixo Y
724136998	Eixo X da mira
1114573338	Eixo Y da mira
415969457	Invertido
888640053	Normal
469052433	Controle desconectado
1024292908	Reconecte seu controle ou pressione {0} em outro controle conectado.
1072918770	Vibração
510496150	Permite vibração do Controle sem fio.
1726656013	Carregando dados salvos do usuário
604825608	O jogo salvo está corrompido.
1072627118	O arquivo que você tentou carregar estava corrompido e será substituído pelas configurações padrão.
2074534947	DADOS DO USUÁRIO
495479490	Controle sem fio desconectado
1564185545	Sem espaço suficiente no disco. Libere mais espaço para salvar o jogo.
208516596	Corrompido
1080011117	MUDAR USUÁRIO
1615693186	Por favor, não desligue o seu sistema PlayStation®4 enquanto este símbolo estiver sendo exibido.
653665833	Por favor, não feche o jogo, suspenda o jogo ou desligue o console Xbox One enquanto este símbolo estiver sendo exibido.
1801035418	Por favor, não feche o jogo enquanto este símbolo estiver sendo exibido.
1308428726	Falha ao inicializar o armazenamento. Para jogar, você precisa de um espaço de armazenamento conectado.
1459825798	Tentar novamente
1825071464	O seu último jogo salvo está obsoleto ou corrompido. Deseja reiniciar a missão atual?
906613780	Você atingiu o número máximo de jogos salvos. Exclua um jogo salvo existente ou escolha um jogo salvo para substituir.
2114202035	Reconecte seu controlador sem fio ou use outro controlador sem fio conectado e alterne para o usuário que iniciou o aplicativo.
962072658	Salvando: não feche o jogo, suspenda o jogo ou desligue o console Xbox One enquanto este símbolo estiver sendo exibido
1499250081	Salvando: não desligue seu PlayStation®4 enquanto este símbolo estiver sendo exibido.
352385758	Salvando: Por favor, não feche o jogo enquanto este símbolo estiver sendo exibido.
488026919	Visite nossa página da loja se você deseja comprar {0}
289232529	Ir para Xbox Store
1024096936	Ir para PlayStation®Store
1609842196	Ocorreu um erro ao tentar carregar.
1893923580	Desculpa. Ocorreu um erro.
339664616	Desperado
2136073159	Dificuldade desperado requer planejamento e execução perfeitos. Os inimigos têm reflexos como raios. Os personagens quase não têm vida ou munição./n/nNOTA: NÃO RECOMENDADO PARA PRIMEIRA PARTIDA, independentemente da habilidade do jogador.
1627962200	Controle ativo
1637947761	Selecione qual controle você deseja usar na entrada.
752466123	Ativa a vibração do controle.
1419415249	Encerrar sessão
1458532162	{0} você desconectou. Retornando ao menu principal.
1575082279	Usuário trocado
306408042	Usuário trocado {0}. Voltando ao menu principal agora.
1429086435	(+{0} mais)
1409730632	‹Traduções GBJ›/nAperte qualquer tecla para começar
648045773	Aguardando a PlayStation®Store
442800743	Aguardando a Xbox Store
128141297	Ocorreu um erro de rede.
681487417	Opções de vídeo
1052460126	Opções de jogabilidade
2087751746	Opções de áudio
25224588	Dados de inicialização
1739078801	Esquema de botões
442535890	O jogo salvo está corrompido, a missão vai ser reiniciada.
830724165	Configurações de rastreamento ocular
75518517	Espaço em disco insuficiente. Libere mais espaço para salvar o jogo.
1883515290	Para ver uma visão geral de todas as ações vinculáveis, vá para Opções e abra o menu Controles.
1865076062	Legendas das Instruções
1993831770	Legendas da conversa
181097058	Alterar
2120229012	Pressione {0} para carregar o último jogo salvo
1659245168	Clique para carregar
529741173	Capítulo I
213395621	Capítulo II
1849150576	Capítulo III
396044400	Estatísticas globais
42023172	Ver gravações
1655725184	Tutoriais
943246456	Gravação salva
1893463442	Casa de guarda
1469139790	Modo de acompanhamento da câmera
259250595	Padrão: Nenhum acompanhamento automático, apenas por ação manual./nSempre: Mantém a câmera centralizada no líder.
2096575592	Padrão
652460590	Inteligente
1820430346	Sempre
1459237052	Legendas da cinemática
1076145211	Legendas do jogador
310268606	Legendas
348832845	CARREGAR DICAS
1514049626	Dicas das ferramentas
163742262	Todas as habilidades e personagens têm dicas que podem ajudá-lo a descobrir novas estratégias.
605453809	Ataques físicos não-letais
482668800	Todos os ataques físicos têm uma opção não-letal. Pressione <hotkey>{0}</hotkey> para mudar para não-letal ou use o modificador na barra de habilidades.
1798452257	Todos os ataques físicos têm uma opção não-letal. aguarde <hotkey>{0}</hotkey> para abrir sua roda de personagem e pressione <hotkey>{1}</hotkey> para alternar entre os modos.
1907007791	Ataques não letais de pulo
124657665	Quando seu ataque físico é mudado para não-letal, o ataque contra seus guardas o derrubará em vez de matá-los.
949271593	Movendo corpos mortos
1671046303	Cada personagem move os cadáveres de maneira diferente. Alguns transportam mais rápido, os outros os deixam mais próximos do chão para evitar serem detectados.
1628782004	Matar e Carregar
1344684890	Segure <hotkey>{0}</hotkey> ao ordenar uma morte física para carregar o corpo automaticamente.
1476567941	Segure <hotkey>{0}</hotkey> durante uma morte física para carregar o corpo automaticamente.
520060613	Marcador de cone
3333633	Não se apressem ao verificar um local com o marcador de cone. Alguns guardas têm longas rotas de patrulha.
822402292	Marcador
890170653	Pressione <hotkey>{0}</hotkey> para destacar inimigos e objetos interativos no ambiente.
63047757	Pressione <hotkey>{0}</hotkey> para destacar inimigos e objetos interativos no ambiente.
137001150	Mortes pelo ambiente
1981927858	Se um guarda for morto pela queda de um objeto, sua morte aparecerá como um acidente e ninguém soará o alarme.
1066015511	Tipos de inimigos
1716596328	Passe o mouse sobre os guardas para ver que tipo de inimigo eles são.
739816734	Segure <hotkey>{0}</hotkey> e passe o mouse sobre os guardas para ver que tipo de inimigo eles são.
570427210	Objetos importantes
1536012121	Mova o cursor sobre objetos importantes para ver sua função.
656570826	Segure <hotkey>{0}</hotkey> e mova o cursor sobre objetos importantes para ver sua função.
545151036	Girar a câmera
68323806	Segure <hotkey>{0}</hotkey> e mova o mouse para girar livremente a câmera.
573759884	Segure <hotkey>{0}</hotkey> e use <hotkey>{1}</hotkey> para girar livremente a câmera.
141599116	Reiniciar a câmera
1856158476	Pressione <hotkey>{0}</hotkey> para centralizar a câmera no personagem selecionado e reiniciar o giro da câmera para o padrão.
490202928	Entrar no cone
751421264	Não tenha medo de entrar no cone de um inimigo se necessário. Contanto que você possa voltar rápido o suficiente e não ser despercebido.
1535817616	Passar pelo cone
1992853863	Tente passar pelo cone de um inimigo e não ser percebido. Siga-o à medida que ele se afasta de você e entre rapidamente na cobertura.
549877002	Corpos Escondidos
1937082586	Esconda os corpos em arbustos, poços ou águas profundas para se livrar deles para sempre.
1636080378	Alternando ações
1155856873	Pressione <hotkey>{0}</hotkey> para alternar entre várias ações disponíveis em sua posição.
1245857298	Cancelando ações
890799486	Pressione <hotkey>{0}</hotkey> para que os personagens selecionados parem todas as ações atuais.
1007969175	Armas de fogo
1834588216	As armas são muito poderosas, então não tenha medo de usá-las. Mantenha os olhos abertos e encontre caixas de munição.
1763635777	Pistolas de tiro
1226007028	O uso de habilidades de armas de fogo que não sejam o Rifle fará com que você fique rapidamente visível, mesmo agachado.
1714326839	Seleção rápida
187751512	Você pode percorrer rapidamente as habilidades pressionando <hotkey>{0}</hotkey>. O mesmo funciona com <hotkey>{1}</hotkey> para personagem.
264685370	Mover corpos (Hector)
76879622	Hector pode carregar dois cadáveres ao mesmo tempo, mesmo enquanto corre.
858462126	Mover corpos (Liberar rápido)
1778643117	Ao carregar um corpo morto, pressione <hotkey>{0}</hotkey> para agachar e soltar imediatamente.
1824651014	Uso instantâneo de habilidades
2122441486	Segure <hotkey>{0}</hotkey> para executar rapidamente habilidades que não exigem mira (como a armadilha de Hector).
1607957211	Personalização da interface do usuário
2063046262	Você pode personalizar a interface do usuário no menu de opções e desativar elementos como o lembrete para salvar.
243581491	Caixas de munição
1372447036	Se você precisar de balas ou outras formas de munição, procure caixas de suprimentos no jogo.
1971425251	Casacos Longos
821076907	Os casacos longos são imunes a certos ataques, como a faca de Cooper, o gás KO de McCoy e a armadilha de urso de Hector.
1119380193	Saúde dos Casacos Longos
988394871	Casacos Longos tem três pontos de saúde. Se houver um empurrão, você pode derrubá-los com tiros.
1235072996	Pegadas como iscas
734938354	Ao andar na lama, você pode usar suas pegadas para atrair inimigos para armadilhas ou emboscadas.
822878847	Pegadas e Fuga
1971769156	Se um guarda seguir suas pegadas, você pode subir escadas ou atravessar edifícios para cortar suas pegadas.
1050777356	Apagando luzes
63767177	Você pode colocar pequenas fontes de luz, como Lampiões e tochas. Os guardas os reacenderão quando os virem. 
1615453610	Corpos como iscas
126865505	Você pode usar um cadáver para atrair outro guarda para a desgraça. Apenas certifiquem-se de tirá-los antes que eles disparem o alarme.
1685026057	Trajetos em arco
1810398782	Algumas habilidades viajam em um arco, o que significa que podem ser usadas sob cobertura e passar por obstáculos.
863688220	Trajetos diretos
638419450	Algumas habilidades caminham em linha reta. Se o alvo estiver bloqueado da sua visão, seu personagem procurará por um lugar melhor para usar a habilidade.
298907312	Detecção de isca
1903469107	O primeiro guarda que detectar uma isca (como a mala de McCoy) deixará o posto para recolhê-la, mesmo que outros possam vê-la. Patrulhas sempre andam juntas.
778842893	Edifícios ocupados
1438210843	Seus personagens não podem entrar em edifícios com inimigos dentro.
470739778	Fugindo
1020868379	Os inimigos não podem escalar trepadeiras ou saltar buracos. Use essas vantagens ao tentar fugir.
1108269139	Canto dos olhos
1137613639	Os inimigos podem detecta-lo pelos cantos dos olhos, se você ficar ao lado deles por muito tempo.
1338931543	Lampiões como iscas
509385294	Você pode usar Lampiões extintos para atrair inimigos para armadilhas ou emboscadas.
158140971	Guardas com Lampiões
1255254891	Se você matar um guarda com um ataque à distância, o Lampião que ele carrega não se apagará. Aproxime-se do lampião para apagá-la.
2070314948	Civis
210762969	Os civis hostis não o atacarão, mas se o virem infringir a lei, eles fugirão e buscarão o guarda mais próximo.
2142535667	Modo Duelo
2088413710	O modo duelo é uma ferramenta poderosa para executar ações simultâneas. Experimente se você estiver preso a um desafio.
934714147	Rifle no Modo Duelo
312206160	Ao usar o Modo duelo, não se esqueça de McCoy. Seu Rifle requer pouca configuração e pode derrotar os inimigos a uma distância segura.
2119107841	Gato do Modo Duelo
1433267486	Ao usar o Modo Duelo, o gato de Isabelle esperará próximo ao seu alvo para que a ação possa ser executada sem demora.
269943082	Bala dourada
410699328	McCoy sempre salva uma bala extra para os objetivos da missão. Não se preocupe em falhar em uma missão porque você ficou sem balas.
1568979145	Tirar o disfarce
471953919	Segure <hotkey>{0}</hotkey> para tirar manualmente o disfarce de Kate.
1773294443	Desbloquear distintivos
1758401545	Desbloqueie distintivos executando certos feitos ou jogando missões sob certas condições.
2100745183	Distintivos e Dificuldade
1881388511	Os distintivos podem ser desbloqueados ao jogar em dificuldade Normal ou superior.
1816057841	Tipos de Distintivos
2112292041	Distintivos pequenos são testes de habilidade, como o tempo que leva ou o número de vítimas em um nível. Distintivos grandes exigirão que você jogue níveis da maneira que você não esperava.
824582774	Gangue do desenvolvedor
1561875126	Alguns inimigos tem o nome de desenvolvedores. Você vai conseguir encontrar todos eles?
1154773630	Alterar dificuldade
512149738	Você não pode mudar de dificuldade enquanto estiver jogando uma missão.
31059294	Personalizando controles
1048689626	Você pode personalizar o esquema de controle e várias configurações de jogo no menu de opções.
1220564156	Seleção múltipla de personagens
1610317847	Segure <hotkey>{0}</hotkey> e arraste uma caixa sobre todos os personagens que você deseja selecionar. Ou então, segure <hotkey>{1}</hotkey> e clique em <hotkey>{2}</hotkey> em seus respectivos retratos.
42793480	Enquanto segura <hotkey>{0}</hotkey>, use <hotkey>{1}</hotkey> para selecionar mais de um personagem ou <hotkey>{2}</hotkey> para selecionar todos os caracteres disponíveis. Você controlará o primeiro personagem que selecionou e os outros o seguirão.
1356113339	Pontos de referência múltiplos
1387195571	Segure <hotkey>{0}</hotkey> e use <hotkey>{1}</hotkey> para estabelecer pontos de referência múltiplos para o personagem seguir.
2070609971	Modo visão
878634208	Segure <hotkey>{0}</hotkey> para entrar no Modo Visão e selecione cones inimigos. Enquanto estiver no modo visão, você também pode definir um marcador de cone, exibir zonas de alarme ou usar o avanço rápido para reduzir o tempo de espera.
765451162	Avanço rápido
1546069925	Segure <hotkey>{0}</hotkey> para avançar rapidamente o jogo.
255324182	segure <hotkey>{0}</hotkey> e <hotkey>{1}</hotkey> para avançar rapidamente o jogo.
1188458775	Zonas de alarme
2056027763	Use <hotkey>{0}</hotkey> para exibir as zonas de alarme e realçar Casas de guarda. Se houver uma casa de guarda em uma zona, reforços virão de lá durante um alarme. Se não houver Guarda, a zona será cinza.
260850587	Segure <hotkey>{0}</hotkey> e use <hotkey>{1}</hotkey> para exibir Zonas de alarme e realçar Casas de Guarda. Se houver uma casa de guarda em uma zona, reforços virão de lá durante um alarme. Se não houver Guarda, a zona será cinza.
1830410793	Guardas falantes e distrações
886347188	Se dois guardas estiverem conversando e um deles é imune a certas distrações, ambos são imunes. Por exemplo, se você tentar atrair um bandido que esteja conversando com um poncho, o poncho o segurará.
66646900	Habilidades de Cura
1806946441	Habilidades de cura como as bandagens de McCoy têm munição ilimitada, mas levam tempo para serem aplicadas. É melhor usá-los quando não estiver em ataque.
1379027361	Distrações em zonas civis
219606787	Se você usar uma distração em uma zona civil e alguém a testemunhar, essa pessoa fica imune à distração.
800642416	Ícone de ruído fora da tela
1716797887	Se alguém fora da tela estiver dentro do raio de ruído de suas ações, elas aparecerão como um ícone na tela.
1509223741	Linha da mira
768965028	Se o caminho de uma habilidade de longo alcance for bloqueado, a linha da mira ficará parcialmente vermelha. As habilidades só atingirão seu objetivo se a linha estiver completamente verde.
710558629	Teclas de atalho do personagem
1124360782	Você pode selecionar seus personagens usando os atalhos exibidos ao lado de seus retratos. Pressione uma tecla de atalho para selecionar um personagem. Pressione novamente para focar a câmera nesse personagem.
461437642	Usando a câmera de rastreio
808795684	Use <hotkey>{0}</hotkey> para fazer a câmera seguir seu personagem até que você a mova manualmente.
94599441	Modos câmera de rastreio
753717552	Você pode alterar o modo da câmera de rastreio no menu de opções. "Padrão" é o que dá ao jogador mais controle.
907376899	Arrastar câmera
2027724162	Segure <hotkey>{0}</hotkey> para arrastar a câmera.
876399661	Faca
1749163056	Derruba um inimigo à queima-roupa.
1589031175	Soco
1638963563	Nocauteia um inimigo à queima-roupa.
1031684057	Velha 51
567933229	Atire em um inimigo com a Colt 1851 Navy. Pode ser emparelhado com a modelo de 63.
943917545	Modelo de 63
834457639	Atire em um inimigo com a modelo de 63. Pode ser emparelhado com a Colt 1851 Navy.
1646673140	Moeda Falsa
63345104	Jogue uma moeda falsa para criar ruído. Os inimigos ao alcance olharão para o barulho.
1584617927	Faca de arremesso
1371261109	Jogue a faca para derrubar um inimigo a longa distância. Precisa ser recuperada novamente.
1858999661	Faca de arremesso
1109372431	Jogue a faca para derrubar um inimigo a longa distância. Precisa ser recuperada novamente.
1881764354	O machado
1636874639	Derrube um inimigo à queima-roupa. Pode matar casacos longos.
1879142254	Martelo primeiro
771797553	Derrube um inimigo à queima-roupa. Pode nocautear casacos longos.
1245144391	Bianca
1307582697	Coloque Bianca (armadilha para urso). Mata o primeiro inimigo que pisar nela. Precisa ser recuperada novamente.
1246149011	Assobiar
823392386	Assobiar para criar ruído. Os inimigos ao alcance se moverão para o local de Hector.
1909121017	A da Boa
473693194	Tome um gole para curar Hector. Forte demais para todo mundo.
2029916213	Espingarda Serrada
930899656	Atire nos inimigos com a serrada. Atinge todos os alvos dentro do cone de dano.
2030315960	Frasco de gás do pântano
1935924802	Jogue um frasco de gás do pântano. Nocauteia todos os inimigos dentro do alcance. Casacos longos são imunes.
2008559261	Seringa
439476221	Derrube um inimigo à queima-roupa.
577578858	Clorofórmio
1468800898	Derrube um inimigo à queima-roupa.
652519200	Rifle de longo alcance
944782434	Atire em um inimigo com o Rifle de longo alcance, sem fazer barulho.
1992836515	A bolsa do médico
1392794492	Coloca a bolsa do médico. O primeiro inimigo a encontrá-la virá até ela. Se aberta, cega brevemente o alvo.
308968697	Ataduras
596884874	Cure você ou um aliado.
2090032874	Disfarce
1951322218	Coloque um disfarce para enganar os inimigos. Ser visto durante ações suspeitas o removerá automaticamente.
581063006	Atrair
1332211106	Atrair um inimigo para longe de sua posição.
706585068	Flertar
73015201	Flerte com um inimigo e ele manterá os olhos focados em você.
1107428992	Pontapé
1155721602	Derrube um inimigo à queima-roupa.
1810692848	Espingarda
750399255	Atire em um inimigo com sua espingarda. Médio alcance, quase silencioso.
1222475897	Frasco De Perfume
342608998	Jogue um frasco de perfume. Faça os inimigos espirrarem, cegando-os brevemente.
1986695873	Foice
1125828588	Derrube um inimigo à queima-roupa.
1431956252	Soco
1300156090	Derrube um inimigo à queima-roupa.
1770076751	Conectar
465512209	Conecte dois alvos vivos. O que acontece com um, acontece com o outro.
2145567661	Controle mental
321059560	Sacrifique um HP para assumir o controle de um alvo. Usar uma habilidade ou mover o alvo para fora do alcance acabará com o controle da mente.
1491564257	Stella
279559842	Envie Stella para distrair um inimigo por um curto período de tempo.
611738972	Estramônio
968396522	Cure você ou um aliado.
1533369021	Finalizar o Controle mental
751024683	Abandona o controle sobre o alvo. Alvos humanos serão nocauteados.
1424974583	Tiro por controle mental
1599288725	Controla um inimigo para ele atirar em um alvo. Não dispara o alarme. Se uma ação for detectada, o inimigo será morto.
478202770	Ataque por controle mental
2010965602	Controla um inimigo para ele atacar um alvo. Não dispara o alarme. Se uma ação for detectada, o inimigo será morto.
1483614186	Cão latindo por controle mental
46529980	Controla um cachorro para ele latir. Os inimigos ao alcance se moverão para o local do cão.
1607481843	Ataque por controle mental
410027463	Controle um boi para ele atacar com seus chifres. Mata qualquer um na frente do boi. Não dispara o alarme.
834805114	Coice por controle mental
641060966	Controle um cavalo para ele dar um coice. Nocauteia qualquer um que está atrás do cavalo.
1644388442	Cacarejar por controle mental
714891915	Controle uma galinha para ela cacarejar. Inimigos dentro do alcance investigarão a perturbação.
1712320263	Grito por Controle mental
1316379827	Controle um civil para que ele grite socorro. Os inimigos ao alcance se moverão para o local do civil.
1136665942	Jogue o objeto que você está carregando.
31843472	Intervalo: 4.
47662936	Derrube um inimigo à queima-roupa.
1953083019	Você está carregando alguma coisa. Solte-o para executar outras ações.
1178284261	Modo de uso
237652163	Permite que você interaja com objetos no ambiente.
1177887152	Posição do movimento
393061807	Alterne entre ficar de pé e agachado.
1023909297	Modo Duelo
1779079610	Planeje uma ação por personagem. Pausa o jogo enquanto ativo.
1057175114	Executar modo duelo
1365900095	Execute todas as ações salvas. Interrompe o jogo.
1493216623	Execute uma única ação.
1420882900	Execute apenas esta ação.
426824287	Reiniciar plano
1929244517	Reinicia todas as ações salvas.
910575029	Registro
999285904	Encontre: objetivos da missão, dicas, registro de conversas e distintivos.
1333667769	Destaque
1891512789	Destaque inimigos (em vermelho) e objetos interativos (em branco).
1384505437	Zonas de alarme
2101249610	Mostrar zonas de alarme./nInforma quais guardas aparecerão se o alarme tocar.
511438133	Avanço rápido
583532999	Mantenha o botão pressionado para acelerar o tempo.
210755940	Expandir mapa
1306747757	Expanda o minimapa. Também mostra as posições dos guardas.
1029619217	Reiniciar câmera
600743980	Centralize a câmera no personagem atualmente selecionado e reposicione-o na rotação recomendada.
1848674402	Gire no sentido anti-horário
1807927786	Mantenha o botão pressionado para girar a câmera no sentido anti-horário.
73412201	Gire no sentido horário
2017613828	Mantenha o botão pressionado para girar a câmera no sentido horário
196521541	Ampliar
1614643182	Amplia a câmera.
2009084322	Afastar
66070141	Afasta a câmera.
1175911774	Salvar rápido
