English	英語
1739078801	入力レイアウト
1649511477	カスタム入力レイアウトが破損しました。デフォルトのレイアウトで上書きされます。
442535890	セーブゲームが破損しました。ミッションをリスタートします。
830724165	アイトラッキング設定
75518517	十分な空き容量がありません。ゲームをセーブするには空き容量を確保してください。
1883515290	バインド可能な全アクションの概要を確認するには、オプションからコントロールメニューを開いてください。
181097058	変更
2120229012	{0}を押して最終のクイックセーブをロード
1659245168	押してロードする
529741173	チャプター1
213395621	チャプター2
1849150576	チャプター3
621937644	DLC
396044400	グローバル統計
42023172	リプレイブラウザー
1655725184	チュートリアル
248132106	{0}でビデオチュートリアルを再生
1280511646	ビデオチュートリアル
1247566776	ヒント
939486293	見る
943246456	リプレイをセーブ
1893463442	警備兵の詰め所
972756208	リプレイをロード
1453684936	リプレイを削除しますか？ {0}
1850594441	リプレイが最大数に達しました！
1788790745	リプレイが破損
1497734632	お待ちください
791830996	リプレイをロード中です...
980330027	ゲームプレイ中に変更することはできません。
905456972	難易度モード
90161797	イージー
772446225	ノーマル
1323360165	ハード
773723552	チャレンジ
2031709440	バロンチャレンジ
742750455	ゲームプレイ
1072918770	振動
752466123	コントローラーの振動を有効にします。
510496150	ワイヤレスコントローラーの振動を有効にします。
1469139790	追跡カメラモード
2096575592	手動
652460590	インテリジェント
1820430346	自動
259250595	手動：自動追跡はせず手動でのみ移動します。/n自動：常にリーダーが画面中央に表示されます。
405449256	コントローラーのエイム速度
439942642	ワイヤレスコントローラーのエイム速度
1867437729	エイムスキル時のカーソルの移動速度を調整します。
1606175245	コントローラーのスティック感度
2027151249	ワイヤレスコントローラーのスティック感度
600213007	コントローラーのスティックの動きを認識する感度を調整します。
626213254	ワイヤレスコントローラーのスティックの動きを認識する感度を調整します。
1320655516	ビューコーン
1552857310	敵のビューコーンの視認性を調整します。
1848427170	色順応モード
312686700	色順応モードを有効にします。
1770522976	輪郭の強さ
903136842	弱
214647730	中
1939756145	強
2119128132	キャラクターとインタラクティブなオブジェクトの輪郭の強さを調整します。
486633304	セーブリマインダー
367072283	画面上端のセーブリマインダーを有効にします。/n最後にセーブしてからリマインダーが表示されるまでの時間も調整できます。
1382966912	自動起立
2021839866	ダブルクリックでキャラクターが自動的に立ち上がるか決定します。
1877893628	自動会話
175092334	ブリーフィング中に会話が自動で進行するか決定します。
1140205606	ハイライトの切替
1830301241	ハイライトの有効時間を決定します。/nオフ：数秒間有効。/nオン：無効化するまで有効。
666387157	早送りの切替
1779818369	早送りの使用方法を決定します。/nオフ：ボタンを長押しで早送りし、ボタンを離すと早送りを終了する。/nオン：ボタンを押して早送りのオン・オフを切り替える。
1327985646	カメラ速度
471601378	カメラの移動速度を調整します。
824998259	画面端カメラ移動
558622535	カーソルを画面端に持っていくことでカメラを移動できるようにします。
2012998024	カメラ回転
415969457	反転
888640053	通常
1154410071	カメラズーム
1062301022	カメラX軸
122559663	カメラY軸
444678528	ドラッグカメラX軸
1512099547	ドラッグカメラY軸
724136998	エイムX軸
1114573338	エイムY軸
310268606	字幕
1627962200	アクティブなコントローラー
465571489	アクティブなワイヤレスコントローラー
1637947761	ゲームで使用するコントローラーを選択します。
1266674654	ゲームで使用するワイヤレスコントローラーを選択します。
1544087171	箱コンテンツのハイライト
622041107	ハイライト機能が有効になっている時の、弾薬箱コンテンツ表示のオン・オフを切り替えます。
427002912	オーディオ
612494481	表示言語
193233307	表示テキストの言語を選択します。
215104258	キーボード
1544447732	キーボードレイアウトを選択します。
357458454	ボイス言語
776918688	ボイスの言語を選択します。
692943060	スピーカーモード
1727566288	使用したいスピーカーモードを選択します。このオプションはメインメニューでのみ変更できます。
406098029	ステレオ
354244378	サラウンド5.1
1693017002	サラウンド7.1
543329642	主音量
506360498	ゲームの全体的な音量を調整します。
1806164857	BGM音量
636360512	ゲームのBGM音量を調整します。
193405480	効果音音量
719162085	効果音の音量を調整します。
2076792662	ボイス音量
1496215659	キャラクターボイスの音量を調整します。
1236964701	セーブ／ロード音の再生
750239754	ゲームのセーブ／ロード時に流れるサウンドのオン・オフを切り替えます。
904565450	NPC字幕
1016841846	ワールド中のNPCの字幕を有効にします。
1076145211	プレイヤー字幕
34778467	ワールド中のプレイヤーキャラクターの字幕を有効にします。
1459237052	カットシーン字幕
1609466858	カットシーンの字幕を有効にします。
1865076062	ブリーフィング字幕
89601639	ブリーフィングの字幕を有効にします。
1993831770	会話字幕
1423012840	ゲームプレイ中の会話の字幕を有効にします。
435550555	操作
194751495	映像
926514941	品質
658779970	低
1134711718	中
1132577025	高
904257921	カスタム
1296485339	影
1360711769	影のオン・オフを切り替えます。
592999434	影の長さ
30989482	短
897119853	中
1371281051	長
1373413817	テクスチャーの解像度
2009175530	1/1
429141927	1/2
876302356	1/4
9527696	1/8
289642533	テクスチャーの解像度を調整します。
8811852	アンチエイリアス
1916906986	アンチエイリアスのレベルを調整します。
102567943	水の反射
74011557	異方性フィルタリング
1374150836	アンビエントオクルージョン
1780758815	レンダリングスケール
1290710887	解像度
1269150780	フルスクリーン
995994767	V-SYNC（垂直同期）
1487879630	最高のグラフィックを楽しむには、フレームレートの安定最高値に合わせてV-SYNCレートをできるだけ高く設定してください。モニターのリフレッシュレートによっても左右します。
1700288794	同期しない
169915306	フル リフレッシュレート
1506251381	ハーフ リフレッシュレート
475868445	ガンマ補正
1180352869	ビューコーンの品質
539396311	ビューコーンの画質を調整します。主に複雑な地形におけるビューコーンの画質に影響します。ゲームプレイには影響しませんが、パフォーマンスは向上します。
1442293416	勾配のあるテクスチャーの全ての段がはっきりと見え、左側にある銃がほとんど見えなくなるまでガンマスライダーを調整してください。
1956330395	スタッフロール
876312009	開発
1093446963	ゲームをリセット
604412219	ゲームをリセットします。ミッションの進行状況、セーブゲーム、解除したバッジが全て失われます。映像設定、オーディオ設定、ゲームプレイ設定、カスタム入力レイアウトはリセットされません。続行しますか？
348832845	ロード画面ヒント
1514049626	ポップヒント
163742262	全てのスキルとキャラクターでポップヒントを確認できる。それらのヒントを参考に新たな戦略を立てよう。
605453809	ノンリーサル近接攻撃
482668800	全ての近接攻撃にはノンリーサルオプションがある。<hotkey>{0}</hotkey>を押してノンリーサルに切り替えるか、スキルバーで調整しよう。
1798452257	全ての近接攻撃にはノンリーサルオプションがある。<hotkey>{0}</hotkey>を長押ししてキャラクターホイールを開き、<hotkey>{1}</hotkey>を押してモードを切り替えよう。
1907007791	ノンリーサル・ジャンプ攻撃
124657665	近接攻撃がノンリーサルに切り替わると、敵へのジャンプ攻撃ではキルする代わりにノックアウトする。
949271593	死体の移動
1671046303	死体の運び方はキャラクターによって異なり、速度重視のキャラクターや、敵に察知されないよう地面すれすれに運ぶキャラクターなどがいる。
1628782004	キル＆キャリー
1344684890	自動的に死体を運ぶには、近接キル選択時に<hotkey>{0}</hotkey>を長押ししよう。
1476567941	自動的に死体を運ぶには、近接キル中に<hotkey>{0}</hotkey>を長押ししよう。
520060613	ビューコーンマーカー
3333633	警備兵の中にはパトロール距離が長い者もいるため、ビューコーンマーカーでエリアを確認する際には、たっぷり時間をかけよう。
822402292	ハイライト
890170653	敵や環境中のインタラクティブなオブジェクトをハイライトするには、<hotkey>{0}</hotkey>を押そう。
63047757	敵や環境中のインタラクティブなオブジェクトをハイライトするには、<hotkey>{0}</hotkey>を押そう。
137001150	環境キル
1981927858	落下物により敵がキルされた場合、事故死に見えるため警戒されるのを防げる。
1066015511	敵タイプ
1716596328	敵の上にカーソルを置くと、それぞれの敵タイプを確認できる。
739816734	<hotkey>{0}</hotkey>を押しながら敵の上にカーソルを置くと、それぞれの敵タイプを確認できる。
570427210	キーオブジェクト
1536012121	キーオブジェクトの上にカーソルを置くと、機能を確認できる。
656570826	<hotkey>{0}</hotkey>を押しながらキーオブジェクトの上にカーソルを置くと、機能を確認できる。
545151036	カメラ回転
68323806	<hotkey>{0}</hotkey>を押しながらマウスを移動すると、カメラを好きなように回転できる。
573759884	<hotkey>{0}</hotkey>を押しながら<hotkey>{1}</hotkey>を使うと、カメラを好きなように回転できる。
141599116	カメラリセット
1856158476	<hotkey>{0}</hotkey>を押すと、選択したキャラクターを中心にカメラの位置が移り、カメラ回転をデフォルトにリセットする。
490202928	ビューコーンへの立ち入り
751421264	必要な場合には、ためらわずに敵のビューコーンの中に飛び込もう。素早くビューコーンの外に出れば、察知されることはない。
1535817616	ビューコーンに合わせて動く
1992853863	敵に察知されずに移動するには、ビューコーンの動きに合わせるとよい。ビューコーンが遠ざかる際にそれに合わせて移動し、その後素早く遮蔽物に隠れよう。
549877002	体の隠匿
1937082586	茂みや井戸、深い水中にターゲットの体を隠すと、それらの体は決して見つからない。
1636080378	アクションの切替
1155856873	<hotkey>{0}</hotkey>を押すと、その位置で使用可能な複数のアクションを切り替えられる。
1245857298	アクションのキャンセル
890799486	<hotkey>{0}</hotkey>を押すと、プレイ中のキャラクターの全てのアクションをキャンセルできる。
1007969175	銃と弾薬
1834588216	銃は攻撃力が高いため、ためらわずに使用しよう。弾薬箱を見逃さないよう注意すること。
1763635777	銃の使用
1226007028	狙撃以外の銃スキルを使用すると、中腰でも一時的に可視状態になる。
1714326839	クイックセレクト
187751512	<hotkey>{0}</hotkey>を押すと、全スキルを順に確認できる。同様に、<hotkey>{1}</hotkey>でキャラクターを確認できる。
264685370	死体の移動（ヘクター）
76879622	ヘクターは、走っている時でも2体同時に死体を運べる。
858462126	死体の移動（クイックドロップ）
1778643117	死体を運んでいる時に<hotkey>{0}</hotkey>を押すと、中腰になって直ちに死体を地面に下ろす。
1824651014	インスタントスキルの使用
2122441486	<hotkey>{0}</hotkey>を長押しすると、エイムが不要のスキル（ヘクターのトラップなど）を即実行する。
1607957211	UIのカスタマイズ
2063046262	オプションメニューでは、UIをカスタマイズすることができる。セーブリマインダーなどの要素をオフにするのもここから設定できる。
243581491	弾薬箱
1372447036	銃弾やその他の弾丸が必要な場合には、エリアにある補給箱を探そう。
1971425251	ロングコート
821076907	ロングコートには、クーパーのナイフや、マッコイのKOガス、ヘクターのベアトラップなど、特定のスキルが無効だ。
1119380193	ロングコートの体力
988394871	ロングコートには体力が3ポイントある。いざという時には、銃で撃ち倒そう。
1235072996	足跡による敵のおびき寄せ
734938354	沼地では、足跡を使ってトラップや奇襲地点まで敵をおびき寄せることができる。
822878847	足跡と逃走
1971769156	敵が足跡をたどって追跡してきた場合、はしごを登ったり建物に入ったりすることで足跡を消せる。
1050777356	消灯
63767177	ランプや松明などの小さな灯りは消すことが可能だ。警備兵は灯りの灯っていない光源を見つけると点灯する。 
1615453610	死体を囮にする
126865505	死体を使って別の敵をおびき寄せ、攻撃を仕掛けることができる。その場合、相手が警戒する前に必ず倒そう。
1685026057	経路が弧状のスキル
1810398782	スキルの中には弧状に移動するものもある。つまり、身を隠しつつ障害物の上を越えて使用できるということだ。
863688220	経路が直線状のスキル
638419450	スキルの中には直線状に移動するものもある。ターゲットとの間に障害物がある場合、キャラクターは適したスポットを探してからスキルを使用することになる。
298907312	囮の察知
1903469107	複数の敵の視界に囮（マッコイのスーツケースなど）を設置した場合、最初に気付いた敵が持ち場を離れてそれを回収しに行く。パトロールは常に共に移動する。
778842893	敵がいる建物
1438210843	敵が中にいる場合、キャラクターは建物の中に入ることができない。
470739778	逃走
1020868379	敵は蔦を登ったりすき間を飛び越えたりすることができない。逃走時にはそれらをうまく利用しよう。
1108269139	視界の端
1137613639	敵の横に長時間立っていると、視界の端から察知される。
1338931543	ランプを囮に使う
509385294	消灯したランプを使って、トラップにおびき寄せたり奇襲をかけたりできる。
158140971	ランプを持った敵
1255254891	遠隔攻撃で敵を排除した場合、その敵が手にしていたランプは消えない。消灯するにはランプの近くまで移動しよう。
2070314948	民間人
210762969	民間人はたとえ敵側の人間でも攻撃してくることはないが、君が法を破るのを目撃したら、一番近くの警備兵まで走って報告しに行く。
2142535667	対決モード
2088413710	対決モードは、同時アクションを設定できる強力なツールだ。チャレンジで行き詰まった時には試してみよう。
934714147	対決モードでの狙撃
312206160	対決モードを使用する場合には、マッコイをぜひ活用しよう。マッコイの狙撃では設定がほとんど必要ないほか、安全な距離から敵を排除できる。
2119107841	対決モードでの猫
1433267486	対決モードを使用する際、イザベルの猫はターゲットの横で待機して、遅延なくアクションを行う。
269943082	金の銃弾
410699328	ミッション目標を達成するため、マッコイは常に予備の銃弾を保持している。弾切れによるミッションの失敗を心配する必要はない。
1568979145	変装の解除
471953919	<hotkey>{0}</hotkey>を長押しすると、ケイトの変装を手動で解くことができる。
1773294443	バッジの解除
1758401545	特定の功績を上げたり、特定の状況下でミッションをプレイすると、バッジを解除できる。
2100745183	バッジと難易度
1881388511	バッジはノーマル以上の難易度でプレイすると解除できる。
1816057841	バッジの種類
2112292041	小バッジは、レベルのクリアタイムや負傷者数など、スキル面での達成をもとに付与される。大バッジでは、意外な方法でレベルをプレイした場合に付与される。
824582774	デベロッパーギャング
1561875126	敵の中には、開発者の名前が付けられているものがいる。全部見つけることができるかな？
1154773630	難易度の変更
512149738	ミッションプレイ中に難易度を変更することはできない。
31059294	操作のカスタマイズ
1048689626	操作方法とさまざまなゲームプレイ設定は、オプションメニューでカスタマイズできる。
1220564156	キャラクターのマルチセレクト
1610317847	<hotkey>{0}</hotkey>を押しながら、選択する全てのキャラクターの上にボックスをドラッグする。もしくは、<hotkey>{1}</hotkey>を押しながらキャラクタポートレートをクリック<hotkey>{2}</hotkey>する。
42793480	<hotkey>{0}</hotkey>を押しながら<hotkey>{1}</hotkey>を使用して複数のキャラクターを選択するか、あるいは<hotkey>{2}</hotkey>で使用可能な全てのキャラクターを選択しよう。操作するのは最初に選択したキャラクターで、他のキャラクターはそのキャラクターに追従する。
1356113339	複数の通過点の設定
1387195571	<hotkey>{0}</hotkey>を長押しして<hotkey>{1}</hotkey>を使用すると、キャラクターの通過点を複数設定できる。
2070609971	ビジョンモード
878634208	<hotkey>{0}</hotkey>を長押しするとビジョンモードになり、敵のビューコーンを選択できる。ビジョンモード中は、ビューコーンマーカーの設定や、警戒ゾーンの表示、早送りを使用した待機時間の短縮もできる。
765451162	早送り
1546069925	<hotkey>{0}</hotkey>を長押しすると、ゲームプレイを早送りできる。
255324182	<hotkey>{0}</hotkey>を押しながら<hotkey>{1}</hotkey>を使うと、ゲームプレイを早送りできる。
1188458775	警戒ゾーン
2056027763	<hotkey>{0}</hotkey>を使うと、警戒ゾーンを表示して警備兵の詰め所がハイライトされる。ゾーン内に警備兵の詰め所がある場合、敵が警戒すると増援が出てくる。警備兵の詰め所がない場合には、ゾーンは灰色で表示される。
260850587	<hotkey>{0}</hotkey>を長押しして<hotkey>{1}</hotkey>を使うと、警戒ゾーンを表示して警備兵の詰め所がハイライトされる。ゾーン内に警備兵の詰め所がある場合、敵が警戒すると増援が出てくる。警備兵の詰め所がない場合には、ゾーンは灰色で表示される。
1830410793	会話中の敵と陽動
886347188	2人の敵が会話しており、特定の陽動がその内の1人に対して無効の場合、もう一方の敵にも無効となる。例えば、ポンチョと会話中の悪党をおびき寄せようとした場合、ポンチョが悪党を引き留める。
66646900	回復スキル
1806946441	マッコイの絆創膏のような回復スキルは無制限で使用できるが、発動には時間がかかる。安全な場所で使用するのが最善だ。
1379027361	民間ゾーンでの陽動
219606787	民間ゾーンで陽動スキルを使用し誰かに目撃された場合、その人物には陽動が無効になる。
800642416	画面外ノイズアイコン
1716797887	画面の外にいる人物が君のアクションによる音の範囲内にいる場合、画面上にそれを示すアイコンが表示される。
1509223741	ターゲットライン
768965028	遠隔スキルの経路上に障害物がある場合、ターゲットラインは部分的に赤色になる。ラインが緑色の場合にのみ、スキルをターゲットに当てることができる。
710558629	キャラクターホットキー
1124360782	キャラクターはホットキーを使って選択できる。ホットキーはポートレイトの横に表示される。ホットキーを1度押すとキャラクターを選択でき、もう一度押すとそのキャラクターを中心にカメラが移動する。
461437642	追跡カメラの使用
808795684	<hotkey>{0}</hotkey>を使用すると、カメラが操作中のキャラクターを追従する。カメラを手動で動かすと追従が解除される。
94599441	追跡カメラモード
753717552	追跡カメラモードはオプションメニューで切り替えられる。「手動」ではほとんどのプレイヤー操作が可能。
907376899	ドラッグカメラ
2027724162	<hotkey>{0}</hotkey>を長押しすると、カメラをドラッグできる。
1063320780	上昇中の静止
1755510902	<hotkey>{0}</hotkey>を押すと、はしごや蔦や縄を上昇中に静止する。
1836583362	対決モードでの体の持ち運び
68164799	対決モードで体を持ち上げると、移動や体を下ろすための追加のアクションを省ける。キル＆キャリーでも同様だ。
240081232	対決モードの通過点
321945412	対決モードでは、各キャラクターに通過点を1つずつ設定できる。
1843019443	増援情報
72136199	<hotkey>{0}</hotkey>を押すか、警備兵の詰め所アイコンの上にカーソルを置くと、警戒中に出てくる増援の人数とタイプ、および予備の増援の合計人数を確認できる。
1133491710	<hotkey>{0}</hotkey>を押しながら<hotkey>{1}</hotkey>を押すか、警備兵の詰め所アイコンの上にカーソルを置くと、警戒中に出てくる増援の人数とタイプ、および予備の増援の合計人数を確認できる。
1806446353	増援人数の上限
2073461372	新たに敵が警戒状態になるたびに、死亡または捕縛された人数分の増援が補充されるが、警備兵の詰め所には増援人数の上限が設定されている。警備兵の詰め所が空になると、増援は出現しなくなる。
1306284367	犬の吠え声
1729303052	犬の吠え声によって警戒状態になることはないが、吠え声が聞こえる範囲内にいる敵が調べに来る。
1491777208	ノックアウト
1324369933	ノックアウトされた敵を別の敵が発見しても、起こすだけで警戒はしないが、ノックアウトされる場面を目撃したり、縛られた敵を見つけた場合には警戒状態になる。
242717582	ロングコートをおびき寄せる
841587656	ロングコートには囮が無効だが、足跡や消灯したランプでおびき寄せることができる。
230296262	銃声でおびき寄せる
1005629954	大胆にミッションを進めたいのであれば、銃声を使って敵をおびき寄せてもいいだろう。敵は警戒状態になるが、ロングコートを含め大人数の敵を自分が選んだ場所におびき寄せることができる。
2134260994	ロングコートの洗脳
705025876	ロングコートはイザベルの洗脳に対する耐性を持っている。ロングコートを洗脳できるのはスタン中のみである。
656581142	洗脳と犯罪者
1599654236	洗脳した敵を使ってキルすると、その敵は犯罪者としてマークされる。キルを目撃した敵は、犯罪者を攻撃する。被害者の付近で意識不明の犯罪者を発見した敵は、その犯罪者を捕縛する。
97437742	犯罪者とロングコート
335053795	洗脳された敵によってロングコートがスタンされた場合、ロングコートはその敵を犯罪者として記憶し、次に会った時に射撃する。
1258883271	洗脳スキル
1486407837	洗脳した対象が持つスキルを使用できる。敵を洗脳した場合には、その敵が装備中の武器を使ってキルさせることが可能だ。民間人を洗脳した場合は、助けを求めさせて警備兵をおびき寄せることができる。
1289329808	連結と陽動
759975619	2人の敵が連結されている場合、片方が陽動スキルによる物音（クーパーのコインなど）を耳にすると両方が音のする方に目を向ける。
2003290337	連結と囮
241375047	2人の敵が連結されている場合、片方が囮（マッコイの鞄など）におびき寄せられるともう一方も囮に向かって数歩進むが、その後すぐに元の位置に戻る。
1911833233	連結とダメージのタイプ
477939682	連結されている場合、常に同じタイプのダメージが伝達される。敵を1人キルすると、その敵と連結されているもう一方の敵も死亡する。1人ノックアウトすると、もう1人も意識を失う。
400560812	連結とロングコート
1973720970	ロングコートも、連結されている敵から受けるダメージを通じてスタンすることができる。ただし、通常であれば即死するタイプのダメージ（ヘクターの斧など）でも、受ける効果は常にスタンになる。
696649581	連結とブラインドスキル
137918846	2人の敵が連結されている場合、片方がブラインド状態になると（ケイトの香水などで）もう一方もブラインド状態になる。
331045493	猫の移動
753041168	イザベルの猫は、はしごや蔦や縄を登ることができるが、泳ぐことはできない。
2127142431	スリ
602778606	ケイトは、重要アイテムを持っている対象からそのアイテムをくすねることができる。
801171987	浅瀬と死体
735202007	浅瀬は死体を隠すのに利用できる。
1288975608	松明の点灯
127998834	覆いのない火元であれば、どれからでも松明に点灯できる。他の松明から点灯することもできる。
139855627	松明と茂み
1348930656	茂みの中で中腰になると、持っている松明の火が消える。 
328319678	環境キルによる死体
2026724582	環境キルによる死体は、警戒状態にすることなく敵をおびき寄せるのに使用できる。
1591065676	体の投擲
301069101	体を別の敵の上に投げると、ノックアウトできる。1体で複数の敵をノックアウトすることはできない。
185053908	殺人凶器
641428549	キルに使用した武器（クーパーのナイフなど）を民間エリアで回収すると、敵対行為とみなされる。
669781329	ランプと油
2095483471	油の上でランプを持った人物をキルすると、ランプが地面に落ちて着火する。
1607728182	連結
