English	Anglais
543329642	Volume général
506360498	Augmentez ou réduisez le volume général du jeu.
1806164857	Volume de la musique
636360512	Augmentez ou réduisez le volume de la musique du jeu.
193405480	Volume des effets sonores
719162085	Augmentez ou réduisez le volume des effets sonores.
2076792662	Volume des voix
1496215659	Augmentez ou réduisez le volume des voix des personnages.
435550555	COMMANDES
194751495	VIDÉO
926514941	Qualité
658779970	Basse
1134711718	Moyenne
1132577025	Élevée
904257921	Personnalisée
1296485339	Ombres
1360711769	Activer ou désactivez les ombres.
592999434	Distance des ombres
30989482	Faible
897119853	Moyenne
1371281051	Élevée
1373413817	Résolution des textures
2009175530	Totale
429141927	Moitié
876302356	Quart
9527696	Huitième
289642533	Augmentez ou réduisez la résolution des textures.
8811852	Anti-aliasing
1916906986	Augmentez ou réduisez le niveau d’anti-aliasing.
102567943	Reflets de l’eau
74011557	Filtrage anisotropique
1374150836	Occlusion ambiante
1780758815	Échelle de rendu
1290710887	Résolution
1269150780	Plein écran
995994767	V-Sync
1487879630	Pour une expérience optimale, veuillez régler la fréquence V-Sync sur une valeur aussi élevée que possible, en vous basant sur la fréquence d’affichage constante la plus élevée. Ceci dépend également de la fréquence de rafraîchissement de votre moniteur.
1700288794	Ne pas synchroniser
169915306	Fréquence de rafraîchissement maximale
1506251381	Demi-fréquence de rafraîchissement
475868445	Correction Gamma
1442293416	Réglez le curseur Gamma de manière à distinguer toutes les étapes de la texture en dégradé ; le revolver affiché à gauche doit être à peine visible.
1956330395	CRÉDITS
876312009	DÉV
1093446963	RÉINITIALISER LE JEU
604412219	Ceci réinitialisera le jeu. Vous perdrez toute votre progression dans les missions, vos sauvegardes et les insignes que vous avez débloqués. Vos paramètres vidéo, audio, de jeu et de configuration des commandes ne seront PAS réinitialisés. Voulez-vous continuer ?
348832845	ASTUCE DE CHARGEMENT
1514049626	Info-bulles
163742262	Tous les personnages et compétences comportent des info-bulles. Elles peuvent vous aider à découvrir de nouvelles stratégies.
605453809	Attaques au corps-à-corps non mortelles
482668800	Toutes les attaques au corps-à-corps ont une option non mortelle. Appuyez sur <hotkey>{0}</hotkey> pour activer le mode non mortel ou utilisez le modificateur dans votre barre de compétences.
1798452257	Toutes les attaques au corps-à-corps ont une option non mortelle. Appuyez longuement sur <hotkey>{0}</hotkey> pour ouvrir la roue du personnage, puis appuyez sur <hotkey>{1}</hotkey> pour passer d’un mode à l’autre.
1907007791	Attaques non mortelles en sautant
124657665	Si vous optez pour une attaque au corps-à-corps non mortelle, sauter sur les gardes les assommera au lieu de les tuer.
949271593	Déplacer les corps
1671046303	Les personnages déplacent les corps différemment. Certains privilégient la vitesse, d’autres se tiennent près du sol pour éviter d’être détectés.
1628782004	Éliminer et porter
1344684890	Appuyez longuement sur <hotkey>{0}</hotkey> lorsque vous tuez un ennemi au corps-à-corps pour ramasser le corps automatiquement.
1476567941	Appuyez longuement sur <hotkey>{0}</hotkey> lorsque vous éliminez un ennemi au corps-à-corps pour ramasser automatiquement son corps.
520060613	Marqueur de champ de vision
3333633	Prenez tout votre temps lorsque vous testez un endroit avec le marqueur de champ de vision. Les itinéraires de patrouille de certains gardes sont longs.
822402292	Affichage en surbrillance
890170653	Appuyez sur <hotkey>{0}</hotkey> pour afficher en surbrillance les ennemis et les objets utilisables dans l’environnement.
63047757	Appuyez sur <hotkey>{0}</hotkey> pour afficher en surbrillance les ennemis et les objets utilisables dans l’environnement.
137001150	Élimination avec l’environnement
1981927858	Si un garde est tué par la chute d’un objet, sa mort paraîtra accidentelle, et personne ne donnera l’alerte.
1066015511	Types d’ennemis
1716596328	Placez le pointeur sur un garde pour afficher le type d’ennemi dont il s’agit.
739816734	Appuyez longuement sur <hotkey>{0}</hotkey> et placez le pointeur sur un garde pour afficher le type d’ennemi dont il s’agit.
570427210	Objets importants
1536012121	Placez le pointeur sur un objet important pour afficher sa fonction.
656570826	Appuyez longuement sur <hotkey>{0}</hotkey> et placez le pointeur sur un objet utilisable pour afficher sa fonction.
545151036	Rotation de la caméra
68323806	Appuyez longuement sur <hotkey>{0}</hotkey> et déplacez la souris pour effectuer une rotation de la caméra.
573759884	Appuyez longuement sur <hotkey>{0}</hotkey> et utilisez <hotkey>{1}</hotkey> pour effectuer une rotation de la caméra.
141599116	Réinitialisation de la caméra
1856158476	Appuyez sur <hotkey>{0}</hotkey> pour centrer la caméra sur le personnage sélectionné et réinitialiser la rotation de la caméra.
490202928	Traverser le champ de vision
751421264	N’ayez pas peur de traverser rapidement le champ de vision d’un ennemi, si nécessaire. Si vous en ressortez assez rapidement, vous ne serez pas détecté.
1535817616	Longer le champ de vision
1992853863	Essayez de longer le champ de vision d’un ennemi pour passer sans être détecté. Suivez-le à mesure qu’il s’éloigne de vous, puis mettez-vous rapidement à couvert.
549877002	Dissimuler les corps
1937082586	Cachez les corps dans des buissons, des puits ou en eaux profondes pour vous en débarrasser définitivement.
1636080378	Sélection d’actions
1155856873	Appuyez sur <hotkey>{0}</hotkey> pour faire votre choix parmi les différentes actions disponibles dans votre position.
1245857298	Annulation d’actions
890799486	Appuyez sur <hotkey>{0}</hotkey> pour ordonner aux personnages sélectionnés d’arrêter toutes les actions en cours.
1007969175	Armes à feu et munitions
1834588216	Les armes à feu sont très puissantes, alors n’ayez pas peur de les utiliser. Ne manquez pas les caisses de munitions !
1763635777	Utiliser les armes à feu
1226007028	Utiliser une arme à feu autre que le tir embusqué vous rendra brièvement visible, même si vous êtes accroupi.
1714326839	Sélection rapide
187751512	Vous pouvez faire défiler rapidement les compétences en appuyant sur <hotkey>{0}</hotkey>, et vous pouvez faire défiler les personnages en appuyant sur <hotkey>{1}</hotkey>.
264685370	Déplacer les corps (Hector)
76879622	Hector peut porter deux corps à la fois, même en courant.
858462126	Déplacer les corps (lâcher rapidement)
1778643117	Lorsque vous portez un corps, appuyez sur <hotkey>{0}</hotkey> pour vous accroupir et le lâcher immédiatement.
1824651014	Utiliser une compétence instantanément
2122441486	Appuyez longuement sur <hotkey>{0}</hotkey> pour exécuter rapidement les compétences qui ne nécessitent pas de viser (par exemple, le piège d’Hector).
1607957211	Personnalisation de l’IU
2063046262	Vous pouvez personnaliser l’interface utilisateur depuis le menu des options et désactiver des fonctions telles que le rappel de sauvegarde.
243581491	Caisses de munitions
1372447036	Si vous avez besoin de balles ou d’autres munitions, cherchez les caisses de munitions disséminées dans l’environnement.
1971425251	Longs manteaux
821076907	Les longs manteaux sont immunisés contre certaines attaques, comme le couteau de Cooper, le gaz de McCoy et le piège à ours d’Hector.
1119380193	Santé des longs manteaux
988394871	Les longs manteaux ont 3 points de santé. Si vous n’avez pas d’autre choix, vous pouvez les éliminer avec une salve de tirs rapides.
1235072996	Utiliser les traces de pas comme appât
734938354	Si vous marchez dans la boue, vous pouvez utiliser vos traces de pas pour attirer vos ennemis dans des pièges ou des embuscades.
822878847	Traces de pas et fuite
1971769156	Si un garde vous suit à la trace, vous pouvez grimper aux échelles ou traverser des bâtiments pour ne plus laisser d’empreintes.
1050777356	Éteindre les lumières
63767177	Vous pouvez éteindre les petites sources lumineuses telles que les lampes et les torches. Les gardes les rallumeront lorsqu’ils les verront. 
1615453610	Utiliser les corps comme appât
126865505	Vous pouvez utiliser un corps pour attirer un autre garde vers sa dernière heure. Assurez-vous de l’éliminer avant qu’il ne donne l’alerte.
1685026057	Trajectoires en arc
1810398782	La trajectoire de certaines compétences forme un arc, ce qui signifie qu’elles peuvent être utilisées lorsque le personnage est à couvert et franchir des obstacles.
863688220	Trajectoires rectilignes
638419450	La trajectoire de certaines compétences est rectiligne. Si la cible est cachée, le personnage cherchera un meilleur endroit pour utiliser la compétence.
298907312	Détection d’appât
1903469107	Le premier garde qui aperçoit un appât (la valise de McCoy, par exemple) quittera son poste pour aller le chercher, même si d’autres le voient aussi. Les patrouilles se déplacent toujours ensemble.
778842893	Bâtiments occupés
1438210843	Vos personnages ne peuvent pas entrer dans un bâtiment lorsqu’un ennemi se trouve à l’intérieur.
470739778	Fuite
1020868379	Les ennemis ne peuvent pas grimper aux vignes ou sauter par-dessus des trous. Profitez de cet avantage lorsque vous essayez de vous échapper.
1108269139	Coin de l’œil
1137613639	Les ennemis peuvent vous détecter du coin de l’œil si vous restez trop longtemps à côté d’eux.
1338931543	Utiliser les lampes comme appât
509385294	Vous pouvez utiliser des lampes éteintes pour attirer vos ennemis dans des pièges ou des embuscades.
158140971	Gardes avec des lampes
1255254891	Si vous éliminez un garde avec une attaque à distance, la lampe qu’il portait ne s’éteint pas. Vous devez vous approcher de la lampe pour l’éteindre.
2070314948	Civils
210762969	Les civils hostiles ne vous attaqueront pas, mais s’ils vous voient enfreindre la loi, ils s’enfuiront et iront chercher le garde le plus proche.
2142535667	Mode Affrontement
2088413710	Le mode Affrontement est un outil puissant pour mettre en place des actions simultanées. Essayez-le si vous vous trouvez bloqué par un défi.
934714147	Mode Affrontement – Tir embusqué
312206160	Lorsque vous utilisez le mode Affrontement, n’oubliez pas McCoy. Son tir embusqué nécessite peu de préparation et permet d’éliminer des ennemis à bonne distance.
2119107841	Mode Affrontement – Chat
1433267486	Lorsque vous utilisez le mode Affrontement, le chat d’Isabelle attendra à côté de sa cible pour vous permettre d’exécuter l’action sans délai.
269943082	Balle d’or
410699328	McCoy garde toujours une balle supplémentaire pour les objectifs de la mission. Ne vous préoccupez pas de ne pas accomplir une mission parce que vous n’avez plus de munitions.
1568979145	Retirer un déguisement
471953919	Appuyez longuement sur <hotkey>{0}</hotkey> pour retirer le déguisement de Kate.
1773294443	Débloquer des insignes
1758401545	Débloquez des insignes en accomplissant certains exploits ou en jouant à des missions dans certaines conditions.
2100745183	Insignes et difficulté
1881388511	Vous pouvez débloquer des insignes en jouant au niveau de difficulté Normal ou à un niveau supérieur.
1816057841	Types d’insignes
2112292041	Les petits insignes sont le reflet de votre habileté ; par exemple, la durée de la mission ou le nombre d’ennemis tués dans un niveau. Les grands insignes vous obligeront à jouer des niveaux de manière imprévue.
824582774	Le gang des développeurs
1561875126	Certains ennemis portent le nom des développeurs. Saurez-vous tous les trouver ?
1154773630	Modifier la difficulté
512149738	Vous ne pouvez pas modifier la difficulté en cours de mission.
31059294	Personnaliser les commandes
1048689626	Vous pouvez personnaliser la configuration des commandes et différents paramètres de jeu depuis le menu des options.
1220564156	Sélectionner plusieurs personnages
1610317847	Appuyez longuement sur <hotkey>{0}</hotkey> et tracez un cadre sur tous les personnages que vous souhaitez sélectionner. Vous pouvez également appuyer longuement sur <hotkey>{1}</hotkey>, puis cliquer avec <hotkey>{2}</hotkey> sur leurs portraits.
42793480	Tout en appuyant longuement sur <hotkey>{0}</hotkey>, utilisez <hotkey>{1}</hotkey> pour sélectionner plusieurs personnages ou <hotkey>{2}</hotkey> pour sélectionner tous les personnages disponibles. Vous contrôlerez le premier personnage que vous avez sélectionné. Les autres les suivront.
1356113339	Plusieurs points de passage
1387195571	Appuyez longuement sur <hotkey>{0}</hotkey> et utilisez <hotkey>{1}</hotkey> pour définir plusieurs points de passage pour les personnages.
2070609971	Mode Vision
878634208	Appuyez longuement sur <hotkey>{0}</hotkey> pour activer le mode Vision et sélectionner les champs de vision d’ennemis. En mode Vision, vous pouvez également placer un marqueur de champ de vision, afficher les zones d’alerte ou utiliser l’avance rapide pour réduire votre temps d’attente.
765451162	Avance rapide
1546069925	Appuyez longuement sur <hotkey>{0}</hotkey> pour accélérer le jeu.
255324182	Appuyez longuement sur <hotkey>{0}</hotkey> et <hotkey>{1}</hotkey> pour accélérer le jeu.
1188458775	Zones d’alerte
2056027763	Utilisez <hotkey>{0}</hotkey> pour afficher les zones d’alerte et afficher les postes de garde en surbrillance. Si un poste de garde se trouve dans une zone d’alerte, les renforts sortiront de celui-ci en cas d’alerte. Si aucun poste de garde n’est présent, la zone est colorée en gris.
260850587	Appuyez sur <hotkey>{0}</hotkey> et <hotkey>{1}</hotkey> pour afficher les zones d’alerte et afficher les postes de garde en surbrillance. Si un poste de garde se trouve dans une zone, les renforts sortiront de celui-ci en cas d’alerte. Si aucun poste de garde n’est présent, la zone est colorée en gris.
1830410793	Conversations de gardes et distractions
886347188	Si deux gardes parlent et l’un d’eux est immunisé contre certaines distractions, les deux sont immunisés. Par exemple, si vous essayez d’attirer un bandit qui parle avec un poncho, le poncho le retiendra.
66646900	Compétences de guérison
1806946441	Les compétences de guérison, telles que les bandages de McCoy, sont illimitées en nombre, mais leur application demande un certain temps. Il est recommandé de les utiliser lorsque la voie est libre.
1379027361	Distractions dans les zones civiles
219606787	Si vous utilisez une distraction dans une zone civile et une personne en est témoin, cette personne devient immunisée contre la distraction.
800642416	Icône de bruit hors écran
1716797887	Si un personnage hors de l’écran se trouve dans le rayon sonore généré par vos actions, il apparaît sous forme d’icône à l’écran.
1509223741	Ligne de visée
768965028	Si le chemin d’une compétence à distance est bloqué, la ligne de visée devient partiellement rouge. Les compétences n’atteindront leur cible que si la ligne est entièrement verte.
710558629	Touches de raccourci des personnages
1124360782	Vous pouvez sélectionner les personnages à l’aide des touches de raccourci affichées à côté de leurs portraits. Appuyez sur une touche de raccourci pour sélectionner un personnage. Appuyez à nouveau sur cette touche pour centrer l’appareil sur ce personnage.
461437642	Utiliser la caméra de suivi
808795684	Utilisez <hotkey>{0}</hotkey> pour que la caméra suive votre personnage jusqu’à ce que vous déplaciez la caméra manuellement.
94599441	Modes de la caméra de suivi
753717552	Vous pouvez sélectionner les différents modes de la caméra de suivi depuis le menu des options. Le mode Standard offre le meilleur contrôle au joueur.
907376899	Déplacer la caméra
2027724162	Appuyez longuement sur <hotkey>{0}</hotkey> pour déplacer la caméra.
1063320780	S’arrêter à mi-hauteur
1755510902	Appuyez sur <hotkey>{0}</hotkey> pour vous arrêter à mi-hauteur sur les échelles, les vignes et les cordes.
1836583362	Déplacer les corps en mode Affrontement
68164799	Si vous ramassez un corps en mode Affrontement, vous pouvez enregistrer une action supplémentaire pour le déplacer et le lâcher. Cela fonctionne également avec l’action Éliminer et porter.
240081232	Mode Affrontement – Points de passage
321945412	En mode Affrontement, vous pouvez définir un point de passage unique pour chaque personnage.
1843019443	Infos sur les renforts
72136199	Appuyez sur <hotkey>{0}</hotkey> ou placez le curseur de la souris sur l’icône d’un poste de garde pour afficher le nombre et le type de renforts qui seront déployés en cas d’alerte, ainsi que le nombre total de réserves.
1133491710	Appuyez longuement sur <hotkey>{0}</hotkey>, puis appuyez sur <hotkey>{1}</hotkey> ou placez le curseur de la souris sur l’icône d’un poste de garde pour afficher le nombre et le type de renforts qui seront déployés en cas d’alerte, ainsi que le nombre total de réserves.
1806446353	Limites des renforts
2073461372	À chaque nouvelle alerte, les gardes morts ou ligotés seront remplacés par des gardes issus des réserves limitées du poste de garde. Si un poste de garde est vide, il n’y aura plus de renforts.
1306284367	Chiens qui aboient
1729303052	Un chien qui aboie ne donnera pas l’alerte, mais les gardes qui l’entendent viendront mener l’enquête.
1491777208	États d’étourdissement
1324369933	Si un garde trouve un autre garde assommé, il le réveillera et ne donnera pas l’alerte. Cependant, s’il est témoin de l’assaut ou s’il trouve la victime ligotée, il donnera l’alerte.
242717582	Appâter les longs manteaux
841587656	Les longs manteaux sont immunisés contre les appâts, mais vous pouvez toutefois les attirer dans un endroit avec des traces de pas ou des lampes éteintes.
230296262	Utiliser des coups de feu comme appât
