English	Inglese
752466123	Abilita la vibrazione del controller.
510496150	Funzione di vibrazione del controller wireless.
1469139790	Modalità movimento visuale
2096575592	Standard
652460590	Intelligente
1820430346	Sempre
259250595	Standard: Nessun movimento automatico, solo tramite comandi manuali/nSempre: Tiene la visuale centrata sul capo
405449256	Velocità mira controller
439942642	Velocità mira controller wireless
1867437729	Regola la velocità del puntatore per mirare.
1606175245	Soglia assi controller
2027151249	Soglia assi controller wireless
600213007	Regola la soglia di riconoscimento del movimento delle levette.
626213254	Regola la soglia di riconoscimento del movimento delle levette.
1320655516	Campo visivo
1552857310	Regola la visibilità dei coni della visuale dei nemici.
1848427170	Modalità daltonismo
312686700	Abilità la modalità daltonismo.
1770522976	Marcatezza sagome
903136842	Leggera
214647730	Media
1939756145	Forte
2119128132	Regola la marcatezza delle sagome di personaggi e oggetti con cui si può interagire.
486633304	Promemoria salvataggio
367072283	Abilità il promemoria di salvataggio nel limite superiore dello schermo./nRegola anche l'intervallo di tempo dall'ultimo salvataggio dopo cui riappare il promemoria.
1382966912	Sollevamento automatico
2021839866	Determina se i personaggi si alzano in piedi automaticamente dopo un doppio clic.
1877893628	Dialogo automatico
175092334	Determina se il dialogo avanza automaticamente durante i briefing.
1140205606	Attiva/Disattiva evidenziatore
1830301241	Determina per quanto tempo l'evidenziatore rimane attivo:/nOff: Rimane attivo per pochi secondi./nOn: Rimane attivo finché non viene disattivato.
666387157	Attiva/Disattiva Avanti veloce
1779818369	Determina come viene usato Avanti veloce:/nOff: Tieni premuto per accelerare il tempo, rilascia per fermare./nOn: Premi per attivare e disattivare Avanti veloce.
1327985646	Velocità visuale
471601378	Regola la velocità di movimento della visuale.
824998259	Movimento bordi visuale
558622535	Abilità il movimento della visuale spostando il puntatore ai bordi dello schermo.
2012998024	Rotazione visuale
415969457	Invertita
888640053	Normale
1154410071	Zoom visuale
1062301022	Visuale asse X
122559663	Visuale asse Y
444678528	Trascina visuale asse X
1512099547	Trascina visuale asse Y
724136998	Mira asse X
1114573338	Mira asse Y
310268606	Sottotitoli
904565450	Sottotitoli personaggi non giocabili
1016841846	Abilita i sottotitoli per i personaggi non giocabili.
1076145211	Sottotitoli giocatore
34778467	Abilita i sottotitoli per i personaggi del giocatore.
1459237052	Sottotitoli filmati
1609466858	Abilita i sottotitoli nei filmati.
1865076062	Sottotitoli briefing
89601639	Abilita i sottotitoli durante i briefing.
1993831770	Sottotitoli conversazioni
1423012840	Abilita i sottotitoli per le conversazioni.
1627962200	Controller attivo
1637947761	Seleziona quale controller vuoi usare per giocare.
427002912	AUDIO
612494481	Lingua testo
193233307	Seleziona la lingua del testo scritto.
215104258	Tastiera
1544447732	Seleziona la configurazione della tastiera.
357458454	Lingua voce
776918688	Seleziona la lingua del parlato
692943060	Modalità altoparlanti
1727566288	Seleziona quale modalità altoparlanti vuoi usare. Quest'opzione è disponibile solo nel menu principale.
406098029	Stereo
354244378	Surround 5.1
1693017002	Surround 7.1
543329642	Volume generale
506360498	Alza o abbassa il volume generale del gioco
1806164857	Volume musica
636360512	Alza o abbassa il volume della musica del gioco
193405480	Volume effetti sonori
719162085	Alza o abbassa il volume degli effetti sonori
2076792662	Volume voce
1496215659	Alza o abbassa il volume delle voci dei personaggi
435550555	COMANDI
194751495	VIDEO
926514941	Qualità
658779970	Bassa
1134711718	Media
1132577025	Alta
904257921	Personalizzata
1296485339	Ombre
1360711769	Attiva o disattiva le ombre
592999434	Distanza ombre
30989482	Corta
897119853	Media
1371281051	Lunga
1373413817	Risoluzione texture
2009175530	Piena
429141927	Metà
876302356	Un quarto
9527696	Un ottavo
289642533	Aumenta o diminuisce la risoluzione delle texture
8811852	Anti-aliasing
1916906986	Aumenta o diminuisce il livello di anti-aliasing
102567943	Riflessi acqua
74011557	Filtro anisotropico
1374150836	Occlusione ambientale
1780758815	Scala renderizzazione
1290710887	Risoluzione
1269150780	Schermo intero
995994767	V-Sync
1487879630	Per un'esperienza ottimale, imposta la frequenza del V-Sync al massimo in base al frame rate più alto possibile. Questa impostazione dipende anche dalla frequenza di aggiornamento dello schermo.
1700288794	Non sincronizzare
169915306	Frequenza di aggiornamento completa
1506251381	Frequenza di aggiornamento dimezzata
475868445	Correzione gamma
1442293416	Regola l'indicatore della gamma in modo da distinguere chiaramente tutti i gradi della sfumatura e vedere a malapena la pistola sulla sinistra.
1956330395	RINGRAZIAMENTI
876312009	SVILUPPATORI
1093446963	AZZERA PARTITA
604412219	Così azzererai la partita. Perderai tutti i progressi, i salvataggi e i distintivi sbloccati. Le impostazioni video, audio, di gioco e le configurazioni personalizzate NON verranno azzerate. Vuoi continuare?
348832845	CONSIGLI CARICAMENTO
1514049626	Suggerimenti
163742262	Per tutte le abilità e i personaggi esistono dei suggerimenti. Possono aiutarti a scoprire nuove strategie.
605453809	Attacchi in mischia non letali
482668800	Tutti gli attacchi in mischia hanno un'opzione non letale. Premi <hotkey>{0}</hotkey> per passare alla modalità non letale o usa il comando nella barra delle abilità.
1798452257	Tutti gli attacchi in mischia hanno un'opzione non letale. Tieni premuto <hotkey>{0}</hotkey> per aprire la ruota del personaggio e premi <hotkey>{1}</hotkey> per scorrere le modalità.
1907007791	Attacchi in salto non letali
124657665	Quando l'attacco in mischia è impostato su non letale, saltando sulle guardie le stordisci invece di ucciderle.
949271593	Spostare i cadaveri
1671046303	I personaggi spostano i cadaveri in modo diverso. Alcuni si concentrano sulla velocità, altri rimangono vicini al terreno per non essere scoperti.
1628782004	Uccidi e trasporta
1344684890	Tieni premuto <hotkey>{0}</hotkey> quando esegui un'uccisione in mischia per raccogliere automaticamente il corpo.
1476567941	Tieni premuto <hotkey>{0}</hotkey> durante un'uccisione in mischia per raccogliere automaticamente il corpo.
520060613	Segnale campo visivo
3333633	Fai con calma quando provi una posizione con il segnale del campo visivo. Alcune guardie seguono percorsi più lunghi.
822402292	Evidenziatore
890170653	Premi <hotkey>{0}</hotkey> per evidenziare i nemici e gli oggetti con cui puoi interagire nell'ambiente.
63047757	Premi <hotkey>{0}</hotkey> per evidenziare i nemici e gli oggetti con cui puoi interagire nell'ambiente.
137001150	Uccisioni ambientali
1981927858	Se una guardia viene uccisa da un oggetto che cade, la sua morte verrà scambiata per un incidente e non verrà dato l'allarme.
1066015511	Tipi di nemico
1716596328	Sposta il puntatore sulle guardie per vedere di che tipo sono.
739816734	Tieni premuto <hotkey>{0}</hotkey> e sposta il puntatore sulle guardie per vedere di che tipo sono.
570427210	Oggetti importanti
1536012121	Sposta il puntatore sugli oggetti importanti per vederne la funzione.
656570826	Tieni premuto <hotkey>{0}</hotkey> e sposta il puntatore sugli oggetti con cui puoi interagire per vederne la funzione.
545151036	Rotazione visuale
68323806	Tieni premuto <hotkey>{0}</hotkey> e sposta il mouse per ruotare liberamente la visuale.
573759884	Tieni premuto <hotkey>{0}</hotkey> e usa <hotkey>{1}</hotkey> per ruotare liberamente la visuale.
141599116	Reimposta visuale
1856158476	Premi <hotkey>{0}</hotkey> per centrare la visuale sul personaggio selezionato e reimpostare la rotazione della visuale.
490202928	Tuffarsi nel campo visivo
751421264	Non aver paura di tuffarti nel campo visivo di un nemico, se necessario. Se riesci a uscire velocemente, passerai inosservato.
1535817616	Segui il campo visivo
1992853863	Prova a seguire il campo visivo di un nemico per non essere visto. Avvicinati al campo mentre si allontana da te e poi vai velocemente in copertura.
549877002	Nascondere corpi
1937082586	Nascondi i corpi nei cespugli, nei pozzi o nell'acqua alta per liberartene per sempre.
1636080378	Scorrere le azioni
1155856873	Premi <hotkey>{0}</hotkey> per scorrere tra le azioni disponibili dalla tua posizione.
1245857298	Annullare azioni
890799486	Premi <hotkey>{0}</hotkey> per far sì che il personaggio che hai scelto annulli tutte le azioni in corso.
1007969175	Armi e munizioni
1834588216	Le armi sono molto potenti, quindi non temere di usarle. Tieni gli occhi aperti e cerca casse di munizioni.
1763635777	Armi da fuoco
1226007028	Usando le armi da fuoco diventerai visibile per un breve periodo, anche se sei accucciato.
1714326839	Selezione rapida
187751512	Puoi scorrere rapidamente tra le abilità premendo <hotkey>{0}</hotkey>. Puoi fare lo stesso con <hotkey>{1}</hotkey> per i personaggi.
264685370	Spostare corpi (Hector)
76879622	Hector può portare due corpi alla volta, anche mentre corre.
858462126	Spostare corpi (Rilascio rapido)
1778643117	Quando porti un corpo, premi <hotkey>{0}</hotkey> per accovacciarti e lasciarlo immediatamente.
1824651014	Utilizzo istantaneo abilità
2122441486	Tieni premuto <hotkey>{0}</hotkey> per eseguire rapidamente le abilità che non richiedono di mirare (ad esempio la trappola di Hector).
1607957211	Personalizzazione interfaccia
2063046262	Puoi personalizzare l'interfaccia dalle opzioni ed eliminare degli elementi come il promemoria di salvataggio.
243581491	Casse di munizioni
1372447036	Se ti servono proiettili o altre munizioni, cerca le casse di rifornimenti.
1971425251	Nemici con cappotto
821076907	I nemici con il cappotto sono immuni ad alcuni attacchi, come per esempio al coltello di Cooper, al gas di McCoy e alla trappola per orsi di Hector.
1119380193	Salute nemici con cappotto
988394871	I nemici con il cappotto hanno tre punti di salute. Se le cose si mettono male, puoi abbatterli con un'arma da fuoco.
1235072996	Impronte ed esche
734938354	Quando cammini nel fango, puoi usare le impronte per attirare i nemici in trappola o in un'imboscata.
822878847	Impronte e fuga
1971769156	Se una guardia segue le tue impronte, puoi arrampicarti su una scala o entrare in un edificio per far perdere le tue tracce.
1050777356	Spegnere le luci
63767177	Puoi spegnere piccole sorgenti di luce come lampade e fiaccole. Appena se ne accorgono, le guardie andranno a riaccenderle.
1615453610	Corpi come esche
126865505	Puoi usare un cadavere per attirare una guardia. Assicurati di metterla fuori gioco prima che dia l'allarme.
1685026057	Traiettorie arcuate
1810398782	Alcune abilità hanno una traiettoria arcuata, quindi possono essere usate da un riparo e possono superare gli ostacoli.
863688220	Traiettorie dritte
638419450	Alcune abilità hanno una traiettoria dritta. Se il bersaglio si trova dietro un oggetto, il personaggio cercherà una posizione migliore per utilizzare l'abilità.
298907312	Rilevamento esche
1903469107	La prima guardia che vede un'esca (come la valigetta di McCoy) abbandona la sua posizione per prenderla, anche se ci sono altri che riescono a vederla. Le pattuglie si muovono sempre insieme.
778842893	Edifici occupati
1438210843	Il tuo personaggio non può entrare negli edifici con dentro dei nemici.
470739778	Scappare via
1020868379	I nemici non possono arrampicarsi sulle viti o saltare oltre le buche. Usalo a tuo vantaggio quando devi scappare.
1108269139	Coda dell'occhio
1137613639	Se rimani accanto a loro per troppo tempo, i nemici possono vederti con la coda dell'occhio.
1338931543	Lampade come esche
509385294	Puoi spegnere le lampade per attirare i nemici in trappola o in un'imboscata.
158140971	Guardie con lampade
1255254891	Se abbatti una guardia con un attacco in mischia, la lampada che stavano portando non si spegne. Avvicinati alla lampada per spegnerla.
2070314948	Civili
210762969	I civili nemici non ti attaccheranno, ma se infrangi la legge avvertiranno la guardia più vicina.
2142535667	Modalità Resa dei conti
2088413710	La modalità Resa dei conti è un potente strumento che ti permette di programmare più azioni in contemporanea. Provalo se sei bloccato su una sfida.
934714147	Modalità Resa dei conti - Cecchino
312206160	Quando usi la modalità Resa dei conti, non dimenticarti di McCoy. Le sue abilità da cecchino richiedono pianificazione e possono abbattere i nemici da una distanza di sicurezza.
2119107841	Modalità Resa dei conti - Gatto
1433267486	Quando usi la modalità Resa dei conti, il gatto di Isabelle aspetterà accanto al suo bersaglio, quindi puoi eseguire la sua azione senza alcun ritardo.
269943082	Proiettile d'oro
410699328	McCoy mette sempre da parte un proiettile per gli obiettivi della missione. Non fallirai mai una missione perché sei a corto di munizioni.
1568979145	Togliere il travestimento
471953919	Tieni premuto <hotkey>{0}</hotkey> per togliere manualmente il travestimento di Kate.
1773294443	Sbloccare distintivi
1758401545	Sblocca i distintivi eseguendo determinate azioni o giocando alle missioni in condizioni particolari.
2100745183	Distintivi e difficoltà
1881388511	I distintivi si possono ottenere giocando a difficoltà Normale o maggiore.
1816057841	Tipi di distintivo
2112292041	I distintivi piccoli sono prove d'abilità, come per esempio il tempo di completamento o il numero di vittime in un livello. Per ottenere i distintivi grandi dovrai giocare i livelli in modi inaspettati.
824582774	La banda degli sviluppatori
1561875126	Alcuni nemici portano il nome degli sviluppatori. Riuscirai a trovarli tutti?
1154773630	Cambiare la difficoltà
512149738	Non puoi cambiare la difficoltà mentre giochi una missione.
31059294	Personalizzazione comandi
1048689626	Puoi personalizzare i comandi e altre impostazioni di gioco dal menu Opzioni.
1220564156	Multi-selezione personaggio
1610317847	Tieni premuto <hotkey>{0}</hotkey> e trascina la selezione su tutti i personaggi che vuoi selezionare. Oppure, tieni premuto <hotkey>{1}</hotkey> e clicca con <hotkey>{2}</hotkey> sui loro ritratti.
42793480	Mentre tieni premuto <hotkey>{0}</hotkey>, usa <hotkey>{1}</hotkey> per selezionare più di un personaggio, oppure <hotkey>{2}</hotkey> per selezionare tutti i personaggi disponibili. Controllerai il primo personaggio che hai selezionato e gli altri a seguire.
1356113339	Tappe multiple
1387195571	Tieni premuto <hotkey>{0}</hotkey> e usa <hotkey>{1}</hotkey> per impostare più tappe per personaggio.
2070609971	Modalità Visione
878634208	Tieni premuto <hotkey>{0}</hotkey> per entrare in modalità Visione e selezionare i campi visivi dei nemici. Mentre sei in modalità Visione puoi anche impostare un segnale di campo visivo, mostrare le zone d'allarme e usare Avanti veloce per ridurre l'attesa.
765451162	Avanti veloce
1546069925	Tieni premuto <hotkey>{0}</hotkey> per mandare avanti veloce il gioco.
255324182	Tieni premuto <hotkey>{0}</hotkey> e <hotkey>{1}</hotkey> per mandare avanti veloce il gioco.
1188458775	Zone d'allarme
2056027763	Usa <hotkey>{0}</hotkey> per mostrare le zone d'allarme ed evidenziare le caserme. Se in una zona c'è una caserma, i rinforzi arriveranno da lì. Se non c'è, la zona risulterà grigia.
260850587	Tieni premuto <hotkey>{0}</hotkey> e usa <hotkey>{1}</hotkey> per mostrare le zone d'allarme ed evidenziare le caserme. Se in una zona c'è una caserma, i rinforzi arriveranno da lì. Se non c'è, la zona risulterà grigia.
1830410793	Guardie che parlano e distrazioni
886347188	Se due guardie stanno parlando e una delle due è immune a certe distrazioni, lo saranno entrambe. Per esempio, se provi ad attirare uno scagnozzo che sta parlando con una guardia con il poncho, quella con il poncho lo tratterà.
66646900	Abilità curative
1806946441	Le abilità curative, come le bende di McCoy, hanno munizioni infinite, ma impiegano del tempo per essere utilizzate. È consigliabile usarle quando non c'è nessuno in giro.
1379027361	Distrazioni nelle zone abitate
219606787	Se usi una distrazione in una zona abitata e qualcuno se ne accorge, su quella persona non avrà effetto.
800642416	Icona rumore fuori schermo
1716797887	Se qualcuno che si trova fuori dalla schermata può sentire le tue azioni, viene visualizzata un'icona sullo schermo.
1509223741	Traiettoria
768965028	Se la traiettoria di un attacco a distanza è bloccata da qualcosa, la linea diventerà in parte rossa. Le abilità colpiscono il bersaglio solo quando la linea è completamente verde.
710558629	Pulsanti rapidi personaggi
1124360782	Puoi selezionare i personaggi tramite i pulsanti rapidi mostrati accanto al loro ritratto. Premi un pulsante rapido per selezionare il personaggio. Premilo di nuovo per centrare la visuale su quel personaggio.
461437642	Movimento visuale
808795684	Usa <hotkey>{0}</hotkey> per far sì che la visuale segua il tuo personaggio fin quando non la muovi manualmente.
94599441	Modalità movimento visuale
753717552	Puoi cambiare le modalità di movimento della visuale dal menu opzioni. "Standard" garantisce al giocatore più controllo.
907376899	Trascinare la visuale
2027724162	Tieni premuto <hotkey>{0}</hotkey> per trascinare la visuale.
1063320780	Fermarsi in arrampicata
1755510902	Premi <hotkey>{0}</hotkey> per fermarti mentre ti arrampichi su scale, viti e funi.
1836583362	Spostare corpi in modalità Resa dei conti
68164799	Se prendi un corpo in modalità Resa dei conti, puoi risparmiare un'azione per spostare e lasciarlo. Puoi farlo anche quando uccidi e trasporti.
240081232	Tappe modalità Resa dei conti
321945412	In modalità Resa dei conti, puoi impostare una sola tappa per personaggio.
1843019443	Informazioni rinforzi
72136199	Premi <hotkey>{0}</hotkey> o passa il mouse sopra l'icona di una caserma per vedere il numero e il tipo di rinforzi che verranno inviati durante un allarme, nonché il numero totale di rinforzi.
1133491710	Tieni premuto <hotkey>{0}</hotkey> e premi <hotkey>{1}</hotkey> o passa il puntatore sopra l'icona di una caserma vedere il numero e il tipo di rinforzi che verranno inviati durante un allarme, nonché il numero totale di rinforzi.
1806446353	Limiti rinforzi
2073461372	Dopo ogni allarme, le guardie morte o legate vengono sostituite dai rimpiazzi disponibili nella caserma. Se la caserma è vuota, non arriveranno più rinforzi.
1306284367	Cani che abbaiano
1729303052	Un cane che abbaia non attiva l'allarme, ma le guardie che lo sentono arriveranno a indagare.
1491777208	Stati stordimento
1324369933	Se una guardia ne trova un'altra stordita, la sveglia senza dare l'allarme. Se invece ti vede mentre stordisci la guardia o se trova questa legata, SCATTERÀ l'allarme.
242717582	Attirare nemici con cappotto
841587656	I nemici con il cappotto sono immuni alle esche, ma puoi attirarli lo stesso spegnendo le lampade o sfruttando le impronte.
230296262	Spari come esca
1005629954	Se ami il rischio, puoi usare uno sparo come esca. Farai scattare l'allarme, ma puoi attirare grandi gruppi di nemici, compresi quelli con il cappotto, in un luogo di tua scelta.
2134260994	Controllare la mente dei nemici con cappotto
705025876	I nemici con il cappotto resistono al controllo mentale di Isabelle. Possono essere controllati solo se sono storditi.
656581142	Controllare la mente dei colpevoli
1599654236	Eseguire un'uccisione controllando la mente di una guardia la farà sembrare colpevole. Se altre guardie assistono all'uccisione, attaccheranno il colpevole. Se trovano il colpevole privo di sensi accanto alla vittima, lo legheranno.
97437742	Colpevoli e nemici con il cappotto
335053795	Se una guardia con il cappotto viene stordita da una guardia controllata, ricorderà la faccia del colpevole e gli sparerà la prossima volta che lo vede.
1258883271	Abilità controllo mentale
1486407837	Le abilità disponibili durante il controllo mentale dipendono dalla vittima. Le guardie possono eseguire un'uccisione con le loro armi. I civili possono chiamare aiuto per attirare le guardie.
1289329808	Connessione e distrazioni
759975619	Se due guardie sono connesse e una di loro sente il rumore di una distrazione (come la moneta di Cooper), entrambe guarderanno in direzione del rumore.
2003290337	Connessione ed esche
241375047	Se due guardie sono connesse e una di loro si fa attirare da un'esca (come la valigetta di McCoy), l'altra farà qualche passo verso l'esca per poi tornare al suo posto.
1911833233	Connessione e danni
477939682	Due guardie connesse ricevono sempre gli stessi danni. Uccidine una e l'altra morirà. Stordiscila e l'altra perderà i sensi.
400560812	Connessione e nemici con cappotto
1973720970	I nemici con il cappotto possono essere storditi dai danni ricevuti dalla guardia a loro connessa. L'effetto sarà sempre uno stordimento, anche se il tipo di danno normalmente li avrebbe uccisi (come l'ascia di Hector).
696649581	Connessione e abilità accecanti
137918846	Se due guardie sono connesse e una viene accecata (per esempio dal profumo di Kate), entrambe perderanno la vista.
331045493	Movimenti del gatto
753041168	Il gatto di Isabelle può arrampicarsi su scale e funi, ma non può nuotare.
2127142431	Borseggiare
602778606	Se una guardia trasporta un oggetto importante, Kate può borseggiarla.
801171987	Acqua bassa e corpi
735202007	Nell'acqua bassa si possono nascondere i cadaveri.
1288975608	Accendere fiaccole
127998834	Puoi accendere la fiaccola con tutti i fuochi che trovi. Anche con altre fiaccole.
139855627	Fiaccole e cespugli
