English	Englisch
2010416411	Also, ich setze fünf Dollar auf Hutch! Was sagst du?
710375432	Die Wette gilt. Lindberg hat Haare auf den Zähnen.
1586398938	Lindberg! Komm raus, du rotzbesoffene, whiskey-stehlende Wildsau!
1872026001	Hier bin ich, du unnützer Saufkopf. Bringen wir das hinter uns.
1298793123	Hast du das gehört? Das geht nicht gut aus! Na los!
1577121988	Wird Zeit, dass du für das bezahlst, was du mir gestohlen hast!
208492544	Du machst mir keine Angst, du dämlicher Säufer!
113944635	Diese Flasche war MEINE Flasche!
1288348702	Ziehst du jetzt endlich oder willst du mich mit deiner Fahne umhauchen?
1500668642	Ha! Zu langsam, du diebische Schlampe. Genau, was du verdient hast.
58060641	Jepp ... Nimm das mit ins Grab, du nutzlose Saufnase.
1278130353	Guck nach vorne, Junge! Das Duell geht uns nichts an.
1500641619	Siehst du den Typen hinten bei der Klippe?
867275810	Lenk ihn mit deiner Münze ab, dann kann ich beide erledigen.
173700865	Der andere, John.
788470849	Er atmet noch. Fessle ihn. Schnell, bevor er wieder zu sich kommt.
610402371	Pass auf!
1693227310	T-Tut mir leid.
270329634	Das ist kein guter Tag, um den Kopf zu verlieren, Junge. Na los, versteck die Leiche.
6254567	Gut gemacht. Und jetzt versteck ihn in den Sträuchern.
814465367	Guter Junge. Auf geht’s.
1249224831	Wir müssen weiter.
2009387216	Kommst du, Junge?
1269776983	Wo bleibst du denn?
436041377	Wo kommen die alle her?
768305125	Egal, siehst du den Kran dort oben?
199740460	Ja.
1397304671	Wie wär's, wenn du rauf gehst und die Ladung runter lässt?
369857519	Wird erledigt, Sir.
616012734	Ich hab’s geschafft!
1056472202	Gut gemacht, Junge. Bleib dort, ich komm zu dir.
1632996207	Gut gemacht, Junge.
1189061753	Du kennst das Spiel. Warte, bis ich zurück bin.
1717160180	Ich dachte, ich wäre soweit.
1181643869	Nächstes Mal.
1437875326	Das hast du letztes Mal auch gesagt. Warum kann ich nicht mitkommen? Gib mir einfach eine Knarre!
352432993	Eine Knarre, hm?
503611392	Ich will, dass du den Baum aus fünfzehn Schritt Entfernung triffst.
205456903	Ich möchte sehen, dass du den Baum aus zehn Schritt Entfernung triffst.
1632727931	Wenn du das schaffst, bist du bereit für eine Knarre.
975014210	Bis später, Johnnie.
1900598656	
1896881836	
110101962	
751623457	Vater einholen
481266188	Dein Vater ist vorausgeeilt. Folge ihm, aber pass gut auf.
1526109961	Wache ablenken
1317378782	Benutze deine Münzen, um die Wache abzulenken.
1439937349	Pferd ärgern
567792959	Benutze deine Münzen, um das Pferd zu ärgern, wenn die Wache vorbeikommt.
11899031	Strickleiter herunterlassen
1788301801	Hilf deinem Vater rein, indem du die Strickleiter herunterlässt.
981221578	Dach erreichen
1937336315	Schleiche dich an der Wache vorbei und aufs Dach.
1856922554	Wache ablenken
1184848606	Benutze deine Münzen, um die Wache an der Klippe abzulenken.
38434196	Leiche verstecken
1667462755	Fessle die ausgeschaltete Wache und verstecke sie in den Sträuchern.
8818489	Kran benutzen
154743950	Klettere den Kran hoch und lasse seine Last auf die drei Wachen darunter fallen.
460377644	Vater treffen
1343983716	Dein Vater wartet an der Statue auf dich. Triff dich mit ihm. 
1692289367	Rupft sie ordentlich, Jungs! Nehmt alles, was glänzt, und alles, womit man sich blind saufen kann.
1929783850	Ha! Noch einer für Big Ann!
1205750566	Na los, zeigen wir ihnen, wer der Boss ist!
767721975	Scheiße! In Deckung! 
1475498398	Hier lang, wir greifen von der Seite an.
960148853	Verdammt! Er hat uns gesehen.
1019127878	Er ist da oben! Schnappt ihn!
1051935092	Lasst ihn nicht entwischen!
663715900	Knallt sie ab, Jungs!
2103050132	Lasst mir welche übrig!
1560468735	Was hier wohl drin ist?
484933547	...!
1907256786	Irgendwas sagt mir, dass du nicht zum Fahrkartenstempeln hier bist.
1373445296	Anscheinend machen wir einen unplanmäßigen Halt. Ich sehe besser nach, was los ist.
1643412661	
951221264	Ich muss mich zum vorderen Ende des Zugs schleichen.
713753643	Ich muss ihn von hier aus erledigen. Am besten mit dem Messer.
1003845454	Kräne, Schubkarren. Mann, diese Typen waren gut vorbereitet.
1162303225	Scheiße! Verdammt!
796419796	Ich geh besser nach oben.
1971672858	Hey, sieh mal hier! Wir haben einen übersehen!
1896120580	Komm raus, komm raus, ich weiß, wo du bist!
1211612051	Komm raus oder ich schieße.
50222681	Wir werden dir dein Geld UND dein Leben nehmen.
941059724	Herrgott, haben Sie mir Angst gemacht.
1697471239	Können Sie uns helfen?
1639671670	Mal sehen, wer am schnellsten zieht.
1450283622	Da kommt er auch schon.
1623085575	Das war knapp. Nächstes Mal dünne ich das Rudel besser aus, bevor ich laut werde.
1337360436	Danke, Fremder.
1527554887	Sucht euch sich ein Versteck.
2130853820	Keine Bewegung, Kumpel.
1423049218	Wir wollen doch nichts tun, was wir bereuen könnten.
1281610380	Ich muss beide auf einmal erledigen.
1105102517	Ich würde sagen, jetzt schulden Sie mir was.
1365400822	Was denn?! Soll das ein Scherz sein?
2077883062	...!
1757142276	Ich würde sagen, jetzt sind wir quitt.
2060438311	Ich schlage vor, Sie kehren jetzt zu Ihrem Waggon zurück. Ab jetzt kümmere ich mich.
1826446833	So, wie Sie sich um die beiden gekümmert haben?
1643408715	Hören Sie, Mr ...
402003712	Cooper.
3876306	Mr Cooper. Ich wurde angeheuert, um sicherzustellen, dass dieser Zug nach Flagstone kommt.
1529002408	Ich würde es zu schätzen wissen, wenn Sie mir nicht in die Quere kommen.
1820710576	Also gut, Mr ...
998996917	McCoy. Doktor McCoy.
2140966376	Gut. Doktor McCoy. So, wie ich das sehe, führt nur ein Weg geradeaus.
1640528482	Und ich muss auch nach Flagstone.
34942661	Wie Sie meinen. Aber sagen Sie nicht, ich hätte Sie nicht gewarnt.
475419878	
1975231165	Die Banditen haben offenbar den Tunnel blockiert.
478252477	Was glauben Sie, warum der Zug angehalten hat?
369403123	Das wird viel Arbeit, diese Felsen zu beseitigen.
1072109390	Gut, dass sie auf dieser Anhöhe ein Fässchen Dynamit gelagert haben.
644898868	Das Dynamit schnappen und den Tunnel freilegen. Gar kein schlechter Plan.
376265597	Meine Pläne sind nie schlecht.
1407100741	In Ordnung. Dann legen wir mal los.
89265579	Klare Sache.
1694409325	Sieh mal einer an. Ein richtiger Arzt.
1751704381	Tun Sie nicht so überrascht.
1898403668	Irgendwelche Ideen hierzu?
1554018004	Ich werde meine Tasche als Köder benutzen. Sie verstecken sich und lernen dazu.
639337317	Eine Gasfalle, hm? Nicht schlecht. Wie öffnet man das Ding unbeschadet?
272489015	Sie gar nicht, Mr Cooper. Es sei denn, Sie sind ich.
1869689713	Big Ann hat es wieder mal geschafft.
801957529	Noch ein Zug für uns, hehe.
1085623643	Verdammte DeVitt Company.
67595800	Wir werden dieses Baby komplett ausräumen.
226511189	Die Jungs haben ihre Freude am Plündern.
561111430	Es ist eine echte Schande, dass ich hier Wache schieben muss.
1256294145	Wer zum Teufel soll schon hier entlangkommen?
1198044642	Scheiß Befehle.
2056535846	Gehen wir rüber.
1294728632	Auf der Klippe ist ein Ausguck.
1530678151	Ich werde ihn von hier aus erledigen.
1457731169	Das will ich sehen.
2021481338	Keine Ahnung, was Sie getroffen haben, aber es war nicht Ihr Ziel.
1212423052	Bislang konnten Sie mich nicht beeindrucken, Mr McCoy.
1122724759	Kommen Sie, McCoy, wir haben nicht den ganzen Tag Zeit.
251747283	Verdammt will ich sein.
1669130534	Colt Buntline Special. Schaft und Patronen eine Spezialanfertigung.
1272865861	Ich hoffe, das macht Ihnen nichts, Mr McCoy.
1105231492	Gut. Spart mir eine Kugel.
1236950567	Auf, nach oben.
520419993	Die Zeiten des Kletterns liegen hinter mir, Mr Cooper.
1671694831	Na ja, wir finden schon eine Lösung.
1511114845	Ich warte noch immer hier unten, Mr Cooper!
1661976841	Ich sollte ihn nach oben holen, bevor ich weitergehe!
486887981	Ich hoffe, Sie kommen mit der Strickleiter klar, Mr McCoy.
1030677372	Doktor McCoy, wenn ich bitten darf.
916815113	Aber sicher.
758812215	Augen auf. Sein Freund wird nach ihm schauen.
2027247329	Vorsicht. Sein Freund wird merken, dass er nicht auf seinem Posten ist.
425004179	Was ist mit dem Typen, der den Poncho trägt?
1659968206	Sehen Sie den mit dem Poncho?
906565404	Der wird sich nicht unnötig bewegen.
1155934742	Und das wissen Sie, weil ...?
2126919349	Vertrauen Sie mir. Ich kenne diese Typen.
1317692460	Noch immer nichts. Was dauert denn da so lange?
1680411418	Der Mistkerl hat sich vermutlich irgendwo versteckt. Keine Sorge, die werden ihn finden.
1699565207	Sollten sie nicht schon zurück sein?
268746474	Ach, ich wette, die lassen sich Zeit mit ihm. Hat der Mistkerl auch verdient.
143066108	Was, wenn er sie umgebracht hat? ... Vielleicht bin ich der Nächste.
1916520478	Ach, bleib locker. Ein Typ wie der vergeudet keine Kugel für dich.
1529165791	Ich liebe es, wenn ein Plan funktioniert.
863068086	Ja, Big Ann weiß, was sie tut.
2048397418	Und ob.
1004650523	Was glaubst du, wie lange wir noch haben?
533505294	Es ist keiner entkommen, also können wir uns Zeit lassen.
565392077	Ha, klasse.
1891347620	Stimmt irgendwas nicht?
1435572714	Ja. Kannst du mir sagen, was hier ein verdammtes Boot macht?
817174129	Äh, keine Ahnung, mir egal.
56340574	Das müssen wir leise erledigen. Ich nehme den einen, Sie den anderen.
1076432959	Na los, ich weiß, dass er ihn hat.
1432156816	Du musst ihn gründlich filzen, hörst du?
1322432559	Machst du extra langsam oder was?
1410962525	Wir brauchen den Schlüssel für den Tresor.
1085771153	Ich kann sie schon riechen. Die süßen Moneten.
1638431021	Richtig so, zieht eure Rüben ein, sonst puste ich sie weg.
1540093329	Ha, und ihr dachtet, ihr könntet euch wehren. Seht euch nur an!
2143608143	Ihr gebt uns besser alles, was ihr habt, sonst filzen wir nachher eure Leichen.
1812276984	Bald werdet ihr Big Ann treffen. Seid ihr schon aufgeregt?
155411799	Meine Güte, ich hasse schnieke Typen wie euch. Euch ganz besonders.
55708919	Das hat man davon, wenn man mit einem Zug der DeVitt Company fährt.
1876589766	Ich würde mich besser da raushalten.
782751206	Die Passagiere könnten unsere Hilfe gebrauchen.
271645073	Warum Zeit vergeuden? Lassen Sie uns weiterreisen. 
1374310770	Da. Keine Zeit vergeudet.
131212092	Sie sind ein eiskalter Mistkerl, Mr McCoy.
357527990	Jedem das Seine, Mr Cooper.
766710338	Wer auch immer Sie sind, vielen Dank.
75578718	Schon gut. Und jetzt rühren Sie sich nicht vom Fleck.
688884155	Die Rechnung lasse ich Ihnen zukommen.
1658760377	Das war Zeitvergeudung.
628972340	Sehen Sie? Ich wusste doch, dass da ein Herz in Ihnen steckt.
1808600642	Anatomisch gesehen vielleicht.
179315794	Da ist die Lok.
31474280	Der Anfang des Zugs. Anscheinend haben wir es geschafft.
1036869811	Trotzdem brauchen wir noch das Dynamit, um den Tunnel freizulegen.
143433601	Das ist leicht. Wir begeben uns langsam nach oben.
1962487386	Diese große Fels dort sieht aus, als würde er bald herabstürzen.
1047035443	Ein Damoklesschwert. Der große Fels dort bettelt ja förmlich darum, gestoßen zu werden.
1665137781	Hey, Schwachkopf. Willst du, dass die Kisten sich hier unten weiter stapeln?
852574330	Beeil dich, wir müssen weiter.
1951044472	Sorg dafür, dass die Leute bleiben, wo sie sind.
841434891	Wenn sie sich rühren, knall sie alle ab!
2055157191	Du scheiß Company Handlanger. Sag mir, wo die Tresore sind.
1159849560	I-I-Ich weiß es nicht, Miss, ich schwöre.
1782893817	Ich weiß, dass die DeVitt Company Geld in diesem Zug transportiert. Wo ist es?
1514072165	Wie soll ich das wissen, die sagen mir ja nichts.
993876529	Zwecklos, es mir zu verheimlichen, Schätzchen. Meine Männer werden es finden.
1144006518	Ich verheimliche nichts, Miss.
1116280026	Die Tresore. Welcher Waggon? Sag es mir, sonst schieß ich dir ins Gesicht.
382088829	Ich habe nicht die geringste Ahnung, wovon Sie sprechen.
33456719	So langsam verliere ich die Geduld.
667736715	Bitte! Nicht!
439455722	Nutzlos ...
300333351	Findet mir diese gottverdammten Tresore, ihr Schwachköpfe!
857711144	Das Geld ist in diesem Zug! Ich will es haben, also solltet ihr es besser finden!
762266956	Beeilt euch, ihr Idioten, bevor die Marshals davon Wind bekommen.
1660905154	Wer die Tresore entdeckt, bekommt einen saftigen Bonus!
925116337	Wenn ihr diesen Zug nicht schneller entladet, wird das der letzte sein, den ihr seht!
117746040	Na los, ihr Scheißer! Ich will alles in einer Stunde verladen haben.
242250607	Halten Sie sich raus und gehen Sie mir aus dem Weg.
2140777347	Halten Sie sich raus. Wir werden uns um die Banditen kümmern.
1638609231	Haben Sie vielen, vielen Dank!
1589117487	Ich habe die Lunte angezündet. Besser schnell werfen.
1643089788	Ich habe die Lunte angezündet. Besser schnell werfen.
1568822276	Was zum Teufel ...?! Schnappt sie euch, ihr gottverdammten Nichtsnutze!
434476931	Was zum Teufel ...?! Schnappt sie euch, ihr gottverdammten Nichtsnutze!
132910932	Gut, dass wir noch mehr Dynamit haben.
981381405	Gut, dass wir noch mehr Dynamit haben.
1975216237	Ich denke, das reicht. Wir sollten uns eine sichere Stelle suchen.
1141150704	In Ordnung. Wir sollten uns eine sichere Stelle suchen.
2003325372	Geht klar.
1576105220	Hmm ... Sieht nach einem Picknick aus. Sonst nichts. Ich sollte zum Zug zurückgehen.
990742861	Hier hat jemand ein kleines Picknick veranstaltet! Das war es wohl. Ich geh besser zurück.
84273769	Andererseits: Warum machen wir keine Pause?
1698751564	Was denn nun? Was ist mit dem Zug?
619299078	Alles zu seiner Zeit, Mr Cooper. Möchten Sie mal probieren?
1840322319	Ein ... Törtchen? Ist das Ihr Ernst?
2006229049	Mein neuestes Rezept. Ich suche nach ... Freiwilligen, die es probieren.
618195600	So, so. Wie viele Freiwillige haben Ihr Rezept schon überlebt?
1843640598	Es ist nagelneu, Mr Cooper. Sie werden der Erste sein, der es probiert.
1956162352	Nun, ich will nicht unhöflich sein, aber ich bleib lieber bei meinem eigenen Proviant.
268397488	Wie Sie meinen.
1808341550	Hmm ... Dreifache Buttercremeglasur. Ein Hauch von Macadamia und Anis. Abgerundet durch eine perfekt zusammengestellte Erdbeergeleefüllung.
1498412873	Verdammt, da kennt sich jemand aus. Na gut, geben Sie mir einen.
1366813644	Ich fürchte, das war mein einziges Probeexemplar. Sie hatten Ihre Gelegenheit.
1392707135	Hrm ...
1092787853	Und jetzt zur vor uns liegenden Aufgabe.
766046273	Klar. Was auch immer Sie sagen.
366179940	In Ordnung. Kümmern wir uns um die Restlichen.
817921335	Ganz mein Gedanke.
1836596718	Ich denke, Sie haben die DeVitt Company heute glücklich gemacht.
793788117	Wie viel bekommen Sie für den Job?
851137006	Ich hoffe, Sie erwarten keinen Anteil?
1837965531	Keine Sorge. Ich habe, was ich brauche.
491675002	Sie reisen anders weiter?
1841729439	Ich muss noch Zeit gutmachen. Wie ich schon sagte, ...
724091013	... ich habe eine Verabredung einzuhalten.
1683520205	Wie Sie meinen.
1183665302	War gar nicht so übel, mit Ihnen zu arbeiten, McCoy.
1137118737	Klar. Falls Sie mal einen Profi brauchen, wissen Sie ja, wen Sie holen können.
869904866	Guten Tag, Mr Cooper.
1296821262	
1076983379	Entlang des Zuges vorrücken
447712959	Banditen halten den Zug auf. Begib dich ganz nach vorne.
2094535640	Dynamit besorgen
362613368	Nimm dir eine Stange Dynamit aus dem Fass auf der Anhöhe.
1139826278	Tunnel freilegen
308496222	Die Banditen haben den Tunnel blockiert. Benutze das Dynamit, um den Tunnel freizulegen.
1613884632	Zum Treffpunkt begeben
1487124933	Bringe Cooper und McCoy zum Treffpunkt, damit sie den Job zu Ende bringen können.
661094834	Loser Fels
1717845166	Dieser Fels sieht lose aus. Wäre schlimm, wenn er auf jemanden stürzen würde.
220005127	Neulich haben sie das Haus von Old William abgerissen.
327290212	Warum das denn? Können die ihre Schienen nicht zwischen unseren Häusern verlegen?
468907971	Konzentrier dich aufs Spiel, ja?
434325556	Ich sags euch, wenn die zu meinem Haus kommen, dann zeig den Eisenbahn-Pennern wo der Hammer hängt.
1240800355	Scheiße ...
873549268	W-Was kann ich für Sie tun, Gentlemen?
492613005	Oh, zur dir kommen wir gleich.
344462297	Ihr kennt das Spielchen! Alle Mann raus!
483700298	J-Ja, Sir!
1996050564	Sieh nur, wie sie rennen!
1927673309	Hast du was an den Ohren?
1784449216	Ich trinke nur noch aus.
2055948310	Hör zu, Arschloch, diese Stadt gehört jetzt uns. Wenn er „raus“ sagt, dann solltest du besser ...
442865048	Wir dulden hier keine Störenfriede.
437383994	Ha! Wen haben wir denn hier?!
941942434	Nun, jetzt sind es zwei Störenfriede.
2023323252	Hector! Hilfst du mir hier?
1330553353	Was zum Teufel ...?! Du schon wieder?!
739784153	Hahaa! Da laufen sie wie die Hunde!
1095568786	Kein Wunder nachdem die armen Kerle deine hässliche Visage gesehen haben.
1282782173	Oh, gern geschehen! Du brauchst einen Drink, und ich auch.
521211476	Hector, deiner geht aufs Haus.
892411820	Gracias, Señorita. Gib mir Bescheid, wenn die zurückkommen.
1488340076	Ha, danke. Gib mir Bescheid, wenn die zurückkommen.
462607319	Besser nicht. Nächstes Mal bringen sie dich um.
1261667122	Können sie ja versuchen.
1646631313	Ich nehme an, du bist schon eine Weile hier und hast die falschen Leute verärgert, hm?
1439920483	Die haben MICH verärgert. Aber da du schon hier bist, können wir vielleicht zusammenarbeiten.
1968501055	Oh, nein, da ziehst du mich nicht mit rein. Ich bin wegen Frank hier.
418117848	Umstellt das Haus! Lasst sie nicht entwischen!
556288454	Amigo, du steckst mitten drin. Und du schuldest mir was.
1217092235	Okay, lass uns von hier verschwinden.
265115482	Na los, hinten raus!
1753812082	
718420870	Schnell, hier!
282643245	Sie sind hier irgendwo, und wir haben alle Zeit der Welt.
1164791611	Diese Typen sind auf Blut aus. Wer zum Teufel sind die?
625254008	Gehören zur DeVitt Company. Mit einigen von ihnen habe ich noch eine Rechnung offen.
1298661064	Na dann! Ich hoffe allerdings, du hast einen Plan.
1710621721	Nähm, klar!
1710522083	Lass uns zur Straße gehen. Niemand wird uns belästigen, wenn wir uns unters Stadtvolk mischen. Dann haben wir etwas Luft.
1090916079	So weit, so gut. Aber wessen Schädel „schlagen wir denn ein“?
743641397	Zuerst wäre da mal Jarvis. Echt harter Kerl. Im Moment ist er im Hinterhof und versucht, den Bullen zu reiten.
465329894	Dann haben wir Wild Marge. Sie ist in der ersten Etage des Flagstone-Bordells, trinkt Whiskey und sieht den Mädchen beim Tanzen zu.
174165267	Als nächstes hätten wir den „Duke“. Er dreht mit seinen Stiefelleckern auf der Kirchstraße seine Runden. 
1314266132	Und zuletzt haben wir den Vorarbeiter, McBane. Der ist ein echtes Arschloch. Hat seine Leute die halbe Stadt abreißen lassen, damit er nicht um sie herum planen muss. 
1883399229	Also, wir kümmern uns um sie, gehen zum Saloon zurück und trinken unsere Drinks aus.
354756553	Das ist kein besonders detaillierter Plan, Hector.
1477743624	Was glaubst du, warum ich auf dich gewartet habe?
1977264724	In Ordnung. Bringen wir es hinter uns.
1859777443	Bist du sicher, dass sie hier sind, Murdock?
655992159	Sie können uns nicht entwischt sein.
50795188	Was passiert, wenn sie aufkreuzen?
535869234	Wir knallen sie ab und gehen dann zum Saloon.
969948446	Teufel, ich krieg Durst, Murdock.
964505631	Die können sich nicht ewig verstecken, Sam. Jetzt reiß dich zusammen. 
1606933793	Zeit für Bianca, würde ich sagen.
1381111512	Du schleppst das Ding immer noch mit dir herum?
961267106	Ich hab einen Ruf zu verlieren.
1164823537	Also gut, meine Hübsche. Lass uns jemanden in deine Umarmung locken.
2073897713	Ich wäre nur äußerst ungern dieser Typ.
139277608	Siehst du? Das alte Mädchen hat mich noch nie im Stich gelassen.
967180754	Guter Wurf. Wusste ich doch, dass es richtig war, dich mitzunehmen.
936538598	Freut mich sehr, dass ich deinen Erwartungen entspreche.
1487837025	Bist du fertig mit der Prahlerei?
1398203994	Irgendjemand muss das hier ja alles erledigen.
641296365	Ich glaube, ich habe ein paar Knochen knacken hören.
840216268	Hättest du gerne, Amigo! Ich bin fit wie ein Zwanzigjähriger!
1872296638	Denk dran, den großen Typen mir zu überlassen. Er hat dich schon mal erwischt.
1981178347	Er gehört ganz und gar dir.
568409435	Hättest mich meinen Drink austrinken lassen sollen.
1932523298	Ha! Nicht dein Glückstag heute, was?
1768942864	Wir sind draußen. Ganz ruhig.
450923163	Kein Grund mehr zum Verstecken spielen.
1511639709	Und, wer steht als Nächster auf deiner Liste?
429389325	Und, wer steht als Erster auf deiner Liste?
99315968	Hmm ... Wie wäre es, wenn wir sie in beliebiger Reihenfolge umlegen?
1852126838	Einen tollen Plan hast du da.
385726871	Zu viele Wachen für einen Hinterhofpferch.
2129972192	Jarvis und seine Männer hängen hier herum. Ich wette, er versucht es noch mal mit dem Bullen.
1962085150	Dann sollten wir uns besser unauffällig verhalten, sobald wir drin sind.
1152530045	Das ist ungeheuerlich! Sie können nicht einfach mein Haus abreißen!
241605746	Anweisung der Company. Die Schienen müssen hier entlang laufen.
1069749397	Zur Hölle mit Ihrer Company!
2061009579	Sie macht mich noch wahnsinnig. Ein Teil von mir will einfach nur packen und verschwinden.
1612044536	Ich hab gestern ihre Schublade durchwühlt. Wusstest du, dass sie dort ihr Laudanum aufbewahrt?
1055833194	Jetzt sag nicht, dass du das Zeug magst!
247554796	Ach, natürlich nicht! Hab mich nur gefragt, wo sie es herhat.
1839984841	Kennst du Doc Harold? Manchmal kann er nicht bezahlen und bringt eine Flasche aus seinem Vorrat mit.
848744463	Nein! Echt?
734518430	Scheiße, sieh dir diese Wände an. Josh könnte keine zwei Bretter zusammennageln, um sein Leben zu retten.
958228402	Ja. Die fallen ja schon vom Hingucken um. Auf diese Weise hat es neulich auch Bill erwischt.
118267129	Scheiße, das geht schon den ganzen Tag so.
123783945	Er wird das arme Tier noch zu Tode quälen, wenn er vorher nicht niedergetrampelt wird.
1120349955	Dieser blöde Bulle ist wie eine Kiste Dynamit.
235694989	Erinnerst du dich, wie wir ihn von deinem Vetter bekamen und mein Junge Steine nach ihm warf? Das war ein verdammt mieser Tag ...
1915388645	Ich dachte, das Ganze wäre gut für die Stadt.
1736913974	Wir waren so froh, als der Bürgermeister uns sagte, dass die Eisenbahn kommen würde. Und jetzt ...
1438218330	Dieser Typ dem die Company gehört, der will, dass wir verschwinden. Schert sich einen feuchten Kehricht um uns.
1235977052	Ja, und hast du gehört, was sie Old William gesagt haben?
6558978	Ich habe in letzter Zeit alles Mögliche gehört. Was ist mit dir?
1794071182	Du weißt doch, dass Bürgermeister Higgins morgen Miss Kate heiraten wird.
301471330	Ja, das arme Ding. Dieser Kerl ist ein Schwein.
886425050	Ich wette, sie ist hinter seinem Geld her.
1677873621	Sag das nicht!
80192741	Man sollte annehmen, er wäre vorsichtiger bei all dem Geld.
1135368470	Ich sag dir, Bürgermeister Higgins hat für seine Hochzeit ein Vermögen ausgegeben. Hat mir fast den ganzen Laden leer gekauft. 
656289935	Er ist schon seit Jahren hinter Kate her. Vermutlich hatte er schon alles geplant für den Fall, dass sie endlich ja sagt.
303879504	Ha! Genau wie mit Suzanne! Weißt du noch, wie dieser Goldgräber sie heiraten wollte?
1294148656	Ja, klar, aber ich habe keine Ahnung, wie das hier ausgehen wird.
251907330	Tja. Du kennst du den Mann, der mit den Arbeitern kam. Der ist doch jetzt beim Bürgermeister, oder?
611456286	Oh, der hat total leblose Augen. Hat mich direkt angeguckt, als er vorbei ritt. Ich hab mir fast in die Hose gemacht.
1284719727	Verflucht sei der Bürgermeister, dass er diese Leute hergeholt hat.
2065455987	Ganz genau! Tja. Was ist mit Betty? Stimmt es, dass sie krank geworden ist?
