English	영어
1607540763	게임 종료
134572073	임무 정보
684574630	힌트
15174608	대화 로그
1690935143	배지
534458022	회전
1172304687	줌
472536070	메뉴로 돌아가기
2007793874	쇼다운
1552845124	목표
2129578386	시야
45086762	입장
650614824	밀기
1006693641	퇴장
1012474485	훔치기
824126935	절단
960256102	운반
1136054151	처치
2009903160	기절시키기
404800528	잠김
98960900	미완료 배지는 임무를 처음 플레이하면 표시되지 않습니다.
143561912	{0} (길게 누르기)
1031727861	가운데 보기
1317422898	출구 변경
1574346156	통계
268313053	배지
1677804019	새로운 힌트! {0}
47952872	목표가 변경되었습니다! {0}
171506482	주의 돌리기
1117636783	유인
525698574	난이도 모드:
2001539196	빨리 감기
2074698804	단일 실행
1029285209	사용한 저장 {0}/{1}
1680649526	저장 횟수가 없습니다!
422895194	점프 처치
617453	점프 기절시키기
2127570168	{0}을 눌러 스킬 교체
789822849	계속
901096514	실행
60305594	뛰어들기
2000969630	결박
635175699	마지막 저장:
225439770	튜토리얼
61553626	개요
1564195777	기절시키기
2066401617	치유
1669220735	캐릭터 변경
455511559	취소: {0}
294017721	실행: {0}
1622650625	뒤로
1770561895	예
2074094913	아니요
1895473994	경고!
1616262428	모두 초기화
1751646158	{0}을 눌러 시작
1417345817	계속
540295136	불러오기
1718974128	옵션
2095129783	임무 선택
921695462	DLC
722272055	켜기
1880743921	끄기
148167890	2배
751714715	4배
723357853	8배
1205484016	배지
282651035	예
520483897	아니요
727564207	플레이
614197672	저장
1886644729	메인 메뉴
256619881	일시정지
327085024	빠른 목록
1630446124	{0} 오늘
499301031	{0}분 전
1535055933	{0}분 {1}초 전
375658126	덮어쓰기
919197944	불러오기
1273710227	게임 종료
1261996133	다시 시작
1680915354	바탕화면으로 돌아가시겠습니까?
1228739812	빠른 불러오기
1162764950	컷신
1225642196	컷신을 다시 감상하시겠습니까?
1718054198	빠른 저장
234100204	일반 저장
753130424	새 게임
1238399001	확인
1063145121	새 게임을 시작하시겠습니까?
1171586678	삭제
620746292	저장 게임을 삭제하시겠습니까? {0}
66585026	확인
102014301	다음
48274808	닫기
1637075804	정보
871894210	숨기기
299223502	임무 실패
534861306	불러올 파일 선택
1609646037	저장 게임을 불러오시겠습니까?
431050512	저장 오류
1338371785	저장 도중에 문제가 발생했습니다.
50685828	불러오는 중
462364397	저장 중
1753630574	더 많은 게임
1920816122	이전
1031410729	적용
595402552	대화 언어 선택
1894310156	음성 대화에 사용할 언어를 선택하세요. 이 설정은 옵션 메뉴에서 언제든 변경할 수 있습니다.
1175167657	설정이 변경되었습니다. 변경 사항을 적용하시겠습니까?
1937172350	이 저장 게임은 다른 레벨에서 생성되었습니다. 불러오면 현재 레벨이 종료됩니다. 저장되지 않은 진행 상황은 모두 사라집니다! 계속하시겠습니까?
469052433	컨트롤러 연결 해제됨
495479490	무선 컨트롤러 연결 해제됨
1024292908	컨트롤러를 다시 연결하거나, 연결된 다른 컨트롤러에서 {0}을 누르세요.
2114202035	무선 컨트롤러를 다시 연결하거나, 연결된 다른 무선 컨트롤러를 사용해 애플리케이션을 시작한 사용자로 전환하세요.
1726656013	사용자 저장 데이터 불러오기
604825608	저장 게임 손상
1072627118	불러오려는 파일이 손상되어 기본 설정을 덮어씁니다.
1810121494	사용자 데이터 파일이 손상되었습니다. 데이터를 복구할 수 있습니다.
901336057	사용자 데이터 파일이 손상되어 복구할 수 없습니다. 사용자 데이터가 기본 설정으로 초기화됩니다.
2074534947	사용자 데이터
1564185545	디스크 공간이 부족합니다. 게임을 저장할 공간을 확보하세요.
208516596	손상됨
1080011117	사용자 전환
1615693186	이 아이콘이 표시되는 동안 PlayStation®4 본체를 끄지 마십시오.
653665833	이 아이콘이 표시되는 동안 게임을 종료 또는 중단하거나 Xbox One 콘솔을 끄지 마십시오.
1801035418	이 아이콘이 표시되는 동안 게임을 종료하지 마십시오.
1308428726	스토리지 초기화에 실패했습니다. 플레이하려면 연결된 스토리지 공간이 필요합니다.
1459825798	다시 시도하기
1825071464	최신 저장 게임의 사용이 중단되거나 손상되었습니다. 대신 현재 임무를 다시 시작하시겠습니까?
906613780	저장 게임 수가 최대 한도에 도달했습니다. 기존 저장 게임을 삭제하거나 덮어쓰세요. 참고: 빠른 저장은 이 한도에 집계되지 않습니다.
962072658	저장 중: 이 아이콘이 표시되는 동안 게임을 종료 또는 중단하거나 Xbox One 콘솔을 끄지 마십시오.
1499250081	저장 중: 이 아이콘이 표시되는 동안 PlayStation®4 본체를 끄지 마십시오.
352385758	저장 중: 이 아이콘이 표시되는 동안 게임을 종료하지 마십시오.
488026919	{0} 상품을 구매하려면 상점 페이지를 방문하세요.
289232529	Microsoft Store로 이동
1024096936	PlayStation™Store로 이동
1214121497	추가 콘텐츠 설치: {0}%
1657622959	임무가 아직 설치되지 않음
1609842196	불러오는 도중 문제가 발생했습니다.
1893923580	죄송합니다. 문제가 발생했습니다.
1419415249	로그아웃
1458532162	{0}님이 로그아웃하여 메인 메뉴로 돌아갑니다.
1575082279	사용자 전환
306408042	{0} 프로필로 전환하여 메인 메뉴로 돌아갑니다.
1429086435	(+{0} 추가)
1409730632	시작하려면 아무 키나 누르세요
648045773	PlayStation™Store 기다리는 중
442800743	Microsoft Store 기다리는 중
128141297	네트워크 오류가 발생했습니다.
681487417	동영상 설정
1052460126	게임플레이 설정
2087751746	오디오 설정
25224588	부트업 데이터
1739078801	입력 레이아웃
1649511477	사용자 지정 입력 레이아웃이 손상되었습니다. 기본 레이아웃을 덮어씁니다.
442535890	저장 게임이 손상되어 임무가 다시 시작됩니다.
830724165	시선 추적 설정
75518517	공간이 부족합니다. 게임을 저장할 공간을 확보하세요.
1883515290	키를 배정할 수 있는 모든 행동의 개요를 보려면 옵션에서 조작 메뉴를 여세요
181097058	변경
2120229012	{0}을 눌러 마지막 빠른 저장 불러오기
1659245168	불러오려면 누르세요
529741173	챕터 I
213395621	챕터 II
1849150576	챕터 III
621937644	DLC
396044400	글로벌 통계
42023172	리플레이 브라우저
1655725184	튜토리얼
248132106	동영상 튜토리얼을 보려면 {0}을 누르세요
1280511646	동영상 튜토리얼
1247566776	팁
939486293	보기
943246456	리플레이 저장
1893463442	경비 초소
972756208	리플레이 불러오기
1453684936	리플레이를 삭제하시겠습니까? {0}
1850594441	리플레이 수가 최대 한도에 도달했습니다!
1788790745	리플레이 손상됨
1497734632	기다려 주세요
791830996	리플레이를 불러오는 중...
980330027	게임 플레이 중에는 변경할 수 없습니다.
905456972	난이도 모드
90161797	쉬움
772446225	보통
1323360165	어려움
773723552	도전
2031709440	남작의 도전
742750455	게임플레이
1072918770	진동
752466123	컨트롤러 진동을 활성화합니다.
510496150	무선 컨트롤러 진동을 활성화합니다.
1469139790	카메라 따라가기 모드
2096575592	일반
652460590	지능형
1820430346	항상
259250595	일반: 자동으로 따라가지 않으며 수동으로만 가능합니다./n항상: 카메라가 리더의 중앙에 위치합니다
405449256	컨트롤러 조준 속도
439942642	무선 컨트롤러 조준 속도
1867437729	조준 스킬용 커서의 이동 속도를 조정합니다.
1606175245	컨트롤러 축 임계값
2027151249	무선 컨트롤러 축 임계값
600213007	컨트롤러 스틱 움직임 인식에 대한 임계값을 조정합니다.
626213254	무선 컨트롤러 스틱 움직임 인식에 대한 임계값을 조정합니다.
1320655516	원뿔 시야
1552857310	적의 원뿔 시야 가시성을 조정합니다.
1848427170	색맹 모드
312686700	색맹 모드를 활성화합니다.
1770522976	윤곽선 강도
903136842	옅음
214647730	보통
1939756145	진함
2119128132	캐릭터와 상호작용 물체의 윤곽선 강도를 조정합니다.
486633304	저장 알림
367072283	화면 상단 모서리에 저장 알림을 활성화합니다./n또한 마지막 저장 후 알림이 다시 표시되는 데 걸리는 시간을 조정합니다.
1382966912	자동 일어나기
2021839866	두 번 클릭 시 캐릭터가 자동으로 일어나게 할지 지정합니다.
1877893628	자동 대화
175092334	브리핑 중 대화의 자동 진행 여부를 지정합니다.
1140205606	강조 표시 전환
1830301241	강조 표시의 활성화 유지 시간을 지정합니다./n끄기: 몇 초 동안 활성 상태를 유지합니다./n켜기: 비활성화될 때까지 활성 상태를 유지합니다.
666387157	빨리 감기 전환
1779818369	빨리 감기의 사용 방식을 지정합니다./n끄기: 버튼을 길게 누르면 시간이 빨라지고 떼면 멈춥니다./n켜기: 버튼을 누를 때마다 빨리 감기를 켜고 끕니다.
1327985646	카메라 속도
471601378	카메라의 스크롤 속도를 조정합니다.
824998259	카메라 테두리 스크롤
558622535	화면 모서리로 커서를 움직일 때 카메라 스크롤을 활성화합니다.
2012998024	카메라 회전
415969457	반전
888640053	일반
1154410071	카메라 줌
1062301022	카메라 X축
122559663	카메라 Y축
444678528	카메라 X축 끌기
1512099547	카메라 Y축 끌기
724136998	X축 조준
1114573338	Y축 조준
310268606	자막
904565450	NPC 자막
1016841846	게임 내에서 NPC 자막을 활성화합니다.
1076145211	플레이어 자막
34778467	게임 내에서 플레이어 캐릭터 자막을 활성화합니다.
1459237052	컷신 자막
1609466858	컷신 자막을 활성화합니다.
1865076062	브리핑 자막
89601639	브리핑 자막을 활성화합니다.
1993831770	대화 자막
1423012840	게임 플레이 중 대화 자막을 활성화합니다.
1627962200	사용할 컨트롤러
1637947761	입력에 사용할 컨트롤러를 선택합니다.
427002912	오디오
612494481	텍스트 언어
193233307	문자 텍스트 언어를 선택합니다.
215104258	키보드
1544447732	키보드 레이아웃을 선택합니다.
357458454	음성 언어
776918688	음성 텍스트 언어를 선택합니다.
692943060	스피커 모드
1727566288	사용할 스피커 모드를 선택합니다. 이 옵션은 메인 메뉴에서만 이용할 수 있습니다.
406098029	스테레오
354244378	서라운드 5.1
1693017002	서라운드 7.1
543329642	마스터 볼륨
506360498	게임의 전반적인 볼륨을 높이거나 낮춥니다.
1806164857	음악 볼륨
636360512	게임 음악 볼륨을 높이거나 낮춥니다.
193405480	SFX 볼륨
719162085	사운드 효과 볼륨을 높이거나 낮춥니다.
2076792662	음성 볼륨
1496215659	캐릭터 음성 볼륨을 높이거나 낮춥니다.
435550555	조작
194751495	동영상
926514941	품질
658779970	낮음
1134711718	보통
1132577025	높음
904257921	사용자 지정
1296485339	그림자
1360711769	그림자를 활성화하거나 비활성화합니다.
592999434	그림자 거리
30989482	낮음
897119853	보통
1371281051	높음
1373413817	텍스처 해상도
2009175530	전체
429141927	1/2
876302356	1/4
9527696	1/8
289642533	텍스처 해상도를 높이거나 낮춥니다.
8811852	안티 앨리어싱
1916906986	안티 앨리어싱 레벨을 높이거나 낮춥니다.
102567943	물 반사
74011557	비등방성 필터링
1374150836	앰비언트 오클루전
1780758815	렌더 스케일
1290710887	해상도
1269150780	전체 화면
995994767	수직 동기화
1487879630	최적의 환경을 위해, 가장 일관된 최고 프레임 속도에 따라 수직 동기화율을 최대한 높게 설정해 주세요. 이는 모니터의 주사율에 따라서도 달라집니다.
1700288794	동기화 안 함
169915306	전체 주사율
1506251381	절반 주사율
475868445	감마 보정
1442293416	색상별 텍스처를 단계별로 모두 구별할 수 있고 왼쪽 총이 간신히 보일 때까지 감마 슬라이더를 조정하십시오.
1956330395	제작진
876312009	개발자
1093446963	게임 초기화
604412219	게임을 초기화합니다. 모든 임무 진행 상황, 저장 게임, 잠금 해제한 배지가 사라집니다. 동영상 설정, 오디오 설정, 게임플레이 설정, 사용자 지정 입력 레이아웃은 초기화되지 않습니다. 계속하시겠습니까?
348832845	로딩 팁
1514049626	툴팁
163742262	모든 스킬과 캐릭터에는 툴팁이 있습니다. 툴팁을 참조하면 새로운 전략을 찾을 수 있습니다.
605453809	비살상 근접 공격
482668800	모든 근접 공격에는 비살상 옵션이 있습니다. <hotkey>{0}</hotkey>을 눌러 비살상으로 전환하거나, 스킬 바의 수정 버튼을 사용하세요.
1798452257	모든 근접 공격에는 비살상 옵션이 있습니다. <hotkey>{0}</hotkey>을 길게 눌러 캐릭터 창을 열고 <hotkey>{1}</hotkey>을 누르면 전환됩니다.
1907007791	비살상 점프 공격
124657665	근접 공격을 비살상으로 전환한 후 경비에게 점프 공격을 시도하면 경비가 죽지 않고 기절합니다.
949271593	시체 옮기기
1671046303	캐릭터마다 시체를 다른 방식으로 옮깁니다. 속도에 초점을 맞추는 캐릭터도 있고, 발각을 피하고자 최대한 주의하는 캐릭터도 있습니다.
1628782004	처치 및 운반
1344684890	근접 처치를 명령할 때 <hotkey>{0}</hotkey>을 길게 누르면 시체를 자동으로 들어 올립니다.
1476567941	근접 처치 동안 <hotkey>{0}</hotkey>을 길게 누르면 시체를 자동으로 들어 올립니다.
520060613	원뿔 시야 표식
3333633	원뿔 시야 표식으로 시간을 충분히 들여 위치를 선정하세요. 일부 경비는 순찰 경로가 깁니다.
822402292	강조 표시
890170653	<hotkey>{0}</hotkey>을 눌러 주변의 적과 상호작용 가능 물체를 강조 표시하세요.
63047757	<hotkey>{0}</hotkey>을 눌러 주변의 적과 상호작용 가능 물체를 강조 표시하세요.
137001150	환경 요소 처치
1981927858	경비가 떨어지는 물체를 맞고 죽을 경우, 사고로 인한 죽음으로 인식되어 아무도 경보를 울리지 않습니다.
1066015511	적 유형
1716596328	커서를 경비 위에 올려놓으면 적 유형이 표시됩니다.
739816734	<hotkey>{0}</hotkey>을 누른 채 커서를 경비 위에 올려놓으면 적 유형이 표시됩니다.
570427210	중요 물체
1536012121	커서를 중요 물체 위에 올려놓으면 해당 기능이 표시됩니다.
656570826	<hotkey>{0}</hotkey>을 누른 채 커서를 상호작용 가능 물체에 올려놓으면 해당 기능이 표시됩니다.
545151036	카메라 회전
68323806	<hotkey>{0}</hotkey>을 누른 채 마우스를 움직이면 카메라를 자유롭게 돌릴 수 있습니다.
573759884	<hotkey>{0}</hotkey>을 누른 채 <hotkey>{1}</hotkey>으로 카메라를 자유롭게 돌릴 수 있습니다.
141599116	카메라 초기화
1856158476	<hotkey>{0}</hotkey>을 누르면 카메라가 선택한 캐릭터의 중앙에 위치하고 카메라 회전이 기본값으로 초기화됩니다.
490202928	원뿔 시야에 뛰어들기
751421264	필요하다면 적의 원뿔 시야에 뛰어드는 걸 두려워하지 마세요. 빠르게만 빠져나오면 적에게 발각되지 않습니다.
1535817616	원뿔 시야의 움직임
1992853863	적의 원뿔 시야 근처에서 움직이며 들키지 않고 빠져나가 보세요. 원뿔형 시야가 멀어질 때 따라갔다가 재빨리 숨으세요.
549877002	시체 숨기기
1937082586	덤불, 벽 또는 깊은 물에 시체를 숨겨 영원히 제거하세요.
1636080378	행동 전환
1155856873	<hotkey>{0}</hotkey>을 누르면 현재 위치에서 가능한 여러 행동 간에 전환할 수 있습니다.
1245857298	행동 취소
890799486	<hotkey>{0}</hotkey>을 누르면 선택한 캐릭터가 현재 행동을 모두 멈춥니다.
1007969175	총과 탄약
1834588216	총은 매우 강력한 무기입니다. 거리낌 없이 쓰세요. 주변에 탄약 상자가 있는지도 잘 살펴보세요.
1763635777	총 발사하기
1226007028	저격 이외의 화기 스킬을 쓰면 적에게 잠시 모습이 노출됩니다. 웅크리고 있어도 마찬가지입니다.
1714326839	빠른 선택
187751512	<hotkey>{0}</hotkey>을 눌러 스킬 간에 빠르게 전환할 수 있습니다. 캐릭터의 경우 <hotkey>{1}</hotkey>을 사용하면 동일하게 적용됩니다.
264685370	시체 옮기기(헥터)
76879622	헥터는 한 번에 시체 두 구를 운반할 수 있습니다. 달릴 때도 거뜬합니다.
858462126	시체 옮기기(빠르게 놓기)
1778643117	시체를 운반할 때 <hotkey>{0}</hotkey>을 누르면 웅크린 후 시체를 즉시 놓습니다.
1824651014	스킬 즉시 사용
2122441486	<hotkey>{0}</hotkey>을 길게 누르면 헥터의 덫처럼 조준이 필요 없는 스킬을 빠르게 실행할 수 있습니다.
1607957211	UI 사용자 지정
2063046262	옵션 메뉴에서 UI를 사용자의 마음대로 지정하고, 저장 알림 같은 요소를 끌 수 있습니다.
243581491	탄약 상자
1372447036	총알이나 다른 유형의 탄약이 필요하면 주변에 탄약 상자가 있는지 잘 살펴보세요.
1971425251	롱코트
821076907	롱코트는 쿠퍼의 칼, 맥코이의 KO 가스, 헥터의 곰 덫 등과 같은 특정 스킬에 면역입니다.
1119380193	롱코트의 체력
988394871	롱코트는 체력이 3포인트입니다. 상황이 급박해지면 사격을 가해 제압할 수 있습니다.
1235072996	발자국으로 유인하기
734938354	진흙을 지나갈 때 발자국을 남겨서 적들을 함정이나 매복에 빠트릴 수 있습니다.
822878847	발자국과 탈출
1971769156	경비가 발자국을 따라오면 사다리를 타거나 건물을 통과하여 흔적을 지울 수 있습니다.
1050777356	조명 끄기
63767177	램프나 토치 같은 작은 광원을 끌 수 있습니다. 경비가 불이 꺼진 걸 발견하면 불을 다시 밝힙니다. 
1615453610	시체로 유인하기
126865505	시체를 이용해 다른 경비를 해치울 수 있습니다. 경보를 울리기 전에 신속하게 처치하세요.
1685026057	포물선 비행경로
1810398782	일부 스킬은 포물선을 그리며 움직입니다. 즉 엄폐 상태에서 쓰면 장애물을 뛰어넘을 수 있습니다.
863688220	직선 비행경로
638419450	일부 스킬은 직선으로 움직입니다. 목표가 시야 상으로 막혀 있을 경우, 캐릭터는 스킬을 쓸 더 나은 위치를 찾아 움직입니다.
298907312	미끼 감지
1903469107	유인 수단(예: 맥코이의 가방)을 처음 발견한 경비는 줍기 위해 자신의 자리를 떠납니다. 다른 경비들이 볼 수 있어도 마찬가지입니다. 순찰병들은 항상 함께 움직입니다.
778842893	점유된 건물
1438210843	조종 중인 캐릭터는 적이 있는 건물에 들어갈 수 없습니다.
470739778	도망
1020868379	적들은 덩굴을 타고 오르거나 틈을 뛰어넘을 수 없습니다. 도망칠 때 이러한 이점을 잘 활용하세요.
1108269139	곁눈질
1137613639	적들과 가까운 위치에 너무 오래 서 있으면 적들의 곁눈질에 발각될 수 있습니다.
1338931543	램프로 유인하기
509385294	꺼진 램프로 적들을 함정이나 매복에 빠트릴 수 있습니다.
158140971	램프를 든 경비
1255254891	원거리 공격으로 경비를 처치해도 해당 경비가 들고 있는 램프는 꺼지지 않습니다. 램프에 다가가서 직접 꺼야 합니다.
2070314948	민간인
210762969	적대적인 민간인들은 캐릭터를 공격하지는 않지만, 법을 위반하는 장면을 발견하면 인근 경비를 부르고자 달아납니다.
2142535667	쇼다운 모드
2088413710	쇼다운 모드는 여러 행동을 동시에 하도록 설정할 수 있는 강력한 수단입니다. 난관에 빠졌다면 한 번 써 보세요.
934714147	쇼다운 모드 - 저격
312206160	쇼다운 모드를 쓸 때는 맥코이를 잊지 마세요. 맥코이의 저격은 준비가 거의 필요하지 않으며 안전한 거리에서 적들을 해치울 수 있습니다.
2119107841	쇼다운 모드 - 고양이
1433267486	쇼다운 모드를 쓸 때 이사벨의 고양이는 즉시 행동할 수 있도록 목표 옆에서 기다립니다.
269943082	황금 총알
410699328	맥코이는 임무 목표를 위해 항상 여분의 총알을 아껴둡니다. 총알이 떨어져 임무에 실패하지 않을까 걱정하지 마세요.
1568979145	변장 해제
471953919	<hotkey>{0}</hotkey>을 길게 누르면 케이트의 변장을 수동으로 해제합니다.
1773294443	배지 잠금 해제
1758401545	특정 업적을 달성하거나 특정 조건하에서 임무를 플레이하면 배지가 잠금 해제됩니다.
2100745183	배지와 난이도
1881388511	배지는 일반 난이도 이상으로 플레이할 때에만 잠금 해제됩니다.
1816057841	배지 유형
2112292041	작은 배지는 실력 테스트(예: 완료 시간, 레벨 내 사상자 수)입니다. 큰 배지를 얻으려면 예상치 못한 방식으로 레벨을 플레이해야 합니다.
824582774	개발자 갱단
1561875126	일부 적 이름은 개발자들의 이름을 땄습니다. 과연 여러분이 모두 찾을 수 있을까요?
1154773630	난이도 변경
512149738	임무 중에는 난이도를 변경할 수 없습니다.
31059294	사용자 지정 조작
1048689626	옵션 메뉴에서 조작 체계와 다양한 게임플레이 설정을 사용자의 마음대로 지정할 수 있습니다.
1220564156	여러 캐릭터 선택
1610317847	<hotkey>{0}</hotkey>을 누른 채 드래그해 선택할 모든 캐릭터를 상자 안에 포함시키세요. <hotkey>{1}</hotkey>을 누른 채 캐릭터 초상화를 클릭<hotkey>{2}</hotkey>해도 됩니다.
42793480	<hotkey>{0}</hotkey>을 누른 채 <hotkey>{1}</hotkey>으로 두 명 이상의 캐릭터를 선택하거나, <hotkey>{2}</hotkey>으로 가능한 모든 캐릭터를 선택하세요. 처음으로 선택한 캐릭터를 조종하게 되며, 나머지는 그 뒤를 따릅니다.
1356113339	다중 웨이포인트
1387195571	<hotkey>{0}</hotkey>을 누른 채 <hotkey>{1}</hotkey>으로 다중 웨이포인트를 설정할 수 있습니다.
2070609971	비전 모드
878634208	<hotkey>{0}</hotkey>을 누른 채 비전 모드에 들어가 적의 원뿔 시야를 선택하세요. 비전 모드 중에는 원뿔 시야 표식을 설정하고, 경보 구역을 표시하거나 빨리 감기로 대기 시간을 줄일 수도 있습니다.
765451162	빨리 감기
1546069925	<hotkey>{0}</hotkey>을 누르면 게임 플레이를 빨리 감기합니다.
255324182	<hotkey>{0}</hotkey>과 <hotkey>{1}</hotkey>을 누르면 게임 플레이를 빨리 감기합니다.
1188458775	경보 구역
2056027763	<hotkey>{0}</hotkey>으로 경보 구역을 표시하고 경비 초소를 강조 표시하세요. 구역 내에 경비 초소가 있을 경우, 경보가 울리는 동안 경비 초소에서 지원군이 나옵니다. 경비 초소가 없는 구역은 회색으로 표시됩니다.
260850587	<hotkey>{0}</hotkey>을 누른 채 <hotkey>{1}</hotkey>으로 경보 구역을 표시하고 경비 초소를 강조 표시하세요. 구역 내에 경비 초소가 있을 경우, 경보가 울리는 동안 경비 초소에서 지원군이 나옵니다. 경비 초소가 없는 구역은 회색으로 표시됩니다.
1830410793	대화 중인 경비들과 주의 돌리기
886347188	경비 두 명이 대화하고 있고, 그중 한 명이 특정 주의 돌리기에 면역인 경우 둘 다 면역이 됩니다. 예를 들어 판초 경비와 얘기 중인 깡패의 주의를 돌리려고 시도하면 판초 경비가 가로막습니다.
66646900	치유 스킬
1806946441	맥코이의 붕대 같은 치유 스킬은 탄약 제한이 없지만, 사용하는 데 시간이 다소 걸립니다. 적이 없을 때 쓰는 것이 가장 좋습니다.
1379027361	민간인 구역에서 주의 돌리기
219606787	민간인 구역에서 주의 돌리기를 시도하고 누군가 그 모습을 목격하면, 해당 인원은 주의 돌리기에 면역이 됩니다.
800642416	화면 밖 소음 아이콘
1716797887	화면 밖에 있는 누군가가 캐릭터 행동의 소음 반경 안에 있으면 화면 내 아이콘으로 표시됩니다.
1509223741	목표 조준 경로
768965028	원거리 스킬의 경로가 차단되면 목표 조준 경로의 일부가 빨간색으로 변합니다. 선이 완전히 녹색일 때에만 스킬이 표적에 적중합니다.
710558629	캐릭터 단축키
1124360782	초상화 옆의 단축키로 캐릭터를 선택할 수 있습니다. 단축키를 눌러 캐릭터를 선택해 보세요. 다시 누르면 카메라가 해당 캐릭터를 비춥니다.
461437642	따라가기 캠 사용
808795684	<hotkey>{0}</hotkey>을 누르면 카메라를 수동으로 움직이기 전까지 캐릭터를 따라갑니다.
94599441	따라가기 캠 모드
753717552	따라가기 캠 모드는 옵션 메뉴에서 전환할 수 있습니다. "일반"은 대부분의 플레이어 컨트롤을 허용합니다.
907376899	카메라 드래그
2027724162	<hotkey>{0}</hotkey>을 누른 채 카메라를 드래그할 수 있습니다.
1063320780	올라가는 도중 멈추기
1755510902	<hotkey>{0}</hotkey>을 누르면 사다리, 덩굴, 밧줄을 타고 오르다가 멈춥니다.
1836583362	쇼다운 모드에서 시체 옮기기
68164799	쇼다운 모드에서 시체를 든 경우, 시체를 옮기고 놓기 위한 추가 행동을 하지 않아도 됩니다. 이는 처치 및 운반에도 적용됩니다.
240081232	쇼다운 모드 - 웨이포인트
321945412	쇼다운 모드에서 캐릭터당 하나의 웨이포인트를 설정할 수 있습니다.
1843019443	지원군 정보
72136199	<hotkey>{0}</hotkey>을 누르거나 마우스 커서를 경비 초소 아이콘에 올려놓으면 경보가 울릴 때 배치될 지원군의 수와 유형, 총 예비 병력 수를 확인할 수 있습니다.
1133491710	<hotkey>{0}</hotkey>을 누른 채 <hotkey>{1}</hotkey>을 누르거나, 커서를 경비 초소 아이콘에 올려놓으면 경보가 울릴 때 배치될 지원군의 수와 유형, 그리고 총 예비 병력 수를 확인할 수 있습니다.
1806446353	지원군 한도
2073461372	경보가 새로 울릴 때마다 죽거나 포박당한 지원군 경비는 경비 초소에 있는 제한된 수의 예비 병력과 교체됩니다. 경비 초소가 비었다면 지원군은 더 오지 않습니다.
1306284367	짖는 경비견
1729303052	짖는 경비견은 경보를 울리진 않지만, 짖는 소리를 들은 경비가 와서 장소를 조사합니다.
1491777208	기절 상태
1324369933	한 경비가 기절한 경비를 발견하면 다시 깨우지만 경보를 울리진 않습니다. 하지만 기절하는 모습을 목격하거나 결박당한 동료를 발견하면 경보를 울립니다.
242717582	롱코트 유인
841587656	롱코트는 미끼에 면역이지만, 발자국이나 꺼진 램프로 유인할 수 있습니다.
230296262	총소리로 유인하기
1005629954	자신이 있다면 총소리로 적을 유인할 수도 있습니다. 그러면 경보가 울리지만, 롱코트 등을 비롯한 대규모의 적을 원하는 위치로 유인할 수 있습니다.
2134260994	정신 지배 - 롱코트
705025876	롱코트는 이사벨의 정신 지배에 저항합니다. 롱코트는 기절한 상태에서만 정신 지배할 수 있습니다.
656581142	정신 지배 - 범인
1599654236	정신 지배 중인 경비로 다른 적을 처치하면 범인 표식이 붙습니다. 다른 경비들이 범인 경비를 발견하면 공격을 가합니다. 희생자 주변에서 의식이 없는 범인을 발견하면 밧줄로 결박합니다.
97437742	범인과 롱코트
