English	英语
1063145121	开始新游戏？
1171586678	删除
620746292	删除存档？{0}
66585026	好
1382966912	自动站立
2021839866	双击以决定角色是否会自动站立。
102014301	下一个
48274808	关闭
1637075804	信息
871894210	隐藏
299223502	任务失败
534861306	选择加载文档
1290710887	分辨率
592999434	阴影距离
30989482	低
897119853	普通
1371281051	高
102567943	水面反射
1877893628	自动对话
2009175530	全部
429141927	一半
876302356	四分之一
9527696	八分之一
1609646037	加载保存的进度？
995994767	垂直同步
1700288794	关闭同步
169915306	满刷新率
1506251381	 半刷新率
74011557	各项异性过滤
1269150780	全屏
926514941	画质
658779970	低
1134711718	普通
1132577025	高
904257921	自定义
1374150836	环境光遮蔽
8811852	抗锯齿
1848427170	色盲模式
431050512	保存出错
1338371785	存档时发生错误
50685828	加载中
462364397	保存中
1753630574	更多游戏
1920816122	上一个
312686700	启动色盲模式
175092334	决定在介绍期间是都自动进行对话。
2119128132	调整任务和互动物品的轮廓强度。
1770522976	轮廓强度
903136842	弱
214647730	普通
1939756145	强
475868445	伽马校正
1552857310	调整敌人锥形视野的可视度
1320655516	锥形视野
1362801099	此存储游戏已弃用。在游戏的最新版本上无法加载。对于给您带来的不便，我们深表歉意。
595402552	选择对话语言
1894310156	请选择对话的首选语言。之后可以在“选项”菜单中更改此设置。
1031410729	应用
1175167657	设置更改。是否应用更改？
1937172350	该存档是在另一个级别创建的，加载它将退出当前级别。所有未保存的进度将丢失！是否继续？
692943060	扬声器模式
1727566288	选择你想要使用的扬声器模式。该选项仅在主菜单有效。
2012998024	镜头旋转
1154410071	镜头缩放
1062301022	X轴镜头
122559663	Y轴镜头
444678528	拖动X轴镜头
1512099547	拖动Y轴镜头
724136998	瞄准X轴镜头
1114573338	瞄准Y轴镜头
415969457	翻转
888640053	普通
469052433	控制器未连接
1024292908	重新连接控制器或按其他控制器上的{0}键。
1072918770	震动
510496150	开启无线控制器震动
1726656013	加载用户存档
604825608	存档损坏
1072627118	你想要加载的文件已损坏，并将被默认设置覆盖。
1810121494	用户数据文件损坏。数据可以恢复。
901336057	用户数据文件损坏，无法恢复。您的用户数据将被重置至默认值。
2074534947	用户数据
495479490	无线控制器未连接
1564185545	硬盘空间不足，清留出更多空间以保存游戏。
208516596	损坏
1080011117	切换用户
1615693186	出现该图标时请不要关闭你的PlayStation®4主机
653665833	出现该图标时，请暂停游戏，不要关闭游戏或者Xbox One。
1801035418	出现该图标时请不要关闭游戏。
1308428726	无法初始化存储。要开始游戏，您需要已连接的存储空间。
1459825798	请重试。
1825071464	您最近的存档文件已损坏。是由重新开始现在的任务？
906613780	您的存档已达上限。请删除或覆盖已有存档。提示：快速保存不受此限制。
2114202035	重新连接你的无线控制器，或使用另一个已连接的无线控制器，并切换至发起应用的用户上。
962072658	存档中：出现该图标时，请暂停游戏，不要关闭游戏或者Xbox One。
1499250081	存档中：出现该图标时请不要关闭你的PlayStation®4主机
352385758	存档中：出现该图标时请不要关闭游戏。
488026919	若想购买{0}，请访问我们的商店页面。
289232529	前往Xbox商城
1024096936	前往PlayStation®商城
1214121497	下载附加内容：{0}%
1657622959	任务下载未完成
1609842196	加载时发生错误。
1893923580	抱歉。发生错误。
1627962200	激活控制器
1637947761	选择你想要用于输入的控制器。
752466123	开启控制器震动
1419415249	登出
1458532162	{0}已登出，跳回至主菜单。
1575082279	用户已切换
306408042	切换到档案{0}，跳回至主菜单。
1429086435	(+{0})
1409730632	按任意键开始
648045773	等待PlayStation®商城
442800743	等待Xbox 商城
128141297	出现网络问题。
681487417	视频设置
1052460126	游戏设置
2087751746	音频设置
25224588	启动数据
1739078801	输入布局
1649511477	自定义输入布局已损坏，将被默认布局覆盖。
442535890	游戏储存损坏，将重新开始任务。
830724165	视野追踪设置
75518517	空间不足，清留出更多空间以保存游戏。
1883515290	要查看完整的绑定动作，请前往设置，并打开控制菜单
1865076062	介绍字幕
1993831770	对话字幕
181097058	修改
2120229012	按{0}加载最近的快速存档
1659245168	按 来加载
529741173	第一章
213395621	第二章
1849150576	第三章
396044400	全球数据
42023172	重启浏览器
1655725184	教程
943246456	储存重播
1893463442	守卫小屋
1469139790	镜头追踪模式
259250595	标准：不会自动追踪，只能手动控制/n总是：镜头以领袖为中心
2096575592	标准
652460590	智能
1820430346	总是
1459237052	过场动画字幕
1076145211	玩家字幕
310268606	字幕
972756208	加载重播
1453684936	删除重播？{0}
1850594441	重播数量达到上限！
1788790745	重播损坏
1497734632	请稍等
791830996	加载重播...
980330027	游戏期间不能修改该设定。
348832845	加载提示
1514049626	工具提示
163742262	所有的技能和角色都有工具提示，这能帮助你发现新的战术。
605453809	非致命近战攻击
482668800	所有近战攻击都有一个非致命的选择。按<hotkey>{0}</hotkey>切换到非致命，或使用技能栏中的修改器。
1798452257	所有近战攻击都有一个非致命的选择。按住<hotkey>{0}</hotkey>打开角色控制盘，然后按<hotkey>{1}</hotkey>在模式之间切换。
1907007791	非致命跳跃攻击
124657665	当你的近战攻击转换为非致命攻击时，对守卫使用跳跃攻击将击倒他们而不是杀死他们。
949271593	移动尸体
1671046303	角色移动尸体的方式不同。有的注重速度，有的则紧靠地面躲避侦查。
1628782004	杀死和背起
1344684890	当下令近战击杀并自动拾取尸体时，按住<hotkey>{0}</hotkey>。
1476567941	在近战击杀中按住<hotkey>{0}</hotkey>自动捡起尸体。
520060613	锥形视野标记
3333633	多花些时间测试锥形视野标记点。有的守卫巡逻路线较长。
822402292	高亮
890170653	按<hotkey>{0}</hotkey>突出显示环境中的敌人和可交互对象。
63047757	按<hotkey>{0}</hotkey>突出显示环境中的敌人和可交互对象。
137001150	环境击杀
1981927858	如果守卫被坠落物杀死，他们的死亡看起来像是意外，/n所以没有人会发出警报。
1066015511	敌人类别
1716596328	将光标放置在守卫身上以查看敌人类别。
739816734	按住<hotkey>{0}</hotkey>并将光标移到守卫上，以查看守卫的敌人类别。
570427210	重要物品
1536012121	将光标移动到重要物品上查看功能。
656570826	按住<hotkey>{0}</hotkey>并将光标移到重要物品上查看功能。
545151036	镜头旋转
68323806	按住<hotkey>{0}</hotkey>并移动鼠标以自由旋转镜头。
573759884	按住<hotkey>{0}</hotkey>并使用<hotkey>{1}</hotkey>自由旋转镜头。
141599116	镜头重置
1856158476	按<hotkey>{0}</hotkey>将镜头置于选定角色的中心并将镜头旋转重置为默认值。
490202928	进入锥形视野
751421264	必要时无需害怕进入敌人的锥形视野。/n只要你及时出来，敌人不会检测到你。
1535817616	跟随锥形视野
1992853863	试着跟在敌人的视野边缘前进，当敌人视野离开时跟着它移动，然后快速躲到掩体后。
549877002	藏尸
1937082586	将尸体藏在树丛，井或者深水里，永远摆脱掉他们。
1636080378	切换行动
1155856873	按<hotkey>{0}</hotkey>在您所在位置的多个可用操作之间切换。
1245857298	取消行动
890799486	按<hotkey>{0}</hotkey>来控制你的角色停止所有当前操作。
1007969175	枪支和弹药
1834588216	枪械是非常强大的，使用它们时无需顾虑。留意弹药箱。
1763635777	射击
1226007028	使用狙击枪以外的枪械技能会暂时暴露你的位置，即使是在蹲着的时候。
1714326839	快速选定
187751512	按<hotkey>{0}</hotkey>可以快速循环浏览技能。对角色使用<hotkey>{1}</hotkey>也是如此。
264685370	移动尸体（赫克托）
76879622	赫克托可以同时移动两具尸体，哪怕是在跑动的时候。
858462126	移动尸体（快速放下）
1778643117	在移动尸体的时候，按<hotkey>{0}</hotkey>来快速蹲下并放下尸体。
1824651014	快速使用技能
2122441486	按住<hotkey>{0}</hotkey>可快速使用技能而无需瞄准（诸如赫克托的陷阱）。
1607957211	自定义用户界面
2063046262	您可以在“选项”菜单中自定义用户界面，并关闭保存提醒等元素。
243581491	弹药箱
1372447036	如果你需要子弹或其他形式的弹药，在环境中寻找补给箱。
1971425251	长外套
821076907	长外套对某些攻击是免疫的，比如库珀的刀，麦考伊的毒气和赫克托的熊陷阱。
1119380193	长衣守卫血量
988394871	长衣守卫有三点血量，如果他们来进攻，你可以用枪来压制他们。
1235072996	引诱的脚印
734938354	在泥泞中行走时，你可以用脚印引诱敌人进入陷阱或埋伏。
822878847	脚印和逃脱
1971769156	如果有守卫跟踪你的脚印，你可以爬梯子或穿过建筑物来切断你的踪迹。
1050777356	熄灭光源
63767177	你可以熄灭小光源，如灯和火把。守卫看到后会重新点燃它们。 
1615453610	引诱的尸体
126865505	你可以用尸体引诱其他守卫走向灭亡。你要确保在他们报警之前干掉他们。
1685026057	弧形飞行轨迹
1810398782	有些技能以弧线行进，这意味着它们可以在掩体中使用，也可以越过障碍物。
863688220	直线飞行轨迹
638419450	有些技能是直线行进的。如果目标被阻挡在视野之外，你的角色会寻找一个更好的位置来使用技能。
298907312	诱饵探测
1903469107	第一个发现诱饵（比如麦考伊的手提箱）的警卫会离开岗位去收集诱饵，即使其他人也能看到。巡逻队总是一起行动。
778842893	占用建筑物
1438210843	你的角色无法进入有敌人的建筑物。
470739778	逃跑
1020868379	敌人不能攀爬藤蔓或跳过缝隙。利用这些优势逃跑。
1108269139	眼角
1137613639	你站在敌人身边时间过长的话，他们是可以从眼角看到你的。
1338931543	引诱的灯
509385294	你可以使用熄灭的灯引诱敌人进入陷阱或伏击。
158140971	带灯的守卫
1255254891	如果你用远程攻击干掉一个守卫，他们带的灯就不会熄灭。靠近灯以熄灭它。
2070314948	公民
210762969	敌对的平民不会攻击你，但如果他们看到你犯法，他们会跑掉，找最近的警卫。
2142535667	决战模式
2088413710	决战模式是设置同步动作的强大工具。如果你在挑战中遇到困难就试试看。
934714147	决战模式狙击
312206160	使用决战模式时，别忘了麦考伊。他的狙击枪几乎不需要设置，就可以从安全的距离干掉敌人。
2119107841	决战模式猫
1433267486	当使用决战模式时，伊莎贝尔的猫会在它的目标旁边等待，这样动作就可以毫无延迟地执行。
269943082	黄金子弹
410699328	麦考伊总是会为任务目标留下一颗子弹。别因为子弹用光就担心任务失败。
1568979145	卸下伪装
471953919	按住<hotkey>{0}</hotkey>手动卸下凯特的伪装。
1773294443	解锁徽章
1758401545	通过执行某些特征或在特定条件下执行任务来解锁徽章。
2100745183	徽章和难度
1881388511	在普通或者更高的难度下可以解锁徽章。
1816057841	徽章类别
2112292041	小徽章是技能测试，比如完成时间或者伤亡人数达到一定级别。大徽章则要求你以意料之外的方式完成关卡。
824582774	开发团队黑帮
1561875126	有些敌人是以开发团队成员命名的。你能全部找到吗？
1154773630	修改难度
512149738	任务进行中无法改变难度。
31059294	自定义控制
1048689626	您可以在“选项”菜单中自定义控制方案和各种游戏设置。
1220564156	多选角色
1610317847	按住<hotkey>{0}</hotkey>并在要选择的所有角色上拖动。或按住<hotkey>{1}</hotkey>并单击<hotkey>{2}</hotkey>他们的头像。
42793480	按住<hotkey>{0}</hotkey>时，使用<hotkey>{1}</hotkey>选择多个角色，或使用<hotkey>{2}</hotkey>选择所有可用角色。您将控制所选的第一个角色，其他人会跟随。
1356113339	多个路标
1387195571	按住<hotkey>{0}</hotkey>并使用<hotkey>{1}</hotkey>为角色设置多个路标。
2070609971	视觉模式
878634208	按住<hotkey>{0}</hotkey>进入视觉模式并选择敌方锥形视野。在视觉模式下，您还可以设置锥形视野标记、显示警报区域或使用快进来缩短等待时间。
765451162	快进
1546069925	按住<hotkey>{0}</hotkey>可快进游戏。
255324182	按住<hotkey>{0}</hotkey>和<hotkey>{1}</hotkey>可快进游戏。
1188458775	警报区域
2056027763	使用<hotkey>{0}</hotkey>显示报警区域并突出显示守卫室。如果一个区域内有守卫室，警报期间会有援军从那里赶来。如果没有守卫室，这个区域显示灰色。
260850587	按住<hotkey>{0}</hotkey>，然后使用<hotkey>{1}</hotkey>显示报警区域并突出显示守卫室。如果一个区域内有守卫室，警报期间会有援军从那里赶来。如果没有守卫室，这个区域显示灰色。
1830410793	聊天的守卫和干扰
886347188	如果两个守卫在说话，若其中一个对某些干扰免疫，则两个都对这些干扰免疫。例如，如果你试图引诱一个正在和斗篷守卫说话的暴徒，斗篷守卫会拦住他。
66646900	治疗技能
1806946441	治疗技能，如麦考伊的绷带，可以无限使用，但需要时间实施。最好等区域安全时使用。
1379027361	民用区域的干扰
219606787	如果你在一个民用区域使用干扰，目击者不会受到干扰。
800642416	屏幕外噪声图标
1716797887	如果屏幕外有任何人处于你操作的噪声半径内，则他们会在屏幕上显示出来。
1509223741	目标线
768965028	如果远程技能的路径被阻塞，目标线将部分变为红色。只有当线完全变绿时，技能才会达到目标。
710558629	角色热键
1124360782	您可以通过热键选择您的角色，热键显示在其头像旁边。按热键选择角色。再按一次可以使镜头对准那个角色。
461437642	使用跟踪镜头
808795684	使用<hotkey>{0}</hotkey>使镜头跟随您的角色，直到您手动移动镜头。
94599441	镜头跟随模式
753717552	您可以在“选项”菜单中切换跟随镜头模式。““标准”允许大多数玩家控制。
907376899	镜头拖动
2027724162	按<hotkey>{0}</hotkey>拖动镜头。
1063320780	中途停止攀爬
1755510902	按<hotkey>{0}</hotkey>停止爬梯子、藤蔓和绳索。
1836583362	在决战模式下移动尸体
68164799	如果在决战模式下捡起一具尸体，则可以保存一个附加动作来移动和放置它。这也适用于杀死&背起。
240081232	决战模式路标
321945412	在决战模式下，您可以为每个角色设置一个路标。
1843019443	增援信息
72136199	按<hotkey>{0}</hotkey>或将鼠标悬停在守卫室图标上，查看在警报期间部署的增援部队的数量和类型，以及预备役部队的总数。
1133491710	按住<hotkey>{0}</hotkey>然后按<hotkey>{1}</hotkey>或将鼠标悬停在守卫室图标上，查看在警报期间部署的增援部队的数量和类型，以及预备兵的总数。
1806446353	增援限制
2073461372	每响起一次新的警报，死亡或被捆绑的增援守卫将从守卫室的有限预备兵中移除。如果守卫室空了，则不会有增援赶来。
1306284367	咆哮的狗
1729303052	狗的叫声不会引起警报，但闻声的守卫会前来调查。
1491777208	击晕状态
1324369933	如果有守卫发现被击晕的守卫，他们会尝试唤醒，而不会发出警报。但是，如果他们目睹了被击倒的过程，或者发现受害者被绑起来，他们会发出警报。
242717582	诱饵长外套
841587656	长衣守卫对诱饵免疫，但你仍然可以用脚印或熄灭的灯来引诱它们。
230296262	枪声诱饵
1005629954	如果你胆子勾搭，你可以用枪声作为诱饵。它会引起警报，但会吸引大量的敌人到你所选择的地点，包括长衣守卫。
2134260994	操控思想的长衣守卫
705025876	长衣守卫队伊莎贝尔的操控思想有抗性，只有在击晕状态下才会受影响。
656581142	操控思想罪犯
1599654236	用一个被精神控制的守卫杀人会让他们成为罪魁祸首。如果其他警卫目击了这起谋杀，他们会攻击罪犯。如果他们在受害者附近找到了昏迷的罪犯，他们会把他们绑起来。
97437742	罪犯和长衣守卫
335053795	如果长衣守卫被一个精神控制的警卫击晕了，他会记住罪犯的脸，下次看到他们时就开枪。
1258883271	精神控制技能
1486407837	精神控制过程中可用的技能取决于受害者。守卫可以用他们各自的武器杀人。平民可以呼救来引诱警卫。
1289329808	关联和干扰
759975619	如果两个警卫连在一起，其中一个听到分散注意力的声音（像库珀的硬币），两个守卫都会朝着噪音的方向看。
2003290337	关联和引诱
241375047	如果两个警卫连在一起，其中一个被诱饵（如麦考伊的包）诱骗，另一个也会朝诱饵走几步，然后重新思考，回到他们的岗位上。
1911833233	关联和伤害类别
477939682	关联总是转移相同类型的伤害。杀了其中一个守卫，他们的伙伴就会死。击晕一个，另一个就不省人事了。
400560812	关联和长衣守卫
1973720970	长衣守卫会受到关联守卫的伤害，而后被击晕。效果只会是击晕，即使是致命伤害（例如赫克托的斧子）。
696649581	关联和致盲技能
137918846	两个关联守卫中，如果有一个被致盲（比如凯特的香水），则两个守卫都会被致盲。
331045493	猫的移动
753041168	伊莎贝尔的猫可以爬梯子，藤蔓和绳子，但不能游泳。
2127142431	掏兜
602778606	如果守卫带有重要物品，凯特可以偷窃来获得物品。
801171987	浅水和尸体
735202007	浅水可以用来藏尸。
1288975608	火把
127998834	你可以在环境中的所有明火上点燃你的火炬。包括其他火把。
139855627	火把和树丛
1348930656	在树丛中蹲下会熄灭你的火把。 
328319678	环境击杀的尸体
2026724582	你可以使用环境击杀的尸体作为诱饵而不引起警报。
1591065676	抛弃尸体
301069101	如果你对另一个守卫扔尸体，他们会被击晕。无法一次击晕多名守卫。
876399661	刀
1749163056	近距离击杀敌人。
1589031175	拳击
1638963563	近距离击晕敌人。
1031684057	老51式
567933229	用柯尔特1851海军型射击敌人。可与新新型军队组合。
943917545	新型军队
834457639	用雷明顿新型军队射杀敌人。可搭配柯尔特1851海军型。
1646673140	假硬币
63345104	扔一枚假币制造噪音。射程内的敌人会向噪音看去。
1584617927	投掷小刀
1371261109	掷刀远距离击杀敌人。需要重新拾取。
1858999661	投掷小刀
1109372431	掷刀远距离击杀敌人。需要重新拾取。
1881764354	斧子
1636874639	击杀远距离敌人。可以杀死长衣守卫。
1879142254	铁锤拳
771797553	击晕远距离敌人，对长衣守卫有效。
1245144391	比安卡
1307582697	放置比安卡的（熊陷阱）。杀死第一个踏上这里的敌人。需要重新拾取。
1246149011	口哨
823392386	吹口哨制造噪音。射程内的敌人将移动到赫克托的位置。
1909121017	好东西
473693194	喝一小口治疗赫克托。对其他人来说太烈了。
2029916213	短管霰弹枪
930899656	用短管霰弹枪射击敌人。击中伤害范围内的所有目标。
2030315960	沼气瓶
1935924802	扔一瓶沼气。消灭范围内所有敌人。长衣守卫对此免疫。
2008559261	针筒
439476221	消灭近距离敌人
577578858	氯仿
1468800898	击晕近距离敌人
652519200	特制柯尔特枪
944782434	用特制柯尔特枪狙击敌人。射程远噪音小。
1992836515	医生的包
1392794492	放置医生的包。第一个发现它的敌人会来拾取。如果敌人打开包，则会短暂失明。
308968697	绷带
596884874	治疗自己或盟友
2090032874	伪装
1951322218	伪装起来愚弄敌人。若有可疑的行动，则会被识破，自动移除伪装。
581063006	勾引
1332211106	将敌人从自己的位子上引开。
706585068	调情
73015201	与敌人调情，让他们盯着你。
1107428992	踢
1155721602	击晕近距离敌人
1810692848	小手枪
750399255	用小手枪射击敌人，射程中等，几乎无声。
1222475897	香水瓶
342608998	扔一瓶香水。使敌人打喷嚏，使他们短暂失明。
1986695873	镰刀
1125828588	消灭近距离敌人
1431956252	拳击
1300156090	击晕近距离敌人
1770076751	关联
465512209	关联两个目标。两个目标共享受到的动作。
2145567661	精神控制
321059560	牺牲一点生命来控制目标。使用技能或将目标移出范围将结束精神控制。
1491564257	史黛拉
279559842	派史黛拉去分散敌人的注意力。
611738972	药草
968396522	治疗自己或盟友
1533369021	结束精神控制
751024683	放弃对目标的控制。人类目标将被击晕。
1424974583	精神控制枪击
1599288725	命令敌人射中一个目标。不会引起警报。如果发现行动，敌人将被杀死。
478202770	精神控制攻击
2010965602	指挥敌人攻击一个目标。不会引起警报。如果发现行动，敌人将被杀死。
1483614186	精神控制狗吠
46529980	命令狗叫。射程内的敌人将移动到狗的位置。
1607481843	精神控制牛角
410027463	命令牛用角攻击。杀死牛面前的任何人。不会引起警报。
834805114	精神控制马踢
641060966	命令马向后踢。击倒站在马后面的人。
1644388442	精神控制母鸡
714891915	命令一只鸡咯咯叫。射程内的敌人将调查骚乱。
1712320263	精神控制尖叫
1316379827	命令平民呼救。射程内的敌人将转移到平民所在地。
1136665942	扔出你携带的物品。
31843472	射程:4。
47662936	击晕近距离敌人
1953083019	你带着某样东西。放下它以执行进一步的操作。
1178284261	使用模式
237652163	您可以与环境中的对象交互
1177887152	移动姿态
393061807	在站立和下蹲之间切换
1023909297	决战模式
1779079610	为每个角色计划一个行动。激活时暂停游戏。
1057175114	执行决战模式
1365900095	执行所有保存行动，继续游戏。
1493216623	执行单个行动。
1420882900	只执行本次行动。
426824287	重置决战模式
1929244517	重置所有保存行动
910575029	日志
999285904	查找任务目标、提示、徽章进度和对话日志。
1333667769	高亮
1891512789	突出显示敌人（红色）和可交互对象（白色）。
1384505437	警报区域
2101249610	显示警报区域。/n告诉您如果警报响起，将触发哪些守卫。
511438133	快进
583532999	按住按钮以使时间加快，并减少等待时间。
210755940	拓展地图
1306747757	展开小地图。并显示了守卫的位置。
1029619217	重置镜头
600743980	将镜头置于当前选定角色的中心并将其重置为推荐的旋转位置。
1848674402	逆时针旋转
1807927786	按住按钮逆时针旋转镜头。
73412201	顺时针旋转
2017613828	按住按钮顺时针旋转镜头。
196521541	放大
1614643182	镜头拉近
2009084322	缩小
66070141	镜头拉远
1175911774	快速保存
1496729342	点击以快速保存./n注意：您可以在选项菜单中禁用保存提醒。
342483686	离开决战模式
1693433514	退出模式。计划的操作被保存。
1262042390	射程
953856822	持续时间
1354711653	冷却
538458455	噪音半径
1395075531	效果半径
1968769858	设置时间
658508894	死亡时间
693330154	治疗
1788577267	被动能力
594543312	可以攀爬<passiveAbilityName>阶梯</passiveAbilityName>，<passiveAbilityName>藤条</passiveAbilityName>和<passiveAbilityName>绳索。</passiveAbilityName>
1263588832	可以攀爬<passiveAbilityName>阶梯</passiveAbilityName>
764039211	可以<passiveAbilityName>携带</passiveAbilityName>一具尸体（站立、普通）。
1826755276	可以<passiveAbilityName>携带</passiveAbilityName>两具尸体（站立、快）。
30354001	可以<passiveAbilityName>拖动</passiveAbilityName>一具尸体（蹲伏、慢）。
1634612996	不<passiveAbilityCannot>能</passiveAbilityCannot> <passiveAbilityName>携带</passiveAbilityName>尸体。
2052156763	可以<passiveAbilityName>游泳.</passiveAbilityName>
597313321	<passiveAbilityCannot>不能游泳</passiveAbilityCannot>
825544575	经典的实时战略游戏
1269477099	赏金奇兵3
1358490674	您可以自定义和创建新的控制方案。/n更改将自动应用。/n您可以在控制方案之间切换选择按键旁的切换键/n/n激活：{0}
971883982	为赏金奇兵3和实时战略类型的粉丝优化。
2057998057	为RTS玩家优化。移动和选择被交换。按QWERT释放技能。
1602189665	你的自定义布局。
1524376688	玩家
1873916024	镜头
766903264	菜单：
960651577	用户界面控制盘
1421349032	过场动画
1080899783	通用
613153956	锥形视野
555507018	通用无过场动画
1866829885	冲突！
1008156003	该按键分配给另一操作，是否继续？{0}
1660462859	重新分配
1058572889	按任意按钮重新绑定此操作。
178427384	动作：
774853068	取消绑定
584715733	右摇杆
1284445229	左摇杆
1561855749	---
116814068	创建新布局以更改输入操作
1362329991	自定义{0}
1190198233	创建
1068196803	选择
1445520163	玩家
580614165	编辑玩家控制
657216753	镜头
598043235	编辑镜头控制
745724744	通用
485190448	编辑通用控制
101526216	{0}
127821282	---
1812509848	重置
1366477586	是否将所有输入操作重置为默认值？
1706772755	您可以自定义和创建新的控制方案。更改将自动应用。若要切换到其他控制方案，请选择该方案并按{0}以应用该方案。/n/n激活：{1}
152282435	右摇杆
957749598	左摇杆
573536425	镜头缩放
960958096	镜头向右旋转
583071028	镜头向左旋转
1170656858	选择角色
1200479920	角色盘
1593199432	移动
1603400940	移动
1551263779	跑
1436388833	蹲
422031039	背景操作
565815288	丢弃
1466895198	背景操作击杀
490857043	选择技能1 (激活)
509373635	选择技能2
2050968303	选择技能3
92430955	选择技能4
771827029	选择技能5
582026003	瞄准
1290681060	使用技能
1833998590	使用高级技能
2038493822	视觉模式
958235635	继续对话
644524852	切换背景行动
1803048083	选择伊莎贝尔
463150884	选择赫克托
1778733118	选择库珀
