English	angielski
1417345817	KONTYNUUJ
540295136	WCZYTAJ
1718974128	OPCJE
2095129783	Wybierz misję
921695462	ZAWARTOŚĆ DO POBRANIA
722272055	Wł.
1880743921	Wył.
148167890	x2
751714715	x4
723357853	x8
1205484016	ODZNAKI
282651035	Tak
520483897	Nie
727564207	GRAJ
614197672	ZAPISZ
1886644729	Menu główne
256619881	PAUZA
327085024	SZYBKA LISTA
1630446124	Dziś: {0}
499301031	{0} min. temu
1535055933	{0} min. {1} sek. temu
375658126	NADPISZ
919197944	WCZYTAJ
1273710227	WYJDŹ Z GRY
1261996133	ROZPOCZNIJ OD NOWA
1680915354	Wyjść do pulpitu?
1228739812	SZYBIE WCZYTANIE
1162764950	PRZERYWNIK WIDEO
1225642196	Czy chcesz obejrzeć ponownie przerywnik wideo?
1718054198	Szybkie zapisy gry
234100204	Zwyczajne zapisy gry
753130424	NOWA GRA
1238399001	POTWIERDŹ
1063145121	Rozpocząć nową grę?
1171586678	USUŃ
620746292	Usunąć zapis gry? {0}
66585026	OK
102014301	Dalej
48274808	Zamknij
1637075804	INFORMACJE
871894210	UKRYJ
299223502	Misja nieudana
534861306	Wybierz plik do wczytania
1609646037	Wczytać grę?
431050512	Błąd zapisu gry
1338371785	Wystąpił błąd podczas zapisywania gry.
50685828	Wczytywanie
462364397	Zapisywanie
1753630574	Więcej gier
1920816122	Wstecz
1031410729	Zastosuj
595402552	Wybierz język dialogów
1894310156	Wybierz preferowany język nagrań dialogowych. Możesz zmienić to ustawienie w każdej chwili w menu opcji.
1139064368	Włączyć napisy?
430465293	Czy chcesz włączyć napisy? Możesz zmienić szczegółowe ustawienia napisów w menu opcji.
1175167657	Ustawienia zostały zmienione. Zastosować zmiany?
1937172350	Ten zapis gry został stworzony podczas innej misji. Wczytanie go spowoduje wyjście z obecnej misji. Niezapisane postępy zostaną utracone! Kontynuować?
469052433	Kontroler został odłączony
495479490	Kontroler bezprzewodowy został odłączony
1024292908	Podłącz kontroler ponownie lub naciśnij {0} na innym podłączonym kontrolerze.
2114202035	Podłącz kontroler bezprzewodowy ponownie lub użyj innego podłączonego kontrolera bezprzewodowego i przełącz się na użytkownika, który uruchomił aplikację.
1726656013	Wczytywanie danych zapisu użytkownika
604825608	Plik zapisu uszkodzony
1072627118	Plik, który próbujesz wczytać, został uszkodzony i zostanie zastąpiony domyślnymi ustawieniami.
1810121494	Plik danych użytkownika jest uszkodzony, udało się jednak odzyskać dane.
901336057	Plik danych użytkownika jest uszkodzony i nie może zostać odzyskany. Twoje dane użytkownika zostaną zresetowane do wartości domyślnej.
2074534947	DANE UŻYTKOWNIKA
1564185545	Niewystarczająca ilość miejsca na dysku. Zwolnij więcej miejsca, by zapisać grę.
208516596	uszkodzony
1080011117	PRZEŁĄCZANIE UŻYTKOWNIKA
1615693186	Nie wyłączaj systemu PlayStation®4, gdy widzisz ten symbol na ekranie.
653665833	Nie zamykaj gry, nie zawieszaj jej ani nie wyłączaj konsoli Xbox One, gdy widzisz ten symbol na ekranie.
1801035418	Nie zamykaj gry, gdy widzisz ten symbol na ekranie.
1308428726	Nie udało się połączyć z dyskiem. By grać, potrzebujesz podłączonego dysku z odpowiednią ilością miejsca.
1459825798	Spróbuj ponownie
1825071464	Najnowszy plik zapisu jest przestarzały lub uszkodzony. Czy chcesz zamiast tego rozpocząć misję od nowa?
906613780	Posiadasz maksymalną liczbę plików zapisu. Usuń lud nadpisz istniejący plik zapisu. Uwaga: pliki szybkiego zapisu nie są wliczane do tego limitu.
962072658	Zapisywanie: nie zamykaj gry, nie zawieszaj jej ani nie wyłączaj konsoli Xbox One, gdy widzisz ten symbol na ekranie.
1499250081	Zapisywanie: nie wyłączaj systemu PlayStation®4, gdy widzisz ten symbol na ekranie.
352385758	Zapisywanie: nie zamykaj gry, gdy widzisz ten symbol na ekranie.
488026919	Odwiedź nasz sklep, jeśli chcesz zakupić {0}
289232529	Idź do Microsoft Store
1024096936	Idź do PlayStation™Store
1214121497	Instalowanie dodatkowej zawartości: {0}%
1657622959	Misja nie została jeszcze zainstalowana
1609842196	Wystąpił błąd podczas ładowania.
1893923580	Niestety, wystąpił błąd.
1419415249	Wylogowano
1458532162	Wylogowano użytkownika: {0}. Nastąpi powrót do menu głównego.
1575082279	Przełączono użytkownika
306408042	Przełączono profil: {0}. Nastąpi powrót do menu głównego.
1429086435	(+{0} więcej)
1409730632	Naciśnij dowolny przycisk, by rozpocząć
648045773	Oczekiwanie na PlayStation™Store
442800743	Oczekiwanie na Microsoft Store
128141297	Wystąpił błąd sieci.
681487417	Ustawienia wideo
1052460126	Ustawienia rozgrywki
2087751746	Ustawienia audio
25224588	Dane rozruchu
1739078801	Układ sterowania
1649511477	Twój własny układ sterowania został uszkodzony i zostanie zastąpiony domyślnymi ustawieniami.
442535890	Plik zapisu gry jest uszkodzony. Misja zostanie uruchomiona ponownie.
830724165	Ustawienia śledzenia wzroku
75518517	Niewystarczająca ilość miejsca. Zwolnij więcej miejsca, by zapisać grę.
1883515290	By zobaczyć pełen przegląd możliwych do przypisania akcji, otwórz menu opcji i przejdź do menu sterowania
181097058	Zmień
2120229012	Naciśnij {0}, by wczytać ostatni plik szybkiego zapisu
1659245168	Naciśnij, by wczytać
529741173	Rozdział I
213395621	Rozdział II
1849150576	Rozdział III
621937644	Zawartość do pobrania
396044400	Statystyki globalne
42023172	Przeglądarka powtórek
1655725184	Samouczki
248132106	Naciśnij {0}, by wyświetlić samouczek wideo
1280511646	Samouczki wideo
1247566776	Podpowiedzi
939486293	Wyświetl
943246456	Zapisz powtórkę
1893463442	Strażnica
972756208	Wczytaj powtórkę
1453684936	Usunąć powtórkę? {0}
1850594441	Osiągnięto maksymalną liczbę powtórek!
1788790745	Powtórka uszkodzona
1497734632	Proszę czekać
791830996	Wczytywanie powtórki...
980330027	Nie możesz tego zmienić tego ustawienia podczas gry.
905456972	Poziom trudności
90161797	Łatwy
772446225	Średni
1323360165	Trudny
773723552	Wyzwania
2031709440	Wyzwanie Barona
742750455	ROZGRYWKA
1072918770	Wibracje
752466123	Włącza wibracje kontrolera.
510496150	Włącza wibracje kontrolera bezprzewodowego.
1469139790	Tryb podążania kamery
2096575592	Standardowy
652460590	Inteligentny
1820430346	Stały
259250595	Standardowy: brak automatycznego podążania, jedynie poprzez ręczne sterowanie./nStały: kamera jest wyśrodkowana na przywódcy.
405449256	Prędkość celowania kontrolera
439942642	Prędkość celowania kontrolera bezprzewodowego
1867437729	Dostosowuje prędkość kursora dla umiejętności wymagających celowania.
1606175245	Próg osi kontrolera
2027151249	Próg osi kontrolera bezprzewodowego
600213007	Dostosowuje próg dla rozpoznawania ruchu drążka sterującego kontrolera.
626213254	Dostosowuje próg dla rozpoznawania ruchu drążka sterującego kontrolera bezprzewodowego.
1320655516	Pole widzenia
1552857310	Dostosowuje widoczność pola widzenia wrogów.
1848427170	Tryb dla daltonistów
312686700	Włącza tryb dla daltonistów.
1770522976	Grubość konturów
903136842	Niska
214647730	Średnia
1939756145	Duża
2119128132	Dostosowuje grubość konturów postaci i interaktywnych obiektów.
486633304	Przypomnienie o zapisie gry
367072283	Włącza przypomnienia o zapisie gry w górnej części ekranu./nDostosowuje również czas, w jakim przypomnienie pojawi się po twoim ostatnim zapisie gry.
1382966912	Automatyczne wstawanie
2021839866	Określa, czy postaci wstają same po dwukrotnym kliknięciu.
1877893628	Automatyczne dialogi
175092334	Określa, czy dialogi postępują automatycznie w trakcie wprowadzenia.
1140205606	Przełączanie podświetlenia
1830301241	Określa, jak długo podświetlenie pozostaje aktywne:/nWył.: aktywne przez kilka sekund./nWł.: aktywne do wyłączenia.
666387157	Przełączanie przewijania do przodu
1779818369	Określa sposób działania przewijania do przodu:/nWył.: przytrzymaj przycisk, by przyspieszyć czas, zwolnij przycisk, by zatrzymać przyśpieszenie./nWł.: naciśnij przycisk, by włączyć lub wyłączyć przewijanie do przodu.
1327985646	Prędkość kamery
471601378	Dostosowuje prędkość przewijania kamery.
824998259	Przewijanie przy krawędzi ekranu
558622535	Umożliwia przewijanie ekranu poprzez przesunięcie kursora do jego krawędzi.
2012998024	Rotacja kamery
415969457	Odwrócona
888640053	Zwykła
1154410071	Przybliżenie kamery
1062301022	Oś X kamery
122559663	Oś Y kamery
444678528	Oś X kamery przy przeciąganiu
1512099547	Oś Y kamery przy przeciąganiu
724136998	Oś X przy celowaniu
1114573338	Oś Y przy celowaniu
310268606	Napisy
1627962200	Aktywny kontroler
465571489	Aktywny kontroler bezprzewodowy
1637947761	Wybierz, którego kontrolera chcesz użyć dla tego wejścia.
1266674654	Wybierz, którego kontrolera bezprzewodowego chcesz użyć dla tego wejścia.
1544087171	Podświetlenie zawartości skrzynek
622041107	Wybierz, czy zawartość skrzynek z amunicją ma być widoczna, gdy funkcja podświetlania jest aktywna.
427002912	DŹWIĘK
612494481	Język tekstu
193233307	Wybierz język tekstu.
215104258	Klawiatura
1544447732	Wybierz układ klawiatury.
357458454	Język dialogów
776918688	Wybierz język dialogów.
692943060	Tryb głośników
1727566288	Wybierz, którego trybu głośników chcesz używać. Ta opcja jest dostępna tylko w menu głównym.
406098029	Stereo
354244378	Surround 5.1
1693017002	Surround 7.1
543329642	Główna głośność dźwięku
506360498	Zwiększa lub zmniejsza ogólną głośność gry.
1806164857	Głośność muzyki
636360512	Zwiększa lub zmniejsza głośność muzyki.
193405480	Głośność efektów
719162085	Zwiększa lub zmniejsza głośność efektów dźwiękowych.
2076792662	Głośność postaci
1496215659	Zwiększa lub zmniejsza głośność kwestii mówionych postaci.
1236964701	Odtwarzaj dźwięki zapisywania/wczytywania
750239754	Włącza dźwięki zapisywania i wczytywania gry.
904565450	Napisy BN-ów
1016841846	Włącza napisy dla bohaterów niezależnych w świecie gry.
1076145211	Napisy gracza
34778467	Włącza napisy dla postaci gracza w świecie gry.
1459237052	Napisy przerywników wideo
1609466858	Włącza napisy dla przerywników wideo.
1865076062	Napisy podczas wprowadzenia
89601639	Włącza napisy dla wprowadzenia do misji.
1993831770	Napisy podczas rozmów
1423012840	Włącza napisy dla rozmów w trakcie gry.
435550555	STEROWANIE
194751495	GRAFIKA
926514941	Jakość
658779970	Niska
1134711718	Średnia
1132577025	Wysoka
904257921	Ustawienia własne
1296485339	Cienie
1360711769	Włącz lub wyłącz cienie.
592999434	Zasięg cieni
30989482	Niski
897119853	Średni
1371281051	Wysoki
1373413817	Rozdzielczość tekstur
2009175530	Pełna
429141927	1/2
876302356	1/4
9527696	1/8
289642533	Zwiększa lub zmniejsza rozdzielczość tekstur.
8811852	Antyaliasing
1916906986	Zwiększa lub zmniejsza poziom antyaliasingu.
102567943	Odbicia w wodzie
74011557	Filtrowanie anizotropowe
1374150836	Okluzja otoczenia
1780758815	Skala renderowania
1290710887	Rozdzielczość
1269150780	Pełny ekran
995994767	Synchronizacja pionowa
1487879630	Dla optymalnej rozgrywki ustaw wartość synchronizacji pionowej na możliwie jak najwyższą zgodnie z najwyższą stabilną liczbą klatek na swoim komputerze. Wartość ta zależy również od częstotliwości odświeżania twojego monitora.
1700288794	Nie synchronizuj
169915306	Pełna częstotliwość odświeżania
1506251381	Połowa częstotliwości odświeżania
475868445	Korekcja gamma
1180352869	Jakość pola widzenia
539396311	Zwiększa lub obniża jakość pola widzenia. Dotyczy głównie wyświetlania pola widzenia na skomplikowanych geometrycznie powierzchniach. Może zwiększyć wydajność gry, nie wpływa natomiast na funkcjonalność rozgrywki.
1442293416	Ustaw suwak gamma tak, by można było odróżnić wszystkie poziomy tekstury, a broń po lewej była ledwie widoczna.
1956330395	AUTORZY
876312009	STUDIO
1093446963	ZRESETUJ GRĘ
604412219	To spowoduje zresetowanie twojej gry. Utracisz postępy misji, zapisy gry i odblokowane odznaki. Twoje ustawienia wideo, audio, rozgrywki i sterowania NIE zostaną zresetowane. Czy chcesz kontynuować?
348832845	PODPOWIEDŹ PRZY WCZYTYWANIU
1514049626	Wskazówki
163742262	Dla każdej postaci i umiejętności istnieją wskazówki. Pomogą ci odkryć nowe strategie.
605453809	Nieśmiercionośne ataki wręcz
482668800	Wszystkie ataki wręcz występują w wersji nieśmiercionośnej. Naciśnij <hotkey>{0}</hotkey>, by włączyć nieśmiercionośny tryb lub użyj modyfikatora na pasku umiejętności.
1798452257	Wszystkie ataki wręcz występują w wersji nieśmiercionośnej. Przytrzymaj <hotkey>{0}</hotkey>, by otworzyć koło postaci i naciśnij <hotkey>{1}</hotkey>, by przełączać się między trybami.
1907007791	Nieśmiercionośne ataki z powietrza
124657665	Kiedy twój atak wręcz jest w nieśmiercionośnym trybie, zeskoczenie na strażnika spowoduje jego ogłuszenie, a nie śmierć.
949271593	Przenoszenie ciał
1671046303	Każda postać inaczej przenosi ciała. Niektóre skupiają się na prędkości, inne trzymają się blisko ziemi, by uniknąć wykrycia.
1628782004	Zabij i nieś
1344684890	Przytrzymaj <hotkey>{0}</hotkey>, wydając polecenie zabójstwa wręcz, by postać podniosła ciało automatycznie.
1476567941	Przytrzymaj <hotkey>{0}</hotkey> podczas zabójstwa wręcz, by postać podniosła ciało automatycznie.
520060613	Znacznik pola widzenia
3333633	Nie spiesz się, sprawdzając miejsce przy pomocy znacznika pola widzenia. Trasy patrolowe strażników bywają długie.
822402292	Podświetlenie
890170653	Naciśnij <hotkey>{0}</hotkey>, by podświetlić wrogów oraz interaktywne obiekty otoczenia.
63047757	Naciśnij <hotkey>{0}</hotkey>, by podświetlić wrogów oraz interaktywne obiekty otoczenia.
137001150	Zabójstwa przy pomocy otoczenia
1981927858	Jeśli strażnik zostanie zabity przez spadający obiekt, jego śmierć będzie sprawiać wrażenie przypadkowej, więc nikt nie podniesie alarmu.
1066015511	Rodzaje wrogów
1716596328	Przesuń kursor nad strażnika, by sprawdzić rodzaj danego wroga.
739816734	Przytrzymaj <hotkey>{0}</hotkey> i przesuń kursor nad strażnika, by sprawdzić rodzaj danego wroga.
570427210	Ważne obiekty
1536012121	Przesuń kursor nad ważny obiekt, by sprawdzić jego funkcję.
656570826	Przytrzymaj <hotkey>{0}</hotkey> i przesuń kursor nad interaktywny obiekt, by sprawdzić jego funkcję.
545151036	Rotacja kamery
68323806	Przytrzymaj <hotkey>{0}</hotkey> i przesuwaj kursor myszy, by swobodnie obracać kamerę.
573759884	Przytrzymaj <hotkey>{0}</hotkey> i użyj <hotkey>{1}</hotkey>, by swobodnie obracać kamerę.
141599116	Reset kamery
1856158476	Naciśnij <hotkey>{0}</hotkey>, by wyśrodkować kamerę na zaznaczonej postaci i zresetować rotację kamery do wartości domyślnej.
490202928	Przemykanie przez pole widzenia
751421264	Nie obawiaj się przemknąć przez pole widzenia wroga. Jeśli tylko zdołasz wydostać się z niego wystarczająco szybko, nikt cię nie wykryje.
1535817616	Pozostawanie na skraju pola widzenia
1992853863	Spróbuj pozostać na skraju pola widzenia, by przemknąć się niepostrzeżenie. Podążaj za nim, gdy się od ciebie oddala, a następnie szybko skryj się za osłoną.
549877002	Ukrywanie ciał
1937082586	Ukrywaj ciała w krzakach, studniach lub głębokiej wodzie, by pozbyć się ich na dobre.
1636080378	Przełączanie się między akcjami
1155856873	Naciśnij <hotkey>{0}</hotkey>, by przełączać się pomiędzy różnymi akcjami dostępnymi w twoim położeniu.
1245857298	Anulowanie akcji
890799486	Naciśnij <hotkey>{0}</hotkey>, by zaznaczona postać lub postaci przerwały wszystkie wykonywane akcje.
1007969175	Broń palna i amunicja
1834588216	Broń palna jest bardzo potężna, więc nie obawiaj się jej używać. Wypatruj skrzynek z amunicją.
1763635777	Strzelanie z broni palnej
1226007028	Używanie innych umiejętności związanych z bronią palną niż strzał snajperski zwiększy twoją widoczność nawet podczas kucania.
1714326839	Szybki wybór
187751512	Możesz szybko przełączać się między umiejętnościami, naciskając <hotkey>{0}</hotkey>. To samo można robić z postaciami, naciskając <hotkey>{1}</hotkey>.
264685370	Przenoszenie ciał (Hektor)
76879622	Hektor może nieść dwa martwe ciała naraz – nawet podczas biegu.
858462126	Przenoszenie ciał (szybkie upuszczenie)
1778643117	Niosąc ciało, naciśnij <hotkey>{0}</hotkey>, by natychmiast je upuścić i przykucnąć.
1824651014	Natychmiastowe użycie umiejętności
2122441486	Przytrzymaj <hotkey>{0}</hotkey>, by szybko użyć umiejętności niewymagającej celowania (np. pułapki Hektora).
1607957211	Personalizacja interfejsu
2063046262	Możesz dostosować interfejs do własnych preferencji i wyłączyć takie funkcje, jak przypomnienie o zapisie gry.
243581491	Skrzynki z amunicją
1372447036	Jeśli potrzebujesz pocisków lub innego rodzaju amunicji, poszukaj skrzynek z zaopatrzeniem w swoim otoczeniu.
1971425251	Długie Płaszcze
821076907	Długie Płaszcze są odporne na niektóre ataki, np. nóż Coopera, gaz ogłuszający McCoya i pułapki na niedźwiedzie Hektora.
1119380193	Zdrowie Długich Płaszczy
988394871	Długie Płaszcze mają trzy punkty zdrowia. Jeśli sytuacja stanie się groźna, możesz zasypać ich gradem pocisków z broni.
1235072996	Używanie śladów stóp jako przynęty
734938354	Chodząc po błocie, możesz wykorzystywać ślady stóp, by zwabiać wrogów w pułapki lub zasadzki.
822878847	Ślady stóp podczas ucieczki
1971769156	Jeśli strażnik śledzi cię po śladach twoich stóp, możesz wspiąć się po drabinie lub przejść przez wnętrze budynku, by go zgubić.
1050777356	Gaszenie świateł
63767177	Możesz gasić małe źródła światła, takie jak lampy i pochodnie. Strażnicy zapalą je ponownie, kiedy je znajdą. 
1615453610	Używanie ciał jako przynęty
126865505	Możesz użyć ciała, by zwabić innego strażnika w śmiertelną pułapkę. Upewnij się tylko, że pozbędziesz się go, nim podniesie alarm.
1685026057	Umiejętności działające po łuku
1810398782	Ścieżka działania niektórych umiejętności jest parabolą, co oznacza, że można ich używać zza osłon i że mogą omijać przeszkody.
863688220	Umiejętności działające po linii prostej
638419450	Niektóre umiejętności działają wzdłuż linii prostej. Jeśli coś blokuje drogę do celu, twoja postać poszuka lepszej pozycji do użycia danej umiejętności.
298907312	Wykrycie przynęty
1903469107	Pierwszy strażnik, który zauważy przynętę (np. walizkę McCoya) opuści swoje stanowisko, by ją zabrać, nawet jeśli inni też ją widzą. Patrole zawsze poruszają się razem.
778842893	Zajęte budynki
1438210843	Twoje postaci nie mogą wchodzić do budynków, gdy wewnątrz są wrogowie.
470739778	Ucieczka
1020868379	Wrogowie nie potrafią wspinać się po pnączach ani przeskakiwać nad wyrwami. Wykorzystaj tę przewagę, kiedy próbujesz uciec.
1108269139	Kąt oka
1137613639	Wrogowie potrafią wykryć cię kątem oka, jeśli zbyt długo stoisz obok nich.
1338931543	Używanie lamp jako przynęty
509385294	Możesz używać zgaszonych lamp, by zwabiać wrogów w pułapki lub zasadzki.
158140971	Strażnicy z lampami
1255254891	Jeśli pozbędziesz się strażnika przy pomocy ataku dystansowego, niesiona przez niego lampa nie zgaśnie. Musisz do niej podejść, by móc ją zgasić.
2070314948	Cywile
210762969	Wrogo nastawieni cywile nie zaatakują cię, lecz jeśli zobaczą, że łamiesz prawo, pobiegną po najbliższego strażnika.
2142535667	Tryb porachunków
2088413710	Tryb porachunków to potężne narzędzie do przygotowywania akcji wykonywanych jednocześnie. Wypróbuj go, jeśli masz kłopot z wyzwaniem.
934714147	Strzał snajperski w trybie porachunków
312206160	Używając trybu porachunków, nie zapominaj o McCoyu. Jego strzał snajperski wymaga przygotowania i potrafi wyeliminować wroga z bezpiecznej odległości.
2119107841	Kot w trybie porachunków
1433267486	W trybie porachunków kot Isabelle będzie czekał obok swojego celu, by akcja została wykonana bez opóźnienia.
269943082	Złoty pocisk
410699328	McCoy zawsze zachowuje dodatkowy pocisk do spełnienia celu misji. Nie martw się, że poniesiesz porażkę przez brak amunicji.
1568979145	Zdejmowanie przebrania
471953919	Przytrzymaj <hotkey>{0}</hotkey>, by ręcznie zdjąć przebranie Kate.
1773294443	Odblokowywanie odznak
1758401545	Odblokowuj odznaki za spełnianie pewnych wymagań lub rozgrywanie misji w określonych warunkach.
2100745183	Odznaki i poziom trudności
1881388511	Odznaki mogą być odblokowywane na normalnym poziomie trudności i wyższych.
1816057841	Rodzaje odznak
2112292041	Małe odznaki to testy umiejętności, np. określony czas ukończenia lub liczba ofiar w trakcie misji. Duże odznaki wymagają rozegrania misji w wymagający sposób.
824582774	Gang devów
1561875126	Niektórzy wrogowie noszą imiona twórców gry. Czy potrafisz odnaleźć ich wszystkich?
1154773630	Zmiana poziomu trudności
512149738	Nie da się zmienić poziomu trudności w trakcie trwania misji.
31059294	Zmiana sterowania
1048689626	Możesz dostosować schemat sterowania oraz różne ustawienia rozgrywki w menu opcji.
1220564156	Zaznaczanie wielu postaci
1610317847	Przytrzymaj <hotkey>{0}</hotkey> i rozciągnij okienko nad wszystkimi postaciami, które chcesz zaznaczyć. Możesz też przytrzymać <hotkey>{1}</hotkey> i kliknąć ich portrety przy pomocy <hotkey>{2}</hotkey>.
42793480	Trzymając <hotkey>{0}</hotkey>, użyj <hotkey>{1}</hotkey> do zaznaczenia więcej niż jednej postaci lub <hotkey>{2}</hotkey> do zaznaczenia wszystkich dostępnych postaci. Będziesz sterować pierwszą zaznaczoną postacią, pozostałe będą za nią podążać.
1356113339	Wiele punktów orientacyjnych
1387195571	Przytrzymaj <hotkey>{0}</hotkey> i użyj <hotkey>{1}</hotkey>, by ustawić kilka punktów orientacyjnych dla postaci.
2070609971	Tryb widoku
878634208	Przytrzymaj <hotkey>{0}</hotkey>, by wejść w tryb widoku i wybierz pole widzenia wroga. W trybie widoku możesz również ustawić znacznik pola widzenia, wyświetlać strefy alarmowe i używać przewijania do przodu, by skrócić czas oczekiwania.
765451162	Przewijanie do przodu
1546069925	Przytrzymaj <hotkey>{0}</hotkey>, by przewinąć rozgrywkę do przodu.
255324182	Przytrzymaj <hotkey>{0}</hotkey> i <hotkey>{1}</hotkey>, by przewinąć rozgrywkę do przodu.
1188458775	Strefy alarmowe
2056027763	Użyj <hotkey>{0}</hotkey>, by wyświetlić strefy alarmowe i podświetlić strażnice. Jeśli w strefie znajduje się strażnica, podczas alarmu nadejdą z niej posiłki. Jeśli strażnicy nie ma, strefa zaznaczona jest na szaro.
260850587	Przytrzymaj <hotkey>{0}</hotkey> i użyj <hotkey>{1}</hotkey>, by wyświetlić strefy alarmowe i podświetlić strażnice. Jeśli w strefie znajduje się strażnica, podczas alarmu nadejdą z niej posiłki. Jeśli strażnicy nie ma, strefa zaznaczona jest na szaro.
1830410793	Rozmawiający strażnicy i odwracanie uwagi
886347188	Jeśli dwóch strażników rozmawia ze sobą i jeden z nich jest odporny na odwracanie uwagi, obaj są odporni. Na przykład, jeśli próbujesz zwabić gdzieś zbira, który rozmawia z wrogiem w ponczo, wróg ten powstrzyma zbira przed odejściem.
66646900	Umiejętności leczące
1806946441	Umiejętności leczące, na przykład bandaże McCoya, mogą być używane bez ograniczeń, lecz ich użycie zajmuje dłuższy czas. Najlepiej korzystać z nich wtedy, gdy horyzont jest czysty.
1379027361	Odwracanie uwagi w strefie cywilów
219606787	Jeśli wykonasz jakąś czynność w celu odwrócenia uwagi w strefie cywilów i ktoś to zauważy, ta osoba stanie się odporna na odwrócenie uwagi.
800642416	Zasięg hałasu wykraczający poza ekran
1716797887	Jeśli ktoś znajdujący się poza ekranem miałby cię usłyszeć, osoba ta pojawi się na ekranie w postaci ikony.
1509223741	Linia celowania
768965028	Jeśli umiejętność dystansowa ma zablokowaną ścieżkę do celu, linia celowania stanie się częściowo czerwona. Umiejętność trafi w cel tylko wtedy, gdy linia jest w pełni zielona.
710558629	Skróty klawiszowe dla postaci
1124360782	Możesz zaznaczać postaci przy pomocy skrótów klawiszowych, które widnieją obok ich portretów. Naciśnij dany klawisz, by zaznaczyć postać. Naciśnij go ponownie, by wyśrodkować kamerę na danej postaci.
461437642	Używanie trybu śledzenia kamery
